"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ecbd8b81-f821-47dc-991e-9ca3b13b23d0","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","Tower Crane 1"
"1635a159-f211-4971-b6b3-af21ced5982d","","folder-normal","not-started","","step","TRUE","FALSE","B01"
"aee0a3de-6c24-4894-b1a8-e79ef694f75f","","folder-normal","not-started","","step","TRUE","FALSE","B01","Foundation"
"98f967d1-abd5-4c3d-95d0-1285a2e6342c","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","B01","Foundation","Lift Pit 1"
"8de4211b-1c70-4a84-81e3-955c24726fa9","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","B01","Foundation","Lift Pit 2"
"fd4061fe-b280-4dfe-8956-4339d761587c","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","B01","Foundation","Lift Pit 3"
"f7525c66-e4ee-44f2-9a1c-c868b20084fd","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","B01","Foundation","Gridlines 1 to 15"
"fc131c00-4d21-4012-913a-687af8a9c13a","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","B01","Foundation","Gridlines 15 to 20"
"704c8700-787e-428f-a5ce-420b7b0551d6","","checklist-flat","pass","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","Pour Zone 1 - (GL A-C/1-4)"
"7a40f0e9-7fd7-44d5-9c0f-eda861a3ac41","","checklist-flat","pass","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","Pour Zone 2 - (GL C-F/1-4)"
"b397fd4d-90a1-4702-ad4c-6a10a6e46631","","checklist-flat","not-started","ST - S - Concrete Reinforcing","checklist-flat","FALSE","FALSE","Basement slab POUR 3"
