"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"30d7ba7f-5e57-46d0-8dbb-97fd01ec405d","","folder-normal","","","step","TRUE","FALSE","Site temporary power"
"9d4dc14f-ea1a-4ecc-8a82-2de158b2e1a7","","checklist-flat","","BTS Install","checklist-flat","FALSE","FALSE","Site temporary power","BTS Install"
"079b5d47-b0dc-409d-bc65-6ef1c3b3f071","","checklist-sectioned","","e64cd41d6fd5fecd43e8ad67de5abb59a2cc5560afeb78d3498713c1dd3bf17d","checklist","FALSE","FALSE","Ducting / Conduit"
"8fb7fffb-36bd-4849-86f8-5ff1c4db9df9","","folder-normal","","","step","TRUE","FALSE","First fix"
"7f1e59eb-3436-4f56-b14a-9fb10a57d785","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Showroom + Office area"
"abd0d043-b5c6-412a-9bcb-06bc732653a2","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Office area"
"42e8f895-3c7c-47fc-94bd-cf23ed2f1e5b","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Archives area"
"9def904c-1f82-4662-98ec-c56e87795cd0","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Staff + Sanitary area"
"9f2ad3ce-121c-4592-81ec-f9ee06f918f6","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","A-WC area"
"94ad48c6-0fed-44ed-83b4-d1cea2412dc0","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","WC area"
"00510d14-bdef-48bf-8050-aa0f527d29d6","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Laundry + Store area"
"c40f730b-03c2-4e7f-9afe-03ef5ccebe43","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Secure Storage area"
"f1226dda-9927-4d0d-bf86-7528c4520638","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Workshop area"
"7b15b47e-39c0-401c-a72a-3ae68e90f011","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Change area"
"9767a26a-7048-421c-95e3-9609f7fb2bb3","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","First fix","Scrap area"
"f4a7cab0-6159-497b-9320-cacc18060c41","","folder-normal","","","step","TRUE","FALSE","Second fix"
"c388b978-d359-4840-8610-ac9187f4222b","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Showroom + Office area"
"d597ad90-5abe-4b6a-a242-edbc45e83858","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Office area"
"9f5e9df8-2d14-4993-b7ce-34dc7cc6509d","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Archives area"
"68d6b848-a46f-4746-9625-74d37c78e32a","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Staff + Sanitary area"
"768ec98c-1270-46b1-95b5-90a41d31bffd","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","A-WC area"
"36ed279f-f2df-4620-b558-e6b4980232b6","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","WC area"
"2ddb39d3-bd0c-467c-823c-4c327799f938","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Laundry + Store area"
"d5af103c-7fc8-443c-bf36-4529c747d513","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Secure Storage area"
"2216a87a-d983-4fee-968d-b00641ef87d6","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Workshop area"
"3d11af52-5409-44e3-b1cb-cd07a8ae9d59","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Change area"
"b79c4da1-c4ef-44c5-a875-4ec0e5321a7a","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Second fix","Scrap area"
"197cf3b9-0505-4036-850f-a3bec962ced7","","checklist-flat","","Electrical Submain switchboard","checklist-flat","FALSE","FALSE","Electrical Main switchboard"
"9d2e6a86-d977-49f8-85b8-4eac669abfc2","","checklist-sectioned","","0a9e7302be0f69ce1b5b956ba7f2009ae8f2bb5bc8e23c88020aa6e2984017ce","checklist","FALSE","FALSE","Electrical Mains / Submain"
