"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9a30dd0b-79aa-4c4d-90b0-08dbb9bdd971","","folder-normal","","","step","TRUE","FALSE","Site QA"
"158a8fca-f9af-447d-919a-bba8d6fa621c","","folder-normal","","","step","TRUE","FALSE","Site QA","First fix"
"c9ab475e-cc11-4c04-92f7-a269ebf8394e","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","First fix","First floor - Bank area"
"0d8416ff-4291-4b8b-a06b-bf58bd2100dd","","folder-normal","","","step","TRUE","FALSE","Site QA","Second fix"
"e9ec672d-7d20-4b45-9ce3-49ba4b9c29cd","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Site QA","Second fix","First floor - Bank area"
"121d5be9-45d1-4321-9d94-513c4b7cec45","","folder-normal","","","step","TRUE","FALSE","Site QA","Disconnections / Demo work"
"b781c0d0-236a-473a-b91f-348285f34f60","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","Disconnections / Demo work","First floor - Bank area"
