Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
First Fix,,,,,,
,Scope,,,Site QA,First fix,
,Rows,,,,,
,,First fix,dynamic,Site QA,First fix,
,Columns,,,,,
,,First Fix - Catenary Wires - Installed as per design,,Installed as per design,Catenary Wires,
,,First Fix - Catenary Wires - Installed level,,Installed level,Catenary Wires,
,,First Fix - Catenary Wires - Installed straight,,Installed straight,Catenary Wires,
,,First Fix - Catenary Wires - Adequate support,,Adequate support,Catenary Wires,
,,First Fix - Catenary Wires - Checked for tightness,,Checked for tightness,Catenary Wires,
,,First Fix - Catenary Wires - Correct number of cables,,Correct number of cables,Catenary Wires,
,,First Fix - Catenary Wires - Correct spacing from other services,,Correct spacing from other services,Catenary Wires,
,,First Fix - Catenary Wires - Cable ties installed,,Cable ties installed,Catenary Wires,
,,First Fix - Catenary Wires - Photos,,Photos,Catenary Wires,
,,First Fix - Flush Boxes - Height as per plan,,Height as per plan,Flush Boxes,
,,First Fix - Flush Boxes - Location as per plan,,Location as per plan,Flush Boxes,
,,First Fix - Flush Boxes - Marked on floor,,Marked on floor,Flush Boxes,
,,First Fix - Flush Boxes - Photos,,Photos,Flush Boxes,
,,First Fix - Cabling - Circuits clearly noteled,,Circuits clearly noteled,Cabling,
,,First Fix - Cabling - Cables secured,,Cables secured,Cabling,
,,First Fix - Cabling - Separation between data and power,,Separation between data and power,Cabling,
,,First Fix - Cabling - Photos,,Photos,Cabling,
,,First Fix - Lights - Cabling in correct location,,Cabling in correct location,Lights,
,,First Fix - Lights - measurements recorded,,measurements recorded,Lights,
,,First Fix - Lights - Nogging installed,,Nogging installed,Lights,
,,First Fix - Lights - Marked on floor,,Marked on floor,Lights,
,,First Fix - Lights - Photos,,Photos,Lights,
,,Second Fix - Lighting - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Lighting,Exterior
,,Second Fix - Lighting - Location as per plan,,Location as per plan,Lighting,Exterior
,,Second Fix - Lighting - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Lighting,Exterior
,,Second Fix - Lighting - Installed level,,Installed level,Lighting,Exterior
,,Second Fix - Lighting - Tested for operation,,Tested for operation,Lighting,Exterior
,,Second Fix - Lighting - Photos,,Photos,Lighting,Exterior
,,Second Fix - Access Gates - Switchgear installed as per plan,,Switchgear installed as per plan,Access Gates,Exterior
,,Second Fix - Access Gates - Location as per plan,,Location as per plan,Access Gates,Exterior
,,Second Fix - Access Gates - Installed level,,Installed level,Access Gates,Exterior
,,Second Fix - Access Gates - Tested for operation,,Tested for operation,Access Gates,Exterior
,,Second Fix - Access Gates - Photos,,Photos,Access Gates,Exterior
,,Second Fix - Landscape - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Landscape,Exterior
,,Second Fix - Landscape - Location as per plan,,Location as per plan,Landscape,Exterior
,,Second Fix - Landscape - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Landscape,Exterior
,,Second Fix - Landscape - Installed level,,Installed level,Landscape,Exterior
,,Second Fix - Landscape - Tested for operation,,Tested for operation,Landscape,Exterior
,,Second Fix - Landscape - Photos,,Photos,Landscape,Exterior
,,Second Fix - Signage - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Signage,Exterior
,,Second Fix - Signage - Location as per plan,,Location as per plan,Signage,Exterior
,,Second Fix - Signage - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Signage,Exterior
,,Second Fix - Signage - Installed level,,Installed level,Signage,Exterior
,,Second Fix - Signage - Tested for operation,,Tested for operation,Signage,Exterior
,,Second Fix - Signage - Photos,,Photos,Signage,Exterior
,,Second Fix - EV Charger - Switchgear installed as per plan,,Switchgear installed as per plan,EV Charger,Exterior
,,Second Fix - EV Charger - Location as per plan,,Location as per plan,EV Charger,Exterior
,,Second Fix - EV Charger - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,EV Charger,Exterior
,,Second Fix - EV Charger - Installed level,,Installed level,EV Charger,Exterior
,,Second Fix - EV Charger - Tested for operation,,Tested for operation,EV Charger,Exterior
,,Second Fix - EV Charger - Photos,,Photos,EV Charger,Exterior
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Second Fix,,,,,,
,Scope,,,Site QA,Second fix,
,Rows,,,,,
,,Second fix,grouping,Second fix,,
,,Restaurant,,Site QA,Second fix,Restaurant
,,Bar,,Site QA,Second fix,Bar
,,Storage / Lockers / Office / Data,,Site QA,Second fix,Storage / Lockers / Office / Data
,,Kitchen,,Site QA,Second fix,Kitchen
,,Toilets,,Site QA,Second fix,Toilets
,Columns,,,,,
,,Power outlets - Correct switchgear installed as per plan,,Correct switchgear installed as per plan,Power outlets,
,,Power outlets - Location as per plan,,Location as per plan,Power outlets,
,,Power outlets - Installed level,,Installed level,Power outlets,
,,Power outlets - note installed on switchgear,,note installed on switchgear,Power outlets,
,,Light Switches - Correct switchgear installed as per plan,,Correct switchgear installed as per plan,Light Switches,
,,Light Switches - Location as per plan,,Location as per plan,Light Switches,
,,Light Switches - Switching as per plan,,Switching as per plan,Light Switches,
,,Light Switches - Installed level,,Installed level,Light Switches,
,,Light Switches - note installed on switchgear,,note installed on switchgear,Light Switches,
,,Light Fixtures - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Light Fixtures,
,,Light Fixtures - Location as per plan,,Location as per plan,Light Fixtures,
,,Light Fixtures - Tested for operation,,Tested for operation,Light Fixtures,
,,Photos - Uploaded,,Uploaded,Photos,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Second Fix - Exterior,,,,,,
,Scope,,,Site QA,Second fix,Exterior
,Rows,,,,,
,,Second fix,grouping,Second fix,,
,,Exterior,,Site QA,Second fix,Exterior
,Columns,,,,,
,,Lighting - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Lighting,Exterior
,,Lighting - Location as per plan,,Location as per plan,Lighting,Exterior
,,Lighting - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Lighting,Exterior
,,Lighting - Installed level,,Installed level,Lighting,Exterior
,,Lighting - Tested for operation,,Tested for operation,Lighting,Exterior
,,Lighting - Photos,,Photos,Lighting,Exterior
,,Access Gates - Switchgear installed as per plan,,Switchgear installed as per plan,Access Gates,Exterior
,,Access Gates - Location as per plan,,Location as per plan,Access Gates,Exterior
,,Access Gates - Installed level,,Installed level,Access Gates,Exterior
,,Access Gates - Tested for operation,,Tested for operation,Access Gates,Exterior
,,Access Gates - Photos,,Photos,Access Gates,Exterior
,,Landscape - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Landscape,Exterior
,,Landscape - Location as per plan,,Location as per plan,Landscape,Exterior
,,Landscape - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Landscape,Exterior
,,Landscape - Installed level,,Installed level,Landscape,Exterior
,,Landscape - Tested for operation,,Tested for operation,Landscape,Exterior
,,Landscape - Photos,,Photos,Landscape,Exterior
,,Signage - Correct fixtures installed as per plan,,Correct fixtures installed as per plan,Signage,Exterior
,,Signage - Location as per plan,,Location as per plan,Signage,Exterior
,,Signage - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,Signage,Exterior
,,Signage - Installed level,,Installed level,Signage,Exterior
,,Signage - Tested for operation,,Tested for operation,Signage,Exterior
,,Signage - Photos,,Photos,Signage,Exterior
,,EV Charger - Switchgear installed as per plan,,Switchgear installed as per plan,EV Charger,Exterior
,,EV Charger - Location as per plan,,Location as per plan,EV Charger,Exterior
,,EV Charger - Installed as per manufacturer's instructions,,Installed as per manufacturer's instructions,EV Charger,Exterior
,,EV Charger - Installed level,,Installed level,EV Charger,Exterior
,,EV Charger - Tested for operation,,Tested for operation,EV Charger,Exterior
,,EV Charger - Photos,,Photos,EV Charger,Exterior
