"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"923d83a4-7b90-4413-8951-14d4061545b0","","folder-normal","","","step","TRUE","FALSE","Site QA"
"c4ea2d79-6111-4a76-bc87-cefc638893a6","","folder-normal","","","step","TRUE","FALSE","Site QA","First fix"
"ad4fe5ae-5511-46f3-a894-129bcee089db","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","First fix","Retail / Cafe"
"d3c35803-b9d8-415a-94b5-9ea29e34220a","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","First fix","Service Area"
"ffd96427-a43a-4056-965e-fa9ef56dbb6d","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","First fix","Kitchen"
"d9f49ff9-e3cc-4104-a809-eccb190b8457","","checklist-sectioned","","FirstFix - GF - Wash Bay","checklist","FALSE","FALSE","Site QA","First fix","Toilets"
"7d11c608-7090-49d7-88ea-87871fba0a6d","","folder-normal","","","step","TRUE","FALSE","Site QA","Second fix"
"66f4b7a1-4ed9-48f2-ae97-41a99d687282","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Site QA","Second fix","Retail / Cafe"
"23a0426d-ea30-4f0c-a418-1e1b021ec46c","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Site QA","Second fix","Service Area"
"d5daa272-dcbc-4fdb-addc-09e5a8efc771","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Site QA","Second fix","Kitchen"
"51dfdd8e-f3da-4e25-ac36-f7078de27388","","checklist-sectioned","","Second Fix - Level1-Office One","checklist","FALSE","FALSE","Site QA","Second fix","Toilets"
"599502f7-dd1d-42b5-b790-671577515025","","folder-normal","","","step","TRUE","FALSE","Site QA","Switchboard / Data Cabinet"
"c1392fee-4f7c-4f60-bc5f-665d9db757c4","","checklist-flat","","Electrical Submain switchboard","checklist-flat","FALSE","FALSE","Site QA","Switchboard / Data Cabinet","Electrical switchboard"
"46de3b56-1618-4b26-a698-45cd8a075a1d","","checklist-flat","","Data Cabinet switchboard","checklist-flat","FALSE","FALSE","Site QA","Switchboard / Data Cabinet","Data Cabinet"
"79bb94d3-43da-4557-83c4-a70ccc462f4f","","folder-normal","","","step","TRUE","FALSE","Site QA","Compliance"
"04d4f21b-b8f8-4740-bd0e-57505b9b0f85","","checklist-flat","","Compliance","checklist-flat","FALSE","FALSE","Site QA","Compliance","Compliance"
"4631f8dc-f731-41a1-87ed-9c9857f91c87","","folder-normal","","","step","TRUE","FALSE","Site QA","HVAC - Electrical"
"cfad0d16-e381-432d-bbc0-3b927f62630a","","checklist-sectioned","","Commercial HVAC","checklist","FALSE","FALSE","Site QA","HVAC - Electrical","Commercial HVAC"
