"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8fe5637d-5c91-4c6e-aded-0a1bd7db03c1","","folder-normal","fail","","step","TRUE","FALSE","Project QA"
"8227efe0-f218-40c4-8c8b-260afaa5dbd6","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project QA","Project Start Up (G Specs)"
"fb218d40-8abe-4b3e-b861-cfe4e5dd4e25","","checklist-sectioned","pass","A173 Appin - G002 – General Requirements","checklist","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements"
"0b5dfd6c-e812-599b-a930-73af58cd61ff","","checkpoint-group","pass","","","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 14.2 - Commencement of work on site"
"0d6630ce-1341-5d3f-bb71-2e3b8647d3d8","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 14.2 - Commencement of work on site","HOLD POINT"
"cf36c872-6b64-595f-81a0-009e0ee790f0","","holdpoint","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 14.2 - Commencement of work on site","HOLD POINT SIGN OFF"
"ec8b53c4-8122-5401-bcc1-2bcd93069db0","","checkpoint-group","pass","","","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.2 - Inviting tenders for the Primary Testing subcontract"
"83d3ac68-be95-5772-b06a-d408136a2ea9","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.2 - Inviting tenders for the Primary Testing subcontract","HOLD POINT"
"12459682-b908-5a2c-a311-e897776c1cff","","holdpoint","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.2 - Inviting tenders for the Primary Testing subcontract","HOLD POINT SIGN OFF"
"f1c524e5-71a9-57b9-9ee5-926eb3776d1b","","checkpoint-group","pass","","","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.3 - Accepting tenders for the Primary Testing subcontract"
"0bbf4c13-0a58-5b1f-89cf-8ae4684d41c0","","checkpoint-status","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.3 - Accepting tenders for the Primary Testing subcontract","HOLD POINT"
"ac693e3c-2986-5ca2-9f63-9a8ce9822701","","holdpoint","pass","","","TRUE","TRUE","Project QA","Project Start Up (G Specs)","A173 Appin - G002 – General Requirements","Clause 37.3.3 - Accepting tenders for the Primary Testing subcontract","HOLD POINT SIGN OFF"
"1f742bed-84ce-4ecd-88c6-0376a5e89953","","checklist-sectioned","pass","A173 Appin - G004 – Principal’s Project Accommodation","checklist","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G004 – Principal’s Project Accommodation"
"36efaf80-a580-51c3-98e5-7d3d64eed320","","checkpoint-group","pass","","","FALSE","FALSE","Project QA","Project Start Up (G Specs)","A173 Appin - G004 – Principal’s Project Accommodation","Clause 1.3 - Work to provide the principal's project accommodation"
