Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Flooring Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,Bldg E - L4 - Ribs,dynamic,Manufacturing QA,Bldg E,L4,Flooring,Ribs
,,Bldg E - L4 - SLABS,dynamic,Manufacturing QA,Bldg E,L4,Flooring,SLABS
,,Bldg E - L5,dynamic,Manufacturing QA,Bldg E,L5,Flooring,
,,Bldg E - L6,dynamic,Manufacturing QA,Bldg E,L6,Flooring,
,,Bldg E - L7,dynamic,Manufacturing QA,Bldg E,L7,Flooring,
,,Bldg E - L8,dynamic,Manufacturing QA,Bldg E,L8,Flooring,
,,Bldg D - L4,dynamic,Manufacturing QA,Bldg D,L4,Flooring,
,,Bldg D - L5,dynamic,Manufacturing QA,Bldg D,L5,Flooring,
,,Bldg D - L6,dynamic,Manufacturing QA,Bldg D,L6,Flooring,
,,Bldg D - L7,dynamic,Manufacturing QA,Bldg D,L7,Flooring,
,,Transformer Room,dynamic,Manufacturing QA,Transformer Room,Flooring,,
,Columns,,,,,,,
,,Photo taken of prepour sheet,,Photo taken of prepour sheet,,,,
,,Photo taken of reo,,Photo taken of reo,,,,
,,Photo taken of post pour sheet,,Photo taken of post pour sheet,,,,
,,Photo taken of product,,Photo taken of product,,,,
,,,,,,,,
Dispatch Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,Bldg E - L4,dynamic,Manufacturing QA,Bldg E,L4,Dispatch,
,,Bldg E - L5,dynamic,Manufacturing QA,Bldg E,L5,Dispatch,
,,Bldg E - L6,dynamic,Manufacturing QA,Bldg E,L6,Dispatch,
,,Bldg E - L7,dynamic,Manufacturing QA,Bldg E,L7,Dispatch,
,,Bldg E - L8,dynamic,Manufacturing QA,Bldg E,L8,Dispatch,
,,Bldg D - L4,dynamic,Manufacturing QA,Bldg D,L4,Dispatch,
,,Bldg D - L5,dynamic,Manufacturing QA,Bldg D,L5,Dispatch,
,,Bldg D - L6,dynamic,Manufacturing QA,Bldg D,L6,Dispatch,
,,Bldg D - L7,dynamic,Manufacturing QA,Bldg D,L7,Dispatch,
,,Transformer Room,dynamic,Manufacturing QA,Transformer Room,Dispatch,,
,Columns,,,,,,,
,,Add # of items on truck on dispatch docket,,Add # of items on truck on dispatch docket,,,,
,,Photo taken of completed docket,,Photo taken of completed docket,,,,
,,Photo taken of truck,,Photo taken of truck,,,,
