"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"875bb03c-e2bf-43d1-886f-fc8e73e28ef5","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"551ad41a-12e9-4a5a-b5c5-79d307844a9f","","checklist-sectioned","work-in-progress","Preliminary Activities and Materials Approval","checklist","FALSE","FALSE","Site QA","Prelim Activities"
"aaddde20-f275-41ef-b4ac-acb9b4cd1368","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Site QA","Whiteman Park"
"ed77f9c9-7bb6-4bac-978d-ff12da70187a","","checklist-sectioned","not-started","Bayswater Viaduct Checklist","checklist","FALSE","FALSE","Site QA","Bayswater Viaduct Checklist"
"6246df10-3650-4f47-8782-dda65fbc15a9","","checklist-sectioned","work-in-progress","Bayswater Top Slab (2nd Stage Casting)","checklist","FALSE","FALSE","Site QA","Bayswater Top Slab (2nd Stage Casting)"
