"","Prior to Commencement – The following documentation are completed and approved","Take Delivery of Louvre Units","Preinstall Door Checks / Openings Prepared to Receive Louvres:","Louvre Installation (Part 1):","CPB Sign Off (Part 1):","Louvre Installation (Part 2):","Final Checks","CPB Sign Off (Part 2):"
"A01",,,,,,,,
"A01-W.1.021A","not started",,,,,,,
"A01-W.1.021B",,"not started",,,,,,
"A01-W.1.021C",,,"not started",,,,,
"A01-W.1.021D",,,,"not started",,,,
"A01-W.1.021E",,,,,"not started",,,
"A01-W.1.021F",,,,,,"not started",,
"A01-W.1.021G",,,,,,,"not started",
"A01-W.1.021H",,,,,,,,"not started"
"A01-W.1.021I","not started","not started","not started","not started","not started","not started","not started","not started"
"A01-W.G.093A","pass","pass","pass","pass","pass","not started","not started","not started"
"A01-W.G.098A","pass","pass","pass","pass","pass","not started","not started","not started"
"A02",,,,,,,,
"A02-W.G.093A","pass","pass","pass","pass","pass","not started","not started","not started"
"A02-W.G.098A","pass","pass","pass","pass","pass","not started","wip","wip"
"GHS",,,,,,,,
"GHS-W.1.041A","pass","pass","pass","pass","pass","pass","wip","pass"
"GHS-W.1.041B","pass","pass","pass","pass","pass","pass","not started","pass"
"GHS-W.G.010A","not started","not started","not started","not started","not started","not started","not started","not started"
"GHS-W.G.057A","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS",,,,,,,,
"OPS-W.1.002A","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS-W.1.002B","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS-W.1.002D","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS-W.G.002D","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS-W.G.031E","not started","not started","not started","not started","not started","not started","not started","not started"
"OPS-W.G.031F","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1",,,,,,,,
"UT1-W.1.003A","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1-W.1.003B","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1-W.1.003C","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1-W.1.003D","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1-W.1.003E","not started","not started","not started","not started","not started","not started","not started","not started"
"UT1-W.1.003F","not started","not started","not started","not started","not started","not started","not started","not started"
"VRC",,,,,,,,
"VRC-W.G.013A","not started","not started","not started","not started","not started","not started","not started","not started"
"VRC-W.G.026A","not started","not started","not started","not started","not started","not started","not started","not started"
"VRC-W.G.026B","not started","not started","not started","not started","not started","not started","not started","not started"
"VRC-W.G.028A","not started","not started","not started","not started","not started","not started","not started","not started"
"A03",,,,,,,,
"A03-W.1.021A","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021B","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021C","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021D","not started","not started","not started","not started","not started","not started","not started","not started"
"A03-W.1.021E",,,,,,,,
