"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Overall Progress"
,"Scope",,
,"Rows"
,,"Area 1 - A01 - Accommodation Unit 1","dynamic","area 1","a01 - accommodation unit 1"
,,"Area 1 - A01/A02 - Accommodation Unit 1/2","dynamic","area 1","a01/a02 - accommodation unit 1/2"
,,"Area 1 - A02 - Accommodation Unit 2","dynamic","a02 - accommodation unit 2","area 1"
,,"Area 1 - A03 - Accommodation Unit 3","dynamic","area 1","a03 - accommodation unit 3"
,,"Area 1 - A03/A04 - Accommodation Unit 3/4","dynamic","area 1","a03/a04 - accommodation unit 3/4"
,,"Area 1 - A04 - Accommodation Unit 4","dynamic","area 1","a04 - accommodation unit 4"
,,"Area 1 - Msu - Management & Separates Unit","dynamic","area 1","msu - management & separates unit"
,,"Area 2 - Spo - Sports Hall","dynamic","area 2","spo - sports hall"
,,"Area 2 - Dcu - Dedicated Collections Unit","dynamic","area 2","dcu - dedicated collections unit"
,,"Area 2 - Ops - Operations, Support & Central Control","dynamic","ops - operations, support & central control","area 2"
,,"Area 2 - Vis - Prisoner Visits, Avl & Parole Board","dynamic","area 2","vis - prisoner visits, avl & parole board"
,,"Area 2 - Wha - Cultural Building - Whare","dynamic","area 2","wha - cultural building - whare"
,,"Area 3 - Ind - Workshops/Industries - Standard","dynamic","ind - workshops/industries - standard","area 3"
,,"Area 3 - Fm3 - Fm Store 3","dynamic","fm3 - fm store 3","area 3"
,,"Area 3 - Kit - Central Kitchen Facility","dynamic","kit - central kitchen facility","area 3"
,,"Area 3 - Lau - Central Laundry Facility","dynamic","lau - central laundry facility","area 3"
,,"Area 3 - Hr1 - Horticulture & Grounds Maintenance 1","dynamic","hr1 - horticulture & grounds maintenance 1","area 3"
,,"Area 3 - Hr2 - Horticulture & Grounds Maintenance 2","dynamic","hr2 - horticulture & grounds maintenance 2","area 3"
,,"Area 3 - Was - Waste Management & Recycling - Typical/General","dynamic","was - waste management & recycling - typical/general","area 3"
,,"Area 4 - Ins - Industry Search","dynamic","ins - industry search","area 4"
,,"Area 4 - Hro - Health, Receiving Office & Fm Store 2","dynamic","area 4","hro - health, receiving office & fm store 2"
,,"Area 4 - Mh1 – Mental Health (Csu & Tsu)","dynamic","area 4","mh1 – mental health (csu & tsu)"
,,"Area 4 - Mh2 – Mental Health (Isu & Smh)","dynamic","mh2 – mental health (isu & smh)","area 4"
,,"Area 4 - Pro - Programmes Facility","dynamic","pro - programmes facility","area 4"
,,"Area 5 - Ghs - Gatehouse","dynamic","ghs - gatehouse","area 5"
,,"Area 5 - Ut1 - Utilities 1","dynamic","area 5","ut1 - utilities 1"
,"Columns"
,,"Partition Framing",,"partition framing"
,,"Partition Lining",,"partition lining"
,,"Ceiling Framing",,"ceiling framing"
,,"Ceiling Lining",,"ceiling lining"

"Windows Progress (A01-A04)"
,"Scope",,,"site qa - doors and windows"
,"Rows"
,,"A01","dynamic","site qa - doors and windows","a01","window"
,,"A02","dynamic","a02","site qa - doors and windows","window"
,,"A03","dynamic","a03","site qa - doors and windows","window"
,,"A04","dynamic","a04","site qa - doors and windows","window"
,"Columns"
,,"Take Delivery of Window Units",,"take delivery of window units:"
,,"Preinstall Door Checks / Openings Prepared to Receive Windows",,"preinstall door checks / openings prepared to receive windows:"
,,"Window Installation (Part 1)",,"window installation (part 1):"
,,"CPB Sign Off (Part 1)",,"cpb sign off (part 1):"
,,"Window Installation (Part 2)",,"window installation (part 2):"
,,"Final Checks",,"final checks"
,,"CPB Sign Off (Part 2)",,"cpb sign off (part 2):"
,,"Site Hose Testing for External Windows",,"site hose testing for external windows:"

"Windows Progress (VIS)"
,"Scope",,,"site qa - doors and windows"
,"Rows"
,,"VIS","dynamic","vis","site qa - doors and windows","window"
,"Columns"
,,"Take Delivery of Window Units",,"take delivery of window units:"
,,"Preinstall Door Checks / Openings Prepared to Receive Windows",,"preinstall door checks / openings prepared to receive windows:"
,,"Window Installation (Part 1)",,"window installation (part 1):"
,,"CPB Sign Off (Part 1)",,"cpb sign off (part 1):"
,,"Window Installation (Part 2)",,"window installation (part 2):"
,,"Final Checks",,"final checks"
,,"CPB Sign Off (Part 2)",,"cpb sign off (part 2):"
,,"Site Hose Testing for External Windows",,"site hose testing for external windows:"

"Windows Progress (MH1-MH2)"
,"Scope",,,"site qa - doors and windows"
,"Rows"
,,"MH1","dynamic","site qa - doors and windows","mh1","window"
,,"MH2","dynamic","mh2","site qa - doors and windows","window"
,"Columns"
,,"Take Delivery of Window Units",,"take delivery of window units:"
,,"Preinstall Door Checks / Openings Prepared to Receive Windows",,"preinstall door checks / openings prepared to receive windows:"
,,"Window Installation (Part 1)",,"window installation (part 1):"
,,"CPB Sign Off (Part 1)",,"cpb sign off (part 1):"
,,"Window Installation (Part 2)",,"window installation (part 2):"
,,"Final Checks",,"final checks"
,,"CPB Sign Off (Part 2)",,"cpb sign off (part 2):"
,,"Site Hose Testing for External Windows",,"site hose testing for external windows:"

"Windows Progress (Other)"
,"Scope",,,"site qa - doors and windows"
,"Rows"
,,"GHS","grouping","ghs"
,,"GHS-W.1.002A",,"ghs-w.1.002a","site qa - doors and windows","ghs","window"
,,"GHS-W.1.006A",,"site qa - doors and windows","ghs","window","ghs-w.1.006a"
,,"GHS-W.1.006B",,"site qa - doors and windows","ghs","window","ghs-w.1.006b"
,,"GHS-W.1.008A",,"site qa - doors and windows","ghs","window","ghs-w.1.008a"
,,"GHS-W.1.008B",,"site qa - doors and windows","ghs","window","ghs-w.1.008b"
,,"GHS-W.1.009A",,"ghs-w.1.009a","site qa - doors and windows","ghs","window"
,,"GHS-W.1.009B",,"site qa - doors and windows","ghs","window","ghs-w.1.009b"
,,"GHS-W.1.010A",,"site qa - doors and windows","ghs","window","ghs-w.1.010a"
,,"GHS-W.1.010B",,"site qa - doors and windows","ghs","window","ghs-w.1.010b"
,,"GHS-W.1.010C",,"site qa - doors and windows","ghs","window","ghs-w.1.010c"
,,"GHS-W.1.010D",,"ghs-w.1.010d","site qa - doors and windows","ghs","window"
,,"GHS-W.1.011A",,"site qa - doors and windows","ghs","window","ghs-w.1.011a"
,,"GHS-W.1.013A",,"ghs-w.1.013a","site qa - doors and windows","ghs","window"
,,"GHS-W.1.013B",,"ghs-w.1.013b","site qa - doors and windows","ghs","window"
,,"GHS-W.1.020A",,"site qa - doors and windows","ghs","window","ghs-w.1.020a"
,,"GHS-W.1.020B",,"site qa - doors and windows","ghs","window","ghs-w.1.020b"
,,"GHS-W.1.028A",,"site qa - doors and windows","ghs","window","ghs-w.1.028a"
,,"GHS-W.1.028B",,"site qa - doors and windows","ghs","window","ghs-w.1.028b"
,,"GHS-W.1.028C",,"ghs-w.1.028c","site qa - doors and windows","ghs","window"
,,"GHS-W.1.028D",,"site qa - doors and windows","ghs-w.1.028d","ghs","window"
,,"GHS-W.1.030A",,"site qa - doors and windows","ghs","window","ghs-w.1.030a"
,,"GHS-W.1.031A",,"site qa - doors and windows","ghs","window","ghs-w.1.031a"
,,"GHS-W.1.032A",,"site qa - doors and windows","ghs","window","ghs-w.1.032a"
,,"GHS-W.1.032B",,"site qa - doors and windows","ghs","window","ghs-w.1.032b"
,,"GHS-W.1.033A",,"site qa - doors and windows","ghs","window","ghs-w.1.033a"
,,"GHS-W.1.033B",,"site qa - doors and windows","ghs","window","ghs-w.1.033b"
,,"GHS-W.1.034A",,"ghs-w.1.034a","site qa - doors and windows","ghs","window"
,,"GHS-W.1.034B",,"site qa - doors and windows","ghs","window","ghs-w.1.034b"
,,"GHS-W.1.035A",,"ghs-w.1.035a","site qa - doors and windows","ghs","window"
,,"GHS-W.1.035B",,"ghs-w.1.035b","site qa - doors and windows","ghs","window"
,,"GHS-W.G.001A",,"ghs-w.g.001a","site qa - doors and windows","ghs","window"
,,"GHS-W.G.001B",,"ghs-w.g.001b","site qa - doors and windows","ghs","window"
,,"GHS-W.G.001C",,"ghs-w.g.001c","site qa - doors and windows","ghs","window"
,,"GHS-W.G.001D",,"site qa - doors and windows","ghs","window","ghs-w.g.001d"
,,"GHS-W.G.002A",,"site qa - doors and windows","ghs","ghs-w.g.002a","window"
,,"GHS-W.G.002B",,"ghs-w.g.002b","site qa - doors and windows","ghs","window"
,,"GHS-W.G.002C",,"ghs-w.g.002c","site qa - doors and windows","ghs","window"
,,"GHS-W.G.002D",,"ghs-w.g.002d","site qa - doors and windows","ghs","window"
,,"GHS-W.G.002E",,"site qa - doors and windows","ghs","window","ghs-w.g.002e"
,,"GHS-W.G.002F",,"site qa - doors and windows","ghs","window","ghs-w.g.002f"
,,"GHS-W.G.002G",,"site qa - doors and windows","ghs","window","ghs-w.g.002g"
,,"GHS-W.G.002H",,"site qa - doors and windows","ghs","window","ghs-w.g.002h"
,,"GHS-W.G.002J",,"ghs-w.g.002j","site qa - doors and windows","ghs","window"
,,"GHS-W.G.002L",,"ghs-w.g.002l","site qa - doors and windows","ghs","window"
,,"GHS-W.G.003A",,"site qa - doors and windows","ghs","window","ghs-w.g.003a"
,,"GHS-W.G.003B",,"site qa - doors and windows","ghs","ghs-w.g.003b","window"
,,"GHS-W.G.007A",,"ghs-w.g.007a","site qa - doors and windows","ghs","window"
,,"GHS-W.G.007B",,"site qa - doors and windows","ghs","window","ghs-w.g.007b"
,,"GHS-W.G.007C",,"site qa - doors and windows","ghs","window","ghs-w.g.007c"
,,"GHS-W.G.007D",,"site qa - doors and windows","ghs","window","ghs-w.g.007d"
,,"GHS-W.G.007E",,"site qa - doors and windows","ghs","window","ghs-w.g.007e"
,,"GHS-W.G.012A",,"ghs-w.g.012a","site qa - doors and windows","ghs","window"
,,"GHS-W.G.012B",,"ghs-w.g.012b","site qa - doors and windows","ghs","window"
,,"GHS-W.G.016A",,"site qa - doors and windows","ghs","window","ghs-w.g.016a"
,,"GHS-W.G.016B",,"site qa - doors and windows","ghs","window","ghs-w.g.016b"
,,"GHS-W.G.031A",,"site qa - doors and windows","ghs","window","ghs-w.g.031a"
,,"GHS-W.G.031B",,"site qa - doors and windows","ghs","window","ghs-w.g.031b"
,,"GHS-W.G.033A",,"ghs-w.g.033a","site qa - doors and windows","ghs","window"
