"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2831339e-a077-456e-8e06-9aade0000fa4","","not-started","","folder","TRUE","FALSE","Site QA"
"e4547e0c-d201-4bfb-a4c9-0d9654746240","","not-started","","folder","TRUE","FALSE","Site QA","GF"
"928d9b83-40e2-4acf-807e-b50009192255","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 1"
"ed978ef7-d8eb-4d6b-b18f-b1e35f8b17f4","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 2"
"64c58752-4777-4264-9553-855275d0ca71","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 3"
"a86c9502-14ae-4621-86ac-63a1294055f5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 4"
"22fd630f-e83f-4d5b-b0b5-630bd9131a3f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 5"
"db5ec79f-06df-48de-997f-bec937588248","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 6"
"b61fc80a-70ec-4ff1-9f56-08952c60f66f","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 7"
"df3d81d4-dbcc-418d-9d1f-a520e889b2f2","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 8"
"a8462ec2-8ee6-469d-b29a-f2c89cefdc9d","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 9"
"a7200dda-eaa1-49de-9e9a-7fea14c998c6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 10"
"8d59075b-e0bd-4cf9-a604-ece0a6a5c030","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 11"
"29a67b12-be20-48ec-9b54-b92835f7b5b6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 12"
"26b9fde9-f1b7-41d5-809f-1d374a3a4e6e","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 13"
"1165187f-49b8-4ab9-b7f8-7851bd01aa90","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 14"
"d768e3e5-2ca4-493c-b952-929de292a448","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 15"
"3bcc0a0e-6380-4ace-885a-57dbe3a548c3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 16"
"7ee73fed-4ef0-426d-88d2-d0054101c694","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 17"
"db8d8f9d-fab4-4033-b7cb-cdcd1a1bac99","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 18"
"93468a93-b177-47e1-a7aa-2155ac0c8487","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 19"
"e872f61b-30cc-4d2b-a999-b6af139e4f50","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 20"
"76383ff8-8baf-4038-86ab-12b9a18a2b51","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 21"
"4b90bc4a-7100-427f-800b-b519f5d4bbc3","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 22"
"d28c86aa-acec-4602-8f1e-92a005afafe2","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 23"
"30191864-177a-4d49-a7e9-23bb13d411dd","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 24"
"21ec4f20-4cd6-4cd8-9c99-27690df3725a","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 25"
"c12ab7b7-9758-4305-90d5-81ca5cc635fe","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 26"
"17de12d7-3981-4af6-9955-15651dcf0147","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 27"
"3b82069b-a06e-4a28-9c9b-e131e44cac58","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 28"
"1a116bb2-2874-4f20-bd43-ed8ddd4e0924","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 29"
"e56103de-9f54-49d0-80d6-3e1ef63f5ddc","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 30"
"18e8b5a0-7772-49f3-a2e6-8cd56c182428","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 31"
"16a0c2fd-f2e2-45f8-8fe8-3e4e5eaa9ae6","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 32"
"c515bbd4-a70b-4ede-950f-cfa17a478541","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 33"
"50b0a742-03b3-4549-97d1-59b8d809a320","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 34"
"276e95f0-7604-4d8b-b34e-5f3b7f1ed7f9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 35"
"e508fb55-f30f-414a-b964-a4152f19576b","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 36"
"8566c324-d1e1-4a82-b5f5-d4a7069f9ad9","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 37"
"588268ad-0811-4895-9223-4d3c622ced14","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 38"
"75625695-6749-4c25-a26c-318eeae5d787","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 39"
"1b4a15a5-fe2c-4c38-ab14-66ab83aa4c10","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 40"
"dee333a2-bea2-4a40-976c-133991f16de5","","not-started","Curtain Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","GF","Panel 41"
"b835084f-c79e-4b16-b93f-8490ef87e8aa","","not-started","","folder","TRUE","FALSE","Site QA","L1"
"194cf676-52c1-4e81-be19-251e20e33dba","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 1"
"d40786a0-9424-4ca8-827f-6448bada235b","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 2"
"e00c5b3b-ccb8-4c8d-9757-fd045dbfbf88","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 3"
"765427bc-c923-4785-93d1-23235bb846df","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 4"
"006eb7c1-48bf-4b3a-9d9e-389eed431d5d","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 5"
"0f354a09-38ae-4e21-8762-56f977b9baa3","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 6"
"ecfc3c69-35e7-46a9-83c0-dbdb43f9af11","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 7"
"95511da0-f3bd-4c53-b0bf-982bcd244591","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 8"
"1ff90b3b-5b32-414b-97a0-49d24bc8c373","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 9"
"78860e3e-a865-4b9f-a615-aa732efc5657","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 10"
"e3ec22ac-a880-40bd-a542-de956eb5032d","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 11"
"2a4388aa-363a-437b-83e1-e3134333723a","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 12"
"e4cae0f1-7a8a-4980-8348-49c829a9269c","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 13"
"8187af78-a9ed-4b9c-b1ec-59c4e6acd0a1","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 14"
"5873711f-88c6-4814-9c7f-9eb83248e185","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 15"
"9f5e81f4-cb9b-4d51-9ddc-ba2105241c7a","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 16"
"17096fef-d343-450e-a401-1580bcbe5a9e","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 17"
"b11ebcdf-ace5-4bdf-ba1d-aaf2f6959b83","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 18"
"977d8dc6-c358-488b-83e7-efbd6e155e82","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 19"
"c992a8e1-05fe-446c-aaf7-0311c54e171c","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 20"
"a3274c37-9da1-4fe1-9be8-04d96625fdc2","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 21"
"7fe596a7-1416-4fea-b79d-67a1e2003c5f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 22"
"4d915147-d28a-451a-aecf-0c3cac345b67","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 23"
"830f7ff7-cec3-45db-8ef4-1cf242fe72b8","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 24"
"7138fff9-406d-42a2-813e-990cdcb517fd","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 25"
"e4a4e3dc-9e33-40a1-8b7e-e5f187f659a7","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 26"
"509d8a8a-e0db-49b1-a093-97d03257e698","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 27"
"dd8b4e9b-673b-4d87-94e6-ac9885573b77","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 28"
"2e5b5baa-38db-4605-b471-b5bc00162771","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 29"
"19bad386-29e2-4ab7-95d4-917a6f171208","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 30"
"da5d268a-2e4b-446e-ba23-12b8254a1e33","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 31"
"2d6d5db7-5202-4309-b069-32f0b47dd0ae","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 32"
"47ef3062-ca53-4613-9342-9539f8feebb3","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 33"
"bc12ff39-8fb5-46c3-9e0f-42d59a325ade","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 34"
"40bbab7f-4170-4c21-82fb-c521b39112c3","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 35"
"53d9796e-b857-43ed-a1f1-41ce7a2443ec","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 36"
"90ebf5d7-6e8c-4427-99a2-f7caae7e3927","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 37"
"a22143a6-cc68-4c5c-a8b5-ed800131cd3a","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 38"
"b2281bd1-a019-49d4-8b96-442684ec4ad9","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 39"
"151ae070-fd2e-45b5-8f28-54e44e022406","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 40"
"0b5e9dd3-7e83-4f7d-a43e-be50bc247eb6","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 41"
"abd45571-e895-4ec1-afca-4d00481927e1","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 42"
"b40d5871-8c27-47fa-8a99-4cb9a32ff32f","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 43"
"4e7fa7e3-f81f-42f7-8ea2-f9c7b3522096","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 44"
"137e0f88-8488-4a90-a372-8c30e66e64f6","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 45"
"10c5b6c3-9d56-404c-8f34-581aeefd6b57","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 46"
"ade8407d-f17a-4be2-85db-6c4db9672ecc","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 47"
"ceb85ab2-bdc8-4f3c-ad0f-0d261a4ac56b","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 48"
"5d288598-97a5-4e66-8cec-6357fc1b5aa0","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 49"
"5be5c9c9-210f-4841-a125-52493a8a7e39","","not-started","Window Wall Facade System Checklist","checklist","FALSE","FALSE","Site QA","L1","Panel 50"
