"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"128d6a91-48cc-4d6c-b0ce-3025e6691002","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"bff1619e-2d36-4ad2-b28e-f402e4e1a645","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","SOG B-3"
"c9e770b6-eec7-4eb4-9a6c-68074e1730c7","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","Lift Over Run"
"09a91121-5e08-4b49-b13a-130df626545e","","checklist-flat","not-started","SOG Checklist","checklist-flat","FALSE","FALSE","Site QA","SOG B-3","SOG Edge Boards"
"2bacf311-4424-414b-8a0d-f4fdc7a565da","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Basement 1"
"ba00275d-f861-47ff-b235-360719aaef24","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Columns"
"4cc8e779-0341-4411-bf96-35ea9e2a62cb","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Walls"
"65dca7d9-561d-4768-ad47-4f9db4db82e2","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","System"
"e940474b-dbb8-44b0-ae1e-937bb9b28476","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Basement 1","Slab"
"ea49d2c4-3f7a-43d5-98d6-69a79588585e","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Basement 1","Stairs"
"44ae18a2-92e5-43b1-8d9c-ac208e4e0769","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Ground"
"f161b580-f2bd-45d7-85df-62968016e608","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Columns"
"31b00e36-66af-4c14-85ed-1bf05da10b18","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Walls"
"dba80394-a606-4725-a7b3-c711797283e5","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Ground","System"
"638347bf-cb6c-4230-bcda-0fd803ab365e","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Ground","Slab"
"e57d3bec-d121-473e-8649-284fc88a8631","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Ground","Stairs"
"06151a00-b208-4841-be11-1124ebd38674","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Mezz Level"
"38dd0566-002b-45c1-9aab-0610c4153b4d","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Columns"
"66d28ab4-3430-4d4c-be04-b873cdb7766a","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Walls"
"402ce2b3-6ad2-4547-bc6a-4ee94c9ce940","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","System"
"057beda5-351e-4321-9530-f89d7994d05b","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Mezz Level","Slab"
"7f7864d7-2554-45d2-9a26-34cd4d0daab0","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Mezz Level","Stairs"
"b370c482-31a4-4c65-a67d-49e995c3f579","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 1"
"1fe15f07-9dd5-4a07-8a09-be410b777aee","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Columns"
"0f6c2770-3630-4c6f-b0a7-86bbbd2a3db9","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Walls"
"6eecefd4-9706-467d-a36c-2eaca73ac69f","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 1","System"
"c15655b5-4f57-4eed-9de3-f542c70b84db","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 1","Slab"
"f5dfdc9d-6ec3-4613-b8cf-6d4a852ec682","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Stairs"
"97aa1eb4-a7b3-4b4b-9eb5-c6cd03bcaea2","","checklist-sectioned","not-started","Screens Checklist","checklist","FALSE","FALSE","Site QA","Level 1","Screens"
"a1dd860f-b37e-4d5d-a9bb-b9ec2e393a02","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Level 2"
"e67cd097-2a00-4699-a275-63dd63ab9aa8","","checklist-flat","not-started","Columns Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Columns"
"91ef135d-3744-436b-ab32-f18545faf41c","","checklist-flat","not-started","Walls Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Walls"
"017ee5a9-2227-46b6-b9ff-73be818834d8","","checklist-sectioned","not-started","Jump System / Climb Track Checklist","checklist","FALSE","FALSE","Site QA","Level 2","System"
"2bbe5100-d1ae-4a19-931c-89a193628e2d","","checklist-flat","not-started","Suspended Slab Checklist","checklist-flat","FALSE","FALSE","Site QA","Level 2","Slab"
"d6c6dc54-282e-464f-80d7-2959b5755a9b","","checklist-sectioned","not-started","Stairs Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Stairs"
"61b01648-3d8a-4629-82a0-f25125ae92d2","","checklist-sectioned","not-started","Screens Checklist","checklist","FALSE","FALSE","Site QA","Level 2","Screens"
