"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"77dcf971-431e-4031-b8ec-b85297c43ecc","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA"
"8ab3c6bc-2856-478f-8b8b-f9b2d5d716d4","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Basement 5"
"730efcc1-23f1-4ccf-96dc-4b3d83899099","","checklist-flat","","5b0535ea83216450451aa43c4977c6c3659323377e2a74ab4157746b8b4362a5","checklist-flat","FALSE","FALSE","Allfire Site QA","Basement 5","Fire Systems ITP - Basements"
"5b332454-c759-4bc7-9086-0b19f220f6b6","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Basement 4"
"b199dcef-9a80-4660-b8d8-64b62bd060db","","checklist-flat","","5b0535ea83216450451aa43c4977c6c3659323377e2a74ab4157746b8b4362a5","checklist-flat","FALSE","FALSE","Allfire Site QA","Basement 4","Fire Systems ITP - Basements"
"44f77393-1871-46e3-9b4d-a145ec384124","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Basement 3"
"349dfdab-c931-429d-9e67-5873cfb3b5fe","","checklist-flat","","5b0535ea83216450451aa43c4977c6c3659323377e2a74ab4157746b8b4362a5","checklist-flat","FALSE","FALSE","Allfire Site QA","Basement 3","Fire Systems ITP - Basements"
"a8d915ab-afca-42fe-9fcd-fb0b44c4664f","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Basement 2"
"b36bdbb2-6767-4a8c-9852-123321b2def1","","checklist-flat","","Fire Systems ITP - Basements","checklist-flat","FALSE","FALSE","Allfire Site QA","Basement 2","Fire Systems ITP - Basements"
"f895e2dc-61ed-41f0-bf2d-95f5505c5dca","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Basement 1"
"acb2357b-70a5-4446-aa50-4befac16ece6","","checklist-flat","","Fire Systems ITP - Basements","checklist-flat","FALSE","FALSE","Allfire Site QA","Basement 1","Fire Systems ITP - Basements"
"33c9742b-e6b7-45e7-89a0-315f28307455","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Ground"
"2c549acd-9ee4-4e59-9644-5dc4a36142d6","","checklist-flat","","Fire Systems ITP - Ground","checklist-flat","FALSE","FALSE","Allfire Site QA","Ground","Fire Systems ITP - Ground"
"c36be14a-e00c-44e0-8024-7fbba3b5131e","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Level 1"
"ea221424-2e17-4986-b644-f90aeea6518b","","checklist-flat","","Fire Systems ITP - Levels","checklist-flat","FALSE","FALSE","Allfire Site QA","Level 1","Fire Systems ITP - Levels"
"d3bf89f3-ee17-4e20-ae9f-729ae2385835","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Level 2"
"a1eb78a1-2f18-40ee-aa5c-0d576ae392af","","checklist-flat","","Fire Systems ITP - Levels","checklist-flat","FALSE","FALSE","Allfire Site QA","Level 2","Fire Systems ITP - Levels"
"d7491585-8db1-47f2-b4d4-85d6aaf458ba","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Level 3"
"73990551-ef0a-4f29-964f-903237a3c8de","","checklist-flat","","Fire Systems ITP - Levels","checklist-flat","FALSE","FALSE","Allfire Site QA","Level 3","Fire Systems ITP - Levels"
"ae90bd03-8333-418f-925d-06bea9198133","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Level 4"
"0697415a-ea4a-4b2e-8981-37c32130227b","","checklist-flat","","Fire Systems ITP - Levels","checklist-flat","FALSE","FALSE","Allfire Site QA","Level 4","Fire Systems ITP - Levels"
"20b77787-1dbc-4d32-8d3e-ced38bf46312","","folder-normal","","","step","TRUE","FALSE","Allfire Site QA","Level 5"
