resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,FIT-OUT ( FCU QA ),,,,,,,,
,,,,step,,,,Level 00 - MD00101  / MP00101,,,,,,,
,,,,step,,,,,Mechanical / CHW / HHW Piping QA,,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-01,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-02,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-03,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-04,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-05,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-06,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-07,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-08,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-09,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-GF-10,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,PHHWF & PHHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,PCHWF & PCHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,SHHWF & SHHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,SCHWF & SCHWR Carbon Steel pipe work,,,,,
PVC Condensate Drain Pipe,,,,checklist,,,,,,Condensate pipework,,,,,
,,,,step,,,,Level 01 - MD01101  / MP01101,,,,,,,
,,,,step,,,,,Mechanical / CHW / HHW Piping QA,,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-01,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-02,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-03,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-04,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-05,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-06,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-07,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-08,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L1-09,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,PHHWF & PHHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,PCHWF & PCHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,SHHWF & SHHWR Carbon Steel pipe work,,,,,
CHW & HHW Piping ( WELDING ),CHW & HHW Piping ( VICTAULIC ),CHW & HHW Insulation,Labeling of Equipment ,folder-with-checklists,,,,,,SCHWF & SCHWR Carbon Steel pipe work,,,,,
PVC Condensate Drain Pipe,,,,checklist,,,,,,Condensate pipework,,,,,
,,,,step,,,,Level 02 - MD02101  / MP02101,,,,,,,
,,,,step,,,,,Mechanical / CHW / HHW Piping QA,,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-01,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-02,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-03,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-04,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-05,,,,,
Fan Coil Units ,Labeling of Equipment ,,,folder-with-checklists,,,,,,FCU-L2-06,,,,,
