PANEL,ISSUE,JOBNUMBER,LEVEL,TYPE,PANEL-ID,ZONE,COLOUR,THK,VOL,MASS,NET_AREA,GROSS_AREA,MPA,REO_KG,KGM3,WIDTH,HEIGHT,TRANSPORT_WIDTH,TRANSPORT_HEIGHT,LIFTING_CLUTCH_TYPE,LIFTER_WLL,FRANNA_REQUIRED
'02-02,CONSTRUCTION,MIR008,L02,CORE STAIR,'02-02,STAIR 3,GREY CONC,200,2.84,7.26,14.19,17,65,874.11,307.92,4749,3580,5089,3580,LMC10 ,10.0T ,NO
'02-04,CONSTRUCTION,MIR008,L02,CORE STAIR,'02-04,STAIR 3,GREY CONC,200,3.19,8.01,15.93,15.93,65,928.15,291.3,4450,3580,4790,3580,LMC10 ,10.0T ,NO
'02-05,CONSTRUCTION,MIR008,L02,CORE LIFT,'02-05,LIFT,GREY CONC,200,2.34,6.16,11.7,17.01,65,919.29,392.78,4750,3580,5090,3580,LMC10 ,10.0T ,NO
'02-07,CONSTRUCTION,MIR008,L02,CORE LIFT,'02-07,LIFT,GREY CONC,200,2.97,7.46,14.86,14.86,65,879.28,295.91,4150,3580,4150,3580,LMC10 ,10.0T ,NO
'02-09,CONSTRUCTION,MIR008,L02,CORE STAIR,'02-09,STAIR 1,GREY CONC,200,2.94,7.32,14.68,14.67,65,817.71,278.55,4100,3579,4459,3579,LMC10 ,10.0T ,NO
'02-11,CONSTRUCTION,MIR008,L02,CORE STAIR,'02-11,STAIR 1,GREY CONC,200,2.8,7.01,13.99,14.67,65,773.36,276.39,4100,3579,4439,3579,LMC10 ,10.0T ,NO
'02-13,CONSTRUCTION,MIR008,L02,PANEL,'02-13,PW3A,GREY CONC,200,2.4,5.83,11.55,11.56,50,208.81,87.11,3591,3220,3591,3220,LMC10 ,10.0T ,NO
'02-14,CONSTRUCTION,MIR008,L02,COLUMN,'02-14,P-C2,GREY CONC,250,0.64,1.52,2.58,2.58,50,86.16,133.78,800,3220,800,3220,LMC10 ,10.0T ,NO
'02-15,CONSTRUCTION,MIR008,L02,PANEL,'02-15,PW3A,GREY CONC,200,2.37,5.76,11.42,11.44,50,205.93,86.83,3552,3220,3552,3220,LMC10 ,10.0T ,NO
'02-16,CONSTRUCTION,MIR008,L02,PANEL,'02-16,PW2A,GREY CONC,300,2.8,6.79,11.98,12.46,50,212.88,76.03,3707,3360,3707,3360,LMC10 ,10.0T ,NO
'02-21,CONSTRUCTION,MIR008,L02,PANEL,'02-21,PW2C,GREY CONC,200,1.64,4.04,8.2,8.2,65,215.53,131.42,2500,3280,2500,3280,LMC10 ,10.0T ,NO
'02-22,CONSTRUCTION,MIR008,L02,COLUMN,'02-22,P-C2,GREY CONC,250,0.63,1.46,2.51,2.51,50,84.04,133.83,800,3140,800,3140,LMC10 LMC10 ,10.0T 7.0T ,NO
'02-30,CONSTRUCTION,MIR008,L02,PANEL,'02-30,PW3B,GREY CONC,300,3.28,7.96,10.94,10.95,40,214.73,65.42,3402,3220,3402,3220,LMC10 ,10.0T ,NO
'02-31,CONSTRUCTION,MIR008,L02,PANEL,'02-31,PW2A,GREY CONC,200,1.54,3.86,7.71,7.71,50,220.21,142.89,2454,3140,2454,3380,LMC10 ,10.0T ,NO
