resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,Ground,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L1,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L2,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L3,,,,,,,,
,,,,,step,,,L4,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,East Unit,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,West Unit,,,,,,,
,,,,,step,,,L5,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,East Unit,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,West Unit,,,,,,,
,,,,,step,,,L6,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,East Unit,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,,West Unit,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L7,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L8,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L9,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L10,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L11,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L12,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L13,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L14,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L15,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L16,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L17,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L18,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L19,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L20,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L21,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L22,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L23,,,,,,,,
Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,,folder-with-checklists,,,L24,,,,,,,,
Underslab Insulation ITP,Speedpanel ITP,Partitions ITP,Ceiling ITP,Doors & Frames ITP,folder-with-checklists,,,L25,,,,,,,,
