Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,,,,,,,
a09d95d7-2a1b-5cf7-a98b-ccce5fdced8c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,T1 (Lwr),Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
86d9447d-4631-5919-a460-e3d690e72c9c,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,T2 (Lwr),Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
07b5661e-d9bf-549a-ad4e-190d04938c9e,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.01,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ee55c979-4800-52c7-851a-06d74c0d30b7,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.02,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ad3b71d3-dace-54d4-9e9b-fb28420b5ed6,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.03,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
138c4635-ead5-59a0-b731-1954c3bad61d,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.04,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
2a9cc0bd-43a9-550c-8514-b3d5bbe40e40,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.05,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
ad02cd7c-94d6-5ad9-b1e4-f7b314c98201,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.06,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
030f0f2c-bca3-5bd2-886f-beb97063106b,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.07,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
609c501f-7276-54fc-a948-19d8daae0ec5,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.08,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
a2d7eb2a-6005-5000-8c09-9f74a5369df4,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.09,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
f18c4295-be3a-5d49-9efe-959aca11211a,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.10,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
c146fedd-1f3c-5339-906a-91980ce0be78,,not-started,,checkpoint,TRUE,TRUE,Site QA,Commissioning (Apts Only),Ground Level,G.11,Commission Fixture Group,Details:,Installation complies with latest revision of AS/NZS-3500 Parts 1 - 4 &/or AS/NZS-5601 (Note: Commissioning photos to be taken only within this Checkpoint),,,,,,,,,,,,,,
