"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d009ddf8-aa5b-4dac-a244-ee7e9b68bfd0","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary"
"b6446949-71de-4b25-b0cc-3f84b4b29dce","","folder-normal","not-started","","step","TRUE","FALSE","Site Diary","Undocumented variations"
"c756a1a3-e207-4da0-ad98-71a11c89f360","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Builder"
"32764b8b-b8a1-4b16-81b5-22bca2b6a407","","checklist-flat","not-started","Undocumented Variations","checklist-flat","FALSE","FALSE","Site Diary","Undocumented variations","Subcontractors"
"c985f879-b7cd-47c1-8d47-c1f698e85e62","","checklist-flat","not-started","Site Diary Checklist","checklist-flat","FALSE","FALSE","Site Diary","Site Diary comments/notes"
"ba1c2c1d-d068-44e9-bf2b-8add28249aa8","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings"
"0905bdc9-fd72-4dad-983d-fa8b252f0a88","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","July 2023"
"c4e4b2ef-e1fb-40a5-b906-f80b59e73897","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","August 2023"
"831e820b-8de0-425e-94b2-014b89e018c4","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","September 2023"
"74981659-da3c-41f9-afe3-894dc359f55f","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","October 2023"
"7663ae86-bceb-4122-a419-1c748193b932","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","November 2023"
"4871d5db-24ca-4669-bb1d-9c6e35736863","","folder-normal","no-status-not-started","","step","TRUE","FALSE","Toolbox Meetings","December 2023"
"6a9af1c0-fdce-40b9-bda6-3e12609100df","","folder-normal","not-started","","step","TRUE","FALSE","Project Drawings"
"d3072465-120b-4db2-b62e-713bf939f5d9","","checklist-flat","not-started","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Peno Drawings"
"8d97ef7f-0bbe-4c8c-9507-7d9f4416905a","","checklist-flat","not-started","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fabb Sheets"
"fc823716-585d-43dd-8147-4040d1f04919","","checklist-flat","not-started","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","Fitters Drawings"
"2ff067c3-8a5d-4b2d-b648-fdf5cf567279","","checklist-flat","not-started","Project Drawings","checklist-flat","FALSE","FALSE","Project Drawings","RCP"
