"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2cb81919-3f91-48e1-beec-ab407986aca8","","checklist-flat","pass","Job Details Checklist (V1)","checklist-flat","FALSE","FALSE","Job Details"
"176a499a-4757-43b6-bfb4-e12d0a6bf44d","","checklist-sectioned","pass","Pre-Commencement Checklist (V3)","checklist","FALSE","FALSE","Pre-Commencement Checks"
"71f816de-7390-4f47-b70f-e4bdebb420da","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA"
"9dc284f4-9845-40df-9c31-d48712da46a2","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Pads Preparation "
"336fffa2-8943-4c04-8d3d-d447cf40beb6","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Pads Preparation ","Stage 401 - Fire Kiosk"
"1055312f-6dba-42e9-84da-c592b0bafb58","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Pads Preparation ","Stage 401 - Fire Kiosk","Valve House"
"fc0859ff-cca1-4682-9564-2b00314f8239","","checklist-flat","pass","C - S - Pipe Laying - Water","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 401 - Fire Kiosk","Valve House","Pipe work FW"
"e6a4b93c-8942-42ab-a8d4-0c4900d1404e","","folder-normal","work-in-progress","","step","TRUE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01"
"b2720277-47b3-5821-a22c-950e13f56da1","","checklist-flat","pass","QA - Earthworks Checklist (V1)","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Earthworks Checks"
"f681abbc-b84e-5adf-af27-5ae0ba3a6646","","checklist-flat","pass","QA - Townhouse Pads Checklist (V1)","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","B01 pad check"
"c72d134b-c22f-4b8a-bcd8-633ea961fc4a","","folder-normal","pass","","step","TRUE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation"
"52cfc9ef-f189-4dda-862d-614d8934885a","","checklist-flat","pass","e162ae304585f096f8f3c67cfc3ad93d4e7d92e69e19a7a2b58b26c194f35ca6","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation","Area A"
"56c1e5f7-beff-4f05-97eb-097f9dc92028","","checklist-flat","pass","e162ae304585f096f8f3c67cfc3ad93d4e7d92e69e19a7a2b58b26c194f35ca6","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation","Area B"
"5b4a27df-781f-4b17-9485-037b41cceaf4","","checklist-flat","pass","e162ae304585f096f8f3c67cfc3ad93d4e7d92e69e19a7a2b58b26c194f35ca6","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation","Area C"
"77f2975a-d573-4948-9b85-3895b76bae91","","checklist-flat","pass","e162ae304585f096f8f3c67cfc3ad93d4e7d92e69e19a7a2b58b26c194f35ca6","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation","Area D"
"f4da56ce-ad56-49d6-9198-e719fbe9df2d","","checklist-flat","pass","e162ae304585f096f8f3c67cfc3ad93d4e7d92e69e19a7a2b58b26c194f35ca6","checklist-flat","FALSE","FALSE","Project Build QA","Pads Preparation ","Stage 1 - B01","Detailed excavation","Area E"
