Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Ground Level,grouping,Ground Level,,,,,,
,,GL-PCP001,expanded,GL-PCP001,Ground Level,,,,,
,,GL-PCP002,expanded,GL-PCP002,Ground Level,,,,,
,,GL-PCP003,expanded,GL-PCP003,Ground Level,,,,,
,,GL-PCA004,expanded,GL-PCA004,Ground Level,,,,,
,,Level 03,grouping,Level 03,,,,,,
,,03-PC001,expanded,03-PC001,Level 03,,,,,
,,03-PC002,expanded,03-PC002,Level 03,,,,,
,,03-PC003,expanded,03-PC003,Level 03,,,,,
,,03-PC004,expanded,03-PC004,Level 03,,,,,
,,03-PC005,expanded,03-PC005,Level 03,,,,,
,,03-PC006,expanded,03-PC006,Level 03,,,,,
,,03-PC007,expanded,03-PC007,Level 03,,,,,
,,03-PC008,expanded,03-PC008,Level 03,,,,,
,,03-PC009,expanded,03-PC009,Level 03,,,,,
,,03-PC010,expanded,03-PC010,Level 03,,,,,
,,03-PC011,expanded,03-PC011,Level 03,,,,,
,,03-PC012,expanded,03-PC012,Level 03,,,,,
,,03-PC013,expanded,03-PC013,Level 03,,,,,
,,03-PC014,expanded,03-PC014,Level 03,,,,,
,,03-PC015,expanded,03-PC015,Level 03,,,,,
,,03-PC016,expanded,03-PC016,Level 03,,,,,
,,03-PC017,expanded,03-PC017,Level 03,,,,,
,,03-PC018,expanded,03-PC018,Level 03,,,,,
,,03-PC019,expanded,03-PC019,Level 03,,,,,
,,03-PC020,expanded,03-PC020,Level 03,,,,,
,,03-PC021,expanded,03-PC021,Level 03,,,,,
,,03-PC022,expanded,03-PC022,Level 03,,,,,
,,03-PW011,expanded,03-PW011,Level 03,,,,,
,,03-PW012,expanded,03-PW012,Level 03,,,,,
,,03-PW013,expanded,03-PW013,Level 03,,,,,
,,03-PW014,expanded,03-PW014,Level 03,,,,,
,,03-PW015,expanded,03-PW015,Level 03,,,,,
,,03-PW016,expanded,03-PW016,Level 03,,,,,
,,Level 04,grouping,Level 04,,,,,,
,,04-PC001,expanded,04-PC001,Level 04,,,,,
,,04-PC002,expanded,04-PC002,Level 04,,,,,
,,04-PC003,expanded,04-PC003,Level 04,,,,,
,,04-PC004,expanded,04-PC004,Level 04,,,,,
,,04-PC005,expanded,04-PC005,Level 04,,,,,
,,04-PC006,expanded,04-PC006,Level 04,,,,,
,,04-PC007,expanded,04-PC007,Level 04,,,,,
,,04-PC008,expanded,04-PC008,Level 04,,,,,
,,04-PC009,expanded,04-PC009,Level 04,,,,,
,,04-PC010,expanded,04-PC010,Level 04,,,,,
,,04-PC011,expanded,04-PC011,Level 04,,,,,
,,04-PC012,expanded,04-PC012,Level 04,,,,,
,,04-PC013,expanded,04-PC013,Level 04,,,,,
,,04-PC014,expanded,04-PC014,Level 04,,,,,
,,04-PC015,expanded,04-PC015,Level 04,,,,,
,,04-PC016,expanded,04-PC016,Level 04,,,,,
,,04-PC017,expanded,04-PC017,Level 04,,,,,
,,04-PC018,expanded,04-PC018,Level 04,,,,,
,,04-PC019,expanded,04-PC019,Level 04,,,,,
,,04-PC020,expanded,04-PC020,Level 04,,,,,
,,04-PC021,expanded,04-PC021,Level 04,,,,,
,,04-PC022,expanded,04-PC022,Level 04,,,,,
,,04-PW011,expanded,04-PW011,Level 04,,,,,
,,04-PW012,expanded,04-PW012,Level 04,,,,,
,,04-PW013,expanded,04-PW013,Level 04,,,,,
,,04-PW014,expanded,04-PW014,Level 04,,,,,
,,04-PW015,expanded,04-PW015,Level 04,,,,,
,,04-PW016,expanded,04-PW016,Level 04,,,,,
,,Level 05,grouping,Level 05,,,,,,
,,05-PC001,expanded,05-PC001,Level 05,,,,,
,,05-PC002,expanded,05-PC002,Level 05,,,,,
,,05-PC003,expanded,05-PC003,Level 05,,,,,
,,05-PC004,expanded,05-PC004,Level 05,,,,,
,,05-PC005,expanded,05-PC005,Level 05,,,,,
,,05-PC006,expanded,05-PC006,Level 05,,,,,
