Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,
ba9fdb0f-fe68-5a5f-97a3-a27be29cd666,,checkpoint-status,not-applicable,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-001 - Hume Hwy South - Headwall 1011 - BASE,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
bdc5b055-e9f9-5e46-bbb2-45587818dcb7,,checkpoint-status,not-applicable,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-002 - Hume Hwy South - Headwall 1011 - WALLS,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
f965fb09-7ff6-5a61-a663-b9b2118babc2,,checkpoint-status,pass,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-003 - Maintenance Strip Ground Beam from Pit 305a to Pit 305,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
de253971-b6f6-5c3e-9339-a1a5168f159d,,checkpoint-status,pass,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-004 - Zone 3 - Pit 303 Insitu Pour,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
4cbf1c60-e6c5-5342-9233-3af8eecd5896,,checkpoint-status,pass,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-005 - Zone 3 - Pit 303 Insitu Pour - Lift #1 600mm,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
fbc83bfe-db3c-515f-a27d-4d20de3ea7ed,,checkpoint-status,not-started,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-006 - Pit 149 Wall Construction,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
78f3477c-d117-53bb-904c-45a7c828d87c,,checkpoint-status,not-started,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-007 - Pit 150 Base Pour,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
02816091-c727-5201-9a7d-9f17d016bc45,,checkpoint-status,not-started,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-008 - Pit 147 Base Pour,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
55bc033b-ef05-5765-a1e4-946bccf454bf,,checkpoint-status,not-started,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-009 - Pit 259 Base Pour,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
2d4a74c8-75fa-5aa9-a64f-8eabd05114be,,checkpoint-status,pass,,,TRUE,TRUE,Area 1,ITP 0013 - Structural Concrete,ITP-013-A1-LOT-010 - Pit 149-1 Wall Pour,6 - Construction Activities - Concrete Pour,6.4 - Weather Conditions & Evaporation Limits,,,,,,
