"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f7390276-cff5-420f-bcf7-30921293b638","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 3","Structure Handover"
"8c91f843-a5a1-45d1-bcd8-7a3bd363a957","","not-started","","folder","TRUE","FALSE","Structure","Level 4"
"fe228aff-6a79-40db-8a6d-ac401dfdfcd6","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 4","Suspended Slab (A)"
"f6820686-4a8f-4ee6-b35d-a2a8e249386e","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 4","Suspended Slab (B)"
"67121fec-5f70-442d-9ccd-b5c6c486bf12","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 4","Lift, Stair Walls & Columns (A)"
"60f8b156-cba2-4aac-9754-2209f1e5c3ba","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 4","Lift, Stair Walls & Columns (B)"
"70a1dd32-b270-4969-ae85-102dea765320","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 4","Structure Handover"
"bca7bd0e-a16e-4dc7-b76c-0169f8d5ac9a","","not-started","","folder","TRUE","FALSE","Structure","Level 5"
"d8ebeab4-3975-425e-a5dd-c09f08afb241","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 5","Suspended Slab (A)"
"0d9cc2f6-2ed7-4c8f-8974-44c600c5f9a9","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 5","Suspended Slab (B)"
"b2bd21a1-108b-42c1-b4ca-9fa98c0d3b87","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 5","Lift, Stair Walls & Columns (A)"
"353a8076-b6d6-4307-9680-25ca4f7b0330","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 5","Lift, Stair Walls & Columns (B)"
"a9ff59d4-4bdd-4df7-b11f-691ce0ab4458","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 5","Structure Handover"
"d44b0551-0854-472d-a016-e26b26b411c0","","not-started","","folder","TRUE","FALSE","Structure","Level 6"
"04ea3a6c-ef02-4854-ba41-adedfd03aa43","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 6","Suspended Slab (A)"
"6aa859cf-f2c0-4adc-a304-181c26ddff5b","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 6","Suspended Slab (B)"
"8546b0af-1ff8-4ee8-96b3-6671a9afc6c3","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 6","Lift, Stair Walls & Columns (A)"
"eecec8a8-626f-40d0-b892-b34cfe4235b4","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 6","Lift, Stair Walls & Columns (B)"
"e64cafe9-6344-46bf-9a32-41072ea2a3ab","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 6","Structure Handover"
"6c07458b-0506-4b71-93a8-257c128b40ca","","not-started","","folder","TRUE","FALSE","Structure","Level 7"
"fe71c8f6-78cb-46a1-9acd-19941e3afdf4","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 7","Suspended Slab (A)"
"82475af5-0a07-414b-a648-83d001047c39","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 7","Suspended Slab (B)"
"e78fb030-d03e-46f7-88f1-9431f59e9cd7","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 7","Lift, Stair Walls & Columns (A)"
"02731b09-571b-4e8c-815e-4badf368a499","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 7","Lift, Stair Walls & Columns (B)"
"7002db0c-0548-4cc8-a1ea-2480ece15233","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 7","Structure Handover"
"413e88c6-b279-4037-aa6e-40d13259a9c8","","not-started","","folder","TRUE","FALSE","Structure","Level 8"
"8e2fbb65-2128-4d85-9de8-2bf2f5939ce8","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 8","Suspended Slab (A)"
"e87d2709-c15f-443b-8b96-8524be76d77c","","not-started","Suspended Slab - GPL-QSE-ITP-STRUC-007 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 8","Suspended Slab (B)"
"33e95245-415f-4a68-ac21-b84309c7676a","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 8","Lift, Stair Walls & Columns (A)"
"562453f4-aa3d-466b-9a77-13f573546f6b","","not-started","Verticals - GPL-QSE-ITP-STRUC-006 (Rev 00)","checklist","FALSE","FALSE","Structure","Level 8","Lift, Stair Walls & Columns (B)"
"3b7b185c-788c-4fec-a313-f1ecd99f8f19","","not-started","Structure Handover to Fitout - GPL-QSE-ITP-STRUC-010 (REV 00)","checklist","FALSE","FALSE","Structure","Level 8","Structure Handover"
"8cac7f33-0a92-495f-baed-ef74a57bfd2f","","not-started","","folder","TRUE","FALSE","Structure","Level 9 (Roof)"
