type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Windows Installation Checklist,,,,,,Windows Installation Checklist
section,Pre-Install,,,,,,
checkpoint,Area clean/ clear & substrate acceptable,,,,,,
checkpoint,Window received in good condition,,,,,,
checkpoint,Site measure completed - Opening size correct,,,,,,
checkpoint,Waterproofing in place where applicable (i.e rebate),,,,,,
section,Installation & Handover,,,,,,
checkpoint,All windows installed in correct location according to drawing provide,,,,,,
checkpoint,Sub-head and sub-sill install correctly and fully seal on sub-sill photos as below,,,,,,
checkpoint,Level plumb & correct height,,,,,,
checkpoint,Fixings as 500mm spacing,,,,,,
checkpoint,Window - opening/closing freely & latching correctly,,,,,,
checkpoint,WINDOW JOCKEY SASH INSTALL AND CHECK opening/closing freely & latching correctly,,,,,,
checkpoint,All Windows and small infill Installed and hardware correctly & area left clean/tidy - Attach photos below,,,,,,
checkpoint,Glass protection applied,,,,,,
checkpoint,External Caulking (Photo Require),,,,,,
