resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,
,step,,,Site QA,,,,,,,,,,,,
,step,,,,Level 1,,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.01/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.01/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.01/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.01/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.02/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.02/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.02/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.03/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.03/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.03/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.03/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.03/W05,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.04/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.04/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.05/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT1.05/W02,,,,,,,,,,
,step,,,,Level 2,,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.01/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.01/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.01/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.01/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.02/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.02/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.02/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.03/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.03/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.03/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.03/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.03/W05,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.04/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.04/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.05/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT2.05/W02,,,,,,,,,,
,step,,,,Level 3,,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.01/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.01/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.01/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.01/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.02/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.02/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.02/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.03/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.03/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.03/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.03/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.03/W05,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.04/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.04/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.05/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT3.05/W02,,,,,,,,,,
,step,,,,Level 4,,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.01/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.01/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.01/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.01/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.02/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.02/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.02/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.03/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.03/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.03/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.03/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.03/W05,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.04/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.04/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.05/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT4.05/W02,,,,,,,,,,
,step,,,,Level 5,,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.01/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.01/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.01/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.01/W04,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.02/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.02/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.02/W03,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.03/W01,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.03/W02,,,,,,,,,,
Windows Installation Checklist,checklist,,,,,APT5.03/W03,,,,,,,,,,
