type,name,values,prefix,postfix,usage count,user addable,template name
checklist,Commercial HVAC,,,,,,
section,Extract Fans,,,,,,
checkpoint,Run correct cable,,,,,,
checkpoint,Surface socket / isolator installed,,,,,,
checkpoint,Switching as per plan,,,,,,
section,Fresh Air,,,,,,
checkpoint,Run correct cable,,,,,,
checkpoint,Isolator installed,,,,,,
checkpoint,Cable labelled as per plan,,,,,,
section,Heater Banks,,,,,,
checkpoint,Run correct cable,,,,,,
checkpoint,Isolator installed,,,,,,
checkpoint,Cable labelled as per plan,,,,,,
section,Fire,,,,,,
checkpoint,Cable run from fire panel to HVAC panel (DB),,,,,,
section,AC In-door,,,,,,
checkpoint,Run correct cable,,,,,,
checkpoint,Run interconnect cable,,,,,,
checkpoint,Run wall controller cable,,,,,,
checkpoint,Run coms loop,,,,,,
checkpoint,Run cable to splitter boxes,,,,,,
checkpoint,Isolator installed,,,,,,
section,AC Out-door,,,,,,
checkpoint,Run correct cable,,,,,,
checkpoint,Run isolator to unit loop,,,,,,
checkpoint,Run interconnect cable,,,,,,
checkpoint,Run interconnect cable to central controller,,,,,,
