Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-sectioned,,,checklist,Jump System / Climb Track,,,,,Yes,Jump System / Climb Track Checklist,0c7db21d-4626-4f63-a8a3-8ce2c32e1c54
checkpoint-group,,,section,Pre Lift,,,,,,,
checkpoint-status,,,checkpoint,Confirm concrete strength MPA 15 has been reached at connection points (Builder to supply),,,,,,,
checkpoint-status,,,checkpoint,Signage in place (Stripping in progress/Jumping in progress/ No access),,,,,,,
checkpoint-status,,,checkpoint,Exclusion Zone in place,,,,,,,
checkpoint-status,,,checkpoint,Spotters in place on slab below jump (outside exclusion zone),,,,,,,
checkpoint-status,,,checkpoint,All Platforms cleaned and clear from rubbish,,,,,,,
checkpoint-status,,,checkpoint,All loose materials removed from edge,,,,,,,
checkpoint-status,,,checkpoint,Clear communication between team leaders and Crane crew (toolbox talk),,,,,,,
checkpoint-status,,,checkpoint,Ladders available and secured,,,,,,,
checkpoint-status,,,checkpoint,Flipper systems lubricated,,,,,,,
checkpoint-status,,,checkpoint,Trailing Decks clean of debris,,,,,,,
checkpoint-status,,,checkpoint,Trailing decks clear of protruding ferrals in walls above,,,,,,,
checkpoint-status,,,checkpoint,Check exclusion zones in pit below are in place,,,,,,,
checkpoint-status,,,checkpoint,Plumber to check pipes to water cooler,,,,,,,
checkpoint-status,,,checkpoint,Transfer RL heights,,,,,,,
checkpoint-group,,,section,Post Lift,,,,,,,
checkpoint-status,,,checkpoint,Confirm connection points are secure and all engaged,,,,,,,
checkpoint-status,,,checkpoint,Confirm mesh secured to doors and penetrations,,,,,,,
checkpoint-status,,,checkpoint,Signage in place,,,,,,,
checkpoint-status,,,checkpoint,Screens and mesh infills are in place and secure,,,,,,,
checkpoint-status,,,checkpoint,Loose materials are stacked and secure each day,,,,,,,
checkpoint-status,,,checkpoint,Platforms cleaned and clear from rubbish,,,,,,,
checkpoint-status,,,checkpoint,All loose materials removed from edge,,,,,,,
checkpoint-status,,,checkpoint,Loads on platforms not exceeded,,,,,,,
checkpoint-status,,,checkpoint,Ladders available and secured,,,,,,,
checkpoint-status,,,checkpoint,Access is clear and marked,,,,,,,
checkpoint-status,,,checkpoint,Power Board connected,,,,,,,
checkpoint-status,,,checkpoint,Hangers and planks have been secured,,,,,,,
checkpoint-status,,,checkpoint,Confirm ready for lift with all involved - Team Leaders,,,,,,,
