"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8e12bb11-6e0b-4097-95c7-154203689a29","","work-in-progress","","folder","TRUE","FALSE","QA Checks"
"bc0bc1c6-7664-4dcc-89ac-1207acbcf824","","not-started","","folder","TRUE","FALSE","QA Checks","August"
"982d7acc-39f7-42b3-9952-869aefacef17","","not-started","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","August","QA Form"
"086915a4-296b-4c79-8ad0-aa51b0a85a28","","work-in-progress","","folder","TRUE","FALSE","QA Checks","September"
"e15205a3-d3ba-4aef-9cc7-995f1d3f5d46","","work-in-progress","Form 87 - QA Form","checklist","FALSE","FALSE","QA Checks","September","14017 / B&J Catalano"
"5fe23fc3-a4b9-4ab9-ac87-8d5723670007","","no-status-not-started","","folder","TRUE","FALSE","QA Checks","October"
"3afd60ea-cb29-4491-9c82-fe1f61426bf6","","no-status-not-started","","folder","TRUE","FALSE","QA Checks","November"
"27268f9a-8844-4766-98df-471b2a0d5a23","","no-status-not-started","","folder","TRUE","FALSE","QA Checks","December"
"3d0d6791-2905-4e00-8b98-f33749779215","","work-in-progress","","folder","TRUE","FALSE","Load Checks"
"284280a3-4b26-4746-8257-074a07c4ee72","","work-in-progress","","folder","TRUE","FALSE","Load Checks","September"
"ea046b43-9455-447a-8105-f6410d14a9d1","","pass","","folder","TRUE","FALSE","Load Checks","September","02/09"
"0a1f8124-117a-483e-96fd-f01654b8e893","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","02/09","Load Check - 013755-8"
"d82d9b84-9388-4211-8c16-a46dc66693d8","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","02/09","Load Check - 014130-2"
"a1eb56b9-22a1-4b53-b32f-5a96db6e05be","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","02/09","Load Check - 014086"
"d3e112b2-d633-44c5-8929-45f8f5fef1f8","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","02/09","Load Check - Andrew"
"573f4e91-f073-40f0-952f-239a9d222ae4","","pass","","folder","TRUE","FALSE","Load Checks","September","03/09"
"8a54c95e-a884-4390-a277-86988879c1da","","pass","2fff03710071b39841198f389d9b51ee16a60d2691309375ce848ddff11569f9","checklist","FALSE","FALSE","Load Checks","September","03/09","Load Check - 014156"
"56a7f7b6-d807-4148-8154-a4c1e3e37cfe","","pass","","folder","TRUE","FALSE","Load Checks","September","04/09"
"368241d2-fec1-4000-b7f6-ff91ae6bf1d6","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","04/09","Load Check - Nigel "
"6d5bfc49-d1d2-45df-8b99-086884c11eb1","","no-status-not-started","","folder","TRUE","FALSE","Load Checks","September","05/09"
"f663b93a-4dca-4b7f-84d9-4c870aeb2e67","","pass","","folder","TRUE","FALSE","Load Checks","September","06/09"
"5d35a6b3-749c-4edf-af28-ba06ba96e00b","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","06/09","Load Check - SWGA 7572"
"46283762-0242-4d80-9aee-8436485178b2","","no-status-not-started","","folder","TRUE","FALSE","Load Checks","September","09/09"
"d8d4f2b8-a302-443b-9dd8-5f11740cc7b2","","pass","","folder","TRUE","FALSE","Load Checks","September","10/09"
"29d9e988-738c-4952-8c53-61a3911b4b8e","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 014005-4"
"b55261ec-5aa5-4577-9758-9cb52d310c55","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 014005-5"
"0601b22d-6dad-499f-b6c7-ff58fbf20051","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 014130-7"
"79eee55a-35ca-41e4-8b6d-f4581ca74df0","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 014005-6"
"d1f556f7-dd71-46f0-9265-97673cd2a580","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 013834-3"
"54be1263-e3e2-49e4-95af-409dfbfc57a8","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check- SO-13774-2"
"305d6386-5b17-40a0-92df-bbfc15a3631f","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check-SO 14190"
"87c64478-3570-45de-a9ce-d9ece9758c9e","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","10/09","Load Check - 014012"
"392369db-9cc3-4448-81de-e10fc8db6e57","","work-in-progress","","folder","TRUE","FALSE","Load Checks","September","11/09"
"6736f340-87c5-4a9d-88de-5e2fa8d03712","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","11/09","SO014010-3"
"46a3de6f-6a1a-4110-9909-d12ffd038eeb","","work-in-progress","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","11/09","SO014202"
"79e2a59d-7d3a-4598-bea8-079c06880afa","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","11/09","SO014172"
"ee6544e6-8c82-4ddd-9519-fb0238d335c9","","pass","","folder","TRUE","FALSE","Load Checks","September","12/09"
"28a98e72-9378-49d0-af3c-98f8021f08eb","","pass","Ω (Deprecated) SYS - Load Check (v0)","checklist","FALSE","FALSE","Load Checks","September","12/09","SO014049"
