type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Ductwork Checklist,,,,,,Ductwork Checklist
checkpoint,"Ductwork delivered, protected & clean - i.e plastic wrapped",,,,,,
checkpoint,Marked off on latest drawing,,,,,,
button,Installed as per latest drawing,"Yes, No",,,,,
button,Correct height as per drawing,"Yes, No",,,,,
button,Duct flanges firmly bolted & sealed where required,"Yes, No",,,,,
button,Cleats installed as required,"Yes, No",,,,,
button,Insulated as required/ damage free,"Yes, No",,,,,
checkpoint,Supported to requirements,,,,,,
button,Correct hanger spacing,"Yes, No",,,,,
button,Correct rod length,"Yes, No",,,,,
checkpoint,Volume dampers installed as per drawing,,,,,,
checkpoint,Motorised dampers installed as per drawing,,,,,,
button,Dampers open & free moving,"Yes, No",,,,,
checkpoint,Acoustic penetration sealing to requirements,,,,,,
checkpoint,Damage free post-install & Area left clean/tidy (Any Issues comment below),,,,,,
,,,,,,,
checklist-flat,Ductwork Checklist,,,,,,Ductwork Checklist (2)
checkpoint,"Ductwork delivered, protected & clean - i.e plastic wrapped",,,,,,
checkpoint,Marked off on latest drawing,,,,,,
button,Installed as per latest drawing,"Yes, No",,,,,
button,Correct height as per drawing,"Yes, No",,,,,
button,Duct flanges firmly bolted & sealed where required,"Yes, No",,,,,
button,Cleats installed as required,"Yes, No",,,,,
button,Insulated as required/ damage free,"Yes, No",,,,,
checkpoint,Supported to requirements,,,,,,
button,Correct hanger spacing,"Yes, No",,,,,
button,Correct rod length,"Yes, No",,,,,
checkpoint,Volume dampers installed as per drawing,,,,,,
checkpoint,Smoke dampers installed as per drawing,,,,,,
button,Dampers open & free moving,"Yes, No",,,,,
checkpoint,Damage free post-install & Area left clean/tidy (Any Issues comment below),,,,,,
