"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"d0eb19f3-d55d-4fb1-b556-ae68f5f2ddda","","checklist-sectioned","not-started","ITR-I-11 Cone and Thread Pressure Testing","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-11 Cone and Thread Pressure Testing"
"15990f20-c2fd-4b35-bf6c-003773480cee","","checklist-sectioned","not-started","ITR-I-12 Telecommunications Equipment Panel","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-12 Telecommunications Equipment Panel"
"95e4b728-8daa-479a-8f8f-0970431da182","","checklist-sectioned","not-started","ITR-I-13 Temperature Instrument Installation","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-13 Temperature Instrument Installation"
"96d5d703-463f-46f4-972b-5aeb0c21b10b","","checklist-sectioned","not-started","ITR-I-14 Flow Meter Installation","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-14 Flow Meter Installation"
"effc98fe-fd41-42ff-bee1-7d06834ea27a","","checklist-sectioned","not-started","ITR-I-15 Pressure Instrument Installation","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-15 Pressure Instrument Installation"
"f3b66cf3-6724-4715-820d-0511e5466716","","checklist-sectioned","not-started","ITR-I-16 Level Instrument Installation","checklist","FALSE","FALSE","Checklists - Instruments","ITR-I-16 Level Instrument Installation"
"d35b74ac-ff9f-4b4c-8f72-fc7b465a269b","","checklist-flat","not-started","Record of Inspection (ROI)","checklist-flat","FALSE","FALSE","Checklists - Instruments","Record of Inspection (ROI)"
"ca7b82ea-1824-4a0a-953e-cd875bc96258","","folder-normal","no-status-not-started","","step","TRUE","FALSE","HSE"
"112a619b-b16b-440f-9a18-14d7f4edfb51","","checklist-sectioned","no-status-not-started","Toolbox Meeting","checklist","FALSE","FALSE","HSE","Toolbox Meeting"
"51d7831d-e404-4767-8661-424474a40a32","","checklist-sectioned","no-status-not-started","JHA - Job Hazard Analysis","checklist","FALSE","FALSE","HSE","JHA - Job Hazard Analysis"
"ab258cf6-5310-4e3f-9f4d-1a9dab2ca5e8","","checklist-sectioned","no-status-not-started","JHA - Job Step","checklist","FALSE","FALSE","HSE","JHA - Job Step"
"889d621c-c3ec-4227-8cc1-2751768f55b3","","folder-normal","work-in-progress","","step","TRUE","FALSE","Examples"
"2f2844ee-bce3-483c-b9df-3e49c4d92f47","","folder-normal","work-in-progress","","step","TRUE","FALSE","Examples","3 Phase motor"
"42048858-4ac3-48c4-a7bb-32aa1b9a5098","","checklist-flat","pass","Certificate of compliance (COC)","checklist-flat","FALSE","FALSE","Examples","3 Phase motor","Certificate of compliance (COC)"
"23fc88c0-4d01-497e-ac02-4316ac8cf672","","checklist-flat","pass","ITR-E-04 Schedule of Test Results DB","checklist-flat","FALSE","FALSE","Examples","3 Phase motor","Cable Test Record"
"9df99f8c-6ba4-4650-ab2c-a77ebf73b57a","","checklist-sectioned","pass","ITR-E-05 Low Voltage Cables","checklist","FALSE","FALSE","Examples","3 Phase motor","ITR-E-05 Low Voltage Cables"
"dde6784e-7b45-4c30-9a44-9bdd451922a2","","checklist-sectioned","work-in-progress","ITR-E-13 Motors","checklist","FALSE","FALSE","Examples","3 Phase motor","ITR-E-13 Motors"
"4a66735b-715c-4afa-b105-605399455fac","","checklist-sectioned","not-started","ITR-E-14 Motor Control","checklist","FALSE","FALSE","Examples","3 Phase motor","ITR-E-14 Motor Control"
