Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,,,,
6ffde767-47cb-4f2a-a9ec-f4c0f705e869,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-27,
fb7158d9-c6d7-422f-90e2-a21197a92940,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-22,
8b2f6929-e034-4003-805d-5b76557dbdaa,,checklist-sectioned,not-started,Multiplex Stairs Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-21,
87855a46-ea4f-44ba-bdd7-f4b4aec144b2,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-23,
88eb5a8c-862a-48e1-b54e-3a01955f8213,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-24,
c07671e4-0400-4e9c-b566-0b18b1301846,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-25,
b7a05ece-8b54-4654-a677-b1a2d2350125,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-26,
f43a51cf-ec67-441f-910a-51a2c2a47cfe,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,A-LG-28,
e379ec2f-6319-47e6-aa23-00d1ffd6c731,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,LG,Ramp 7 Pedestrian Ramp,
53ea223c-43d9-4708-bf08-8a76c1c16f19,,folder-normal,work-in-progress,,step,TRUE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,,
e38d3fad-64dc-4818-9abe-0476afc99e4a,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-19,
1434b46e-ce78-4bc6-bfca-5e0f4de7a946,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-20,
50c7a798-9080-49d0-beaa-bc925a63a580,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-21,
dfcc7cf4-609f-46c3-b238-ae052fb78ac5,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-22,
2a816e57-0f18-4e93-b001-320e7761a139,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-23,
bd066100-7096-43b7-ac06-ef6d69289da5,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-24,
8aba7fa8-3959-4287-850f-14cb9d6e6d69,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-25,
60e1c0e3-74fd-4907-8d4d-732c1dd3d0ca,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-26,
3e9ed0f9-bc43-4e09-a997-41fe35ac2b3a,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-27,
d87bf0d6-75ec-4353-ae7f-f9a46e79c9d4,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-28,
1aecf26a-1582-4109-952e-a999b9ede613,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-29,
a26ed8e7-300e-4b13-a21b-267189c501e0,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-30,
c0933b38-7bbd-4e4e-8c6c-2148972d3cfb,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-31,
312cf66a-e438-47de-9c44-209b71dc49b8,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-32,
88b046d6-4242-49c1-9c88-db8636b91c2f,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-33,
93709a9b-6a69-4421-9716-a2c78d0e0954,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-34,
1437a45a-5991-4c49-a98a-b9c5ce734c94,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-35,
11ad7340-ae0c-426d-b220-5f65a1a06dd3,,checklist-sectioned,work-in-progress,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-36,
a3da3ad6-99b1-48a0-acc3-10af5b92d469,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-37,
be1250b9-dad8-4bfa-9521-de5cb7561e17,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-38,
da2a3fb7-fa8d-4b9f-ac1b-410c0e45d878,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-39,
f8d298f2-5966-48b6-9ad8-34dcb2df8a62,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-40,
30d4b37d-8860-4b06-be0f-7ede0bccb953,,checklist-sectioned,not-started,Multiplex Slab Concrete Pour ITP (V.132121),checklist,FALSE,FALSE,Structure,Concrete Pours,Zone A (Building B),Podium,Slab,Ground,A-GF-41,
