"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"619b67b5-7f61-4bcd-ac0a-f87274fe8d3c","","work-in-progress","","folder","TRUE","FALSE","Site Photos"
"ad9bfbb8-fb67-40ff-a85d-3f60397e5f39","","work-in-progress","","folder","TRUE","FALSE","Site Photos","November 2024"
"de8bc7e9-9031-486c-93c4-c7af2fec173e","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 06/11/2024"
"01d42d29-2580-41a4-816b-7111cf8a91f4","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 07/11/2024"
"67263313-6ea5-41dd-8636-8b371403db66","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 08/11/2024"
"22b078ca-618b-433b-878e-e90a7317f7aa","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 09/11/2024"
"368fd7a5-b863-47ac-91cd-5a2993d564b3","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 10/11/2024"
"51ac935a-6a67-4ea3-ae97-10dda4db20a9","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 11/11/2024"
"195cd535-31bc-404d-a57a-6f3817c32b24","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 12/11/2024"
"d1c71d7b-8aba-4765-850a-07b45713c24e","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 13/11/2024"
"82645ca7-197b-4319-aba7-64ae201bd110","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 14/11/2024"
"ba0e32ba-e52c-4d8f-a710-8e7e1856df90","","not-started","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 15/11/2024"
"4f54a647-04bb-4b7b-948a-53d4ac36a0a3","","not-started","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 16/11/2024"
"f11e33b2-c637-4838-8ecb-3f0360f42602","","not-started","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 17/11/2024"
"6896f619-dd1e-4249-ac99-3b3c4cc25333","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 18/11/2024"
"6b1d3ca3-124a-42e9-b574-83e8f09e10d9","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 19/11/2024"
"a0230f42-ec40-44c7-beb9-57eed6f9aa3d","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 20/11/2024"
"11ab3fbf-587d-4218-9897-1af520d9d93b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 21/11/2024"
"4756428c-990d-4b5e-b7b5-f4d0f2703994","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 22/11/2024"
"6b55f124-faaa-4e9f-8bfc-08a9f2803cde","","not-started","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 23/11/2024"
"3f55b3e0-ff3a-4ef1-b1c4-622a6bf664ec","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 25/11/2024"
"576c520c-8e1b-48c0-a2cc-926c102e9841","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 26/11/2024"
"12727a9f-bb19-4dd7-b5bb-30801b5abd6c","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 27/11/2024"
"d1dbee01-7831-4807-8c64-a3b017724c6c","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 28/11/2024"
"22df95ae-0b00-4868-b32a-b7581800cca2","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 29/11/2024"
"f6e27ace-d203-4313-b61f-a3ac1a9bde68","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 30/11/2024"
"fe502c19-bb7d-4a32-87a6-d572504a365b","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","November 2024","Project Photos 30/11/2024 - Stockpile Delay"
"d45ba168-01cd-48c9-a361-3925920a8ffa","","pass","","folder","TRUE","FALSE","Site Photos","December 2024"
"6f41f066-041c-46c3-bee9-da56cb395609","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 01/12/2024"
"292f4632-9107-40c1-a490-3ad07eb64ad5","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 02/12/2024"
"72e3b36d-50f5-44b6-98c1-7243583510fc","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 03/12/2024"
"21b95803-dbaa-41b8-8125-290143e4d4fa","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 04/12/2024"
"9d9de06c-8687-425c-ac8a-5502b6c84a72","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 05/12/2024"
"ad8e3256-8cc3-4cfb-ac5f-886b4dac5fd9","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 06/12/2024"
"08177368-86f8-4c3a-acfb-641c739d11b0","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 07/12/2024"
"91bd2b96-4160-44ec-8f78-d9fc94311b95","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 08/12/2024"
"c4bdcfcb-de97-4dda-868d-c827e181c683","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 09/12/2024"
"07e86c24-797e-43ab-b69a-dba7c0e86bf2","","pass","Project Photos","checklist","FALSE","FALSE","Site Photos","December 2024","Project Photos 10/12/2024"
