Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,QA,dynamic,Sansom - 23128 - Snells Beach WWTP Facade,
,Columns,,,,
,,"Substrate is clean, dry & ready to start",,"Substrate is clean, dry and ready to start",
,,Record product batch numbers,,Record product batch numbers,
,,Install bond breaker tape to vertical/horizontal joints,,Install bond breaker tape to vertical/horizontal joints,
,,Apply primer to vertical/horizontal joints,,Apply primer to vertical/horizontal joints,
,,Apply sealant to vertical/horizontal joints,,Apply sealant to vertical/horizontal joints,
,,Write initials & date beside each joint,,Write initials and date beside each joint,
,,Joint sealant installed correctly & as per drawings/spec.,,Joint sealant installed correctly and as per drawings/specification,
,,Work area is left clean & tidy,,Work area is left clean & tidy,
