"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2eec4a73-fe2e-4796-a5f1-df2179e0a048","","not-started","","folder","TRUE","FALSE","L-2"
"7075b200-15f3-4941-86cf-be1bb286d72c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-2","W-2.01"
"17c65ef4-882e-4678-af16-6e5147815680","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-2","W-2.02"
"cd17558d-eb14-4d4d-aa1a-80374463c9a5","","work-in-progress","","folder","TRUE","FALSE","L-1"
"dc9b09fd-6444-4c20-8c7c-2f80a771e2ff","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.01"
"51b3cf53-e559-4111-8e7a-a9110ee4b8b3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.02"
"e853e845-e416-4f3b-b651-a90caacf2507","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.03"
"3efebbb4-d1c6-4a45-ab44-a16b97203979","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.04"
"966dfa72-6e41-4ed0-9452-30f0aadd160e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.05"
"15fbc29e-a17f-4064-bdb8-c937c732a812","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.06"
"72f8f117-16ca-4474-90bd-3b9f0ed20f7a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.07"
"bb9278b5-46c7-4b82-a2dc-47dcdb7455b6","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.08"
"565b1969-a4ed-4fcd-967b-816f8d17f620","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.09"
"4c1a47eb-42dc-49fd-a23a-e0b17f7ef29d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.10"
"1f4decce-f60b-432a-8495-9160db241410","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.11"
"77f9eba1-fef2-49ae-8619-75426af99fe9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.12"
"ba5d69df-c931-48d6-83fe-e6af35445719","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.13"
"96354b31-2963-43bd-a202-d1ef18bc392b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.14"
"9a106034-e265-454d-badc-d3b1ee41b663","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","L-1","W-1.15"
