"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"afc8936a-9be3-43ad-b3d7-46a3b368f48a","","work-in-progress","","folder","TRUE","FALSE","East"
"0036aa2b-8ade-44e2-a469-e77127c8f4cd","","work-in-progress","","folder","TRUE","FALSE","East","Ground"
"5ae8e0a3-8bce-49dd-80eb-e6f2dc07121b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B01-1"
"f2a81e23-094d-4075-a7aa-da7fdb285c4e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B01-2"
"0a2be26f-4ced-49f4-a6e7-e5ab8d230790","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B02-1"
"5ecaebb7-e03c-402f-a9e9-36629801ec80","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B05-1"
"67e0e9c8-f430-4b3b-8ebf-70af760a5d25","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B09-1"
"ef224f78-5328-4693-bbbb-90729bfc8ae1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B12-1"
"122c97c1-290c-4c1e-bf29-cde5b02c334f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B13-1"
"846a9618-6012-4303-91ec-c4a11e06abe8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","DE-00.B14-1"
"0ff17e13-6f2c-41ad-82a9-bbf776e04546","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B14-1"
"de050846-620c-40f9-b849-8e8821160ecd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B14-2"
"293b7236-143f-4b0d-a172-c0ad628189e8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B14-3"
"04d7903b-c6a6-4ad7-99f8-17cfe9fdeace","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B15-1"
"5e2c8a80-fa5f-4c85-9546-8afa625c3a1e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B16-2"
"bb25e1ad-205c-40cf-a6e8-72b5692befa5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B21-1"
"a0352ea3-e75a-43ca-926b-b87a492eb36f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B22-1"
"feb076cb-f7f7-4320-a987-f734fb25f71d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B22-2"
"cf693071-2e63-45b4-a2a6-20ab005c4a16","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B22-3"
"4a41c0c7-240c-4855-9c6d-1a202e269458","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B24-1"
"f7fad378-28c6-449b-9758-449c50af875f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B26-1"
"cac62172-c47e-410e-97fe-5a47bdf99fa9","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B28-1"
"6ed11fd6-a4a7-4b9b-9077-30d6afd67ca1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B33-1"
"ddb17380-d697-43ea-877c-c38b9ae9f640","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B31-1"
"cb3263dd-f9ff-4de5-b74f-31b19650fbac","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B34-1"
"8a0a2183-63d9-4d8a-a965-ead7d0b15a6f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B35-1"
"6fddd4a4-6b40-4835-85ff-5f1797d47ef3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B36-1"
"d4a6a300-9882-48f6-a371-f672b329d7dc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B36-2"
"b85a5606-437e-4faf-9dd8-0c058cedd67a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B36-1"
"a63d2e53-891a-4ce9-bf3e-884997e432bd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B39-1"
"3adfe350-4d03-488e-a44a-ad7d76427abf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B39-2"
"62a8e2e2-791e-4c65-b93c-59e365eb6bc8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B46-1"
"3e3e2be6-aa22-4c77-b5d4-c26b0e4db5a3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B46-2"
"e12db420-b8fc-47cd-b046-2f37299c0290","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B46-3"
"c0cd285e-73e7-49b6-b3e0-f39d6e7ee5d6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B46-4"
"b1082fad-deb8-49ae-969f-6a510319b3da","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B01-3"
"cecac6b5-99d4-45ad-9bc2-cb0c6fad4a99","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","Ground","WE-00.B01-4"
"80402ccd-5d7d-4056-9741-5a9f4bc57086","","not-started","","folder","TRUE","FALSE","East","First"
"4be75906-c713-4b9e-b66c-554fc103b825","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G01-1"
"c9e78e06-9798-4299-96de-6550e69f7f9a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G01-2"
"9271ce98-b700-401e-a560-bebe993ba7a8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G01-3"
"cfb09fc2-f04b-4a79-b8cb-074f7259cf24","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G01-4"
"9bee7c1d-6335-4522-a925-94d6b831008e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G03-1"
"a6cdf97a-3c7d-4186-b9f4-14df0f6d6096","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G05-1"
"b6b1ccc1-5a16-4b24-a456-87ba94ac3b09","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G06-1"
"30b5f460-33f8-4e85-bffb-ca2896190ea5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G06-2"
"6b0a3a51-a14d-45d6-ac84-0744df5e3556","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G09-1"
"afac4716-96c6-476b-9a0e-e8082732578f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G09-2"
"39c79bf1-0fe1-4cb0-b11f-f8234b804e8a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G11-1"
"7c4bf142-96d0-4223-81fe-13ca1df95405","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G12-1"
"87850ecd-593d-4e3b-bf48-fe9c50cc9e03","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G12-2"
"0abec8ed-e108-4bb5-9429-3ecf2dee2400","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G12-3"
"f56846e9-979d-4db8-a61f-41e458274988","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G15-1"
"cbb770a6-3f19-4e71-b23d-f89dcac3a0ed","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G13-1"
"732ad34a-3413-4dc0-be56-1aa62d8fc875","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G18-1"
"9a4834d2-527e-4325-89c2-e26acfc091bd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G19-1"
"d1a148e0-ac26-448a-9ca9-228ec8fb39c4","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","East","First","WE-01.G19-2"
