"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"QA - Ballustrades"
,"Scope",,
,"Rows"
,,"Ground","dynamic","ground"
,,"Level 1","dynamic","level 1"
,,"Level 2","dynamic","level 2"
,,"Level 3","dynamic","level 3"
,,"Level 4","dynamic","level 4"
,"Columns"
,,"Fixings drilled & chem-set",,"fixings drilled & chem-set"
,,"Hardware installed per PS1",,"hardware installed per ps1"
,,"Glass installed & plumbed per PS1",,"glass installed & plumbed per ps1"
,,"Hand-rail / link-rail installed",,"hand-rail / link-rail installed"
,,"Cover Caps and end caps Installed",,"cover caps and end caps installed"
,,"Trade clean",,"trade clean"

