Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Ground,,,,,
,Scope,,,Ground,
,Rows,,,,
,,Type C,dynamic,Ground,Type C
,,Type D,dynamic,Ground,Type D
,Columns,,,,
,,Fixings drilled & chem-set,,Fixings drilled & chem-set,
,,Hardware installed per PS1,,Hardware installed per PS1,
,,Glass installed & plumbed per PS1,,Glass installed & plumbed per PS1,
,,Hand-rail / link-rail installed,,Hand-rail / link-rail installed,
,,Cover Caps and end caps Installed ,,Cover Caps and end caps Installed ,
,,Trade clean,,Trade clean,
,,,,,
Level 1,,,,,
,Scope,,,Level 1,
,Rows,,,,
,,Type A,dynamic,Level 1,Type A
,,Type B,dynamic,Level 1,Type B
,,Type C,dynamic,Level 1,Type C
,,Type D,dynamic,Level 1,Type D
,,Type E,dynamic,Level 1,Type E
,,Type F,dynamic,Level 1,Type F
,,Type G,dynamic,Level 1,Type G
,Columns,,,,
,,Fixings drilled & chem-set,,Fixings drilled & chem-set,
,,Hardware installed per PS1,,Hardware installed per PS1,
,,Glass installed & plumbed per PS1,,Glass installed & plumbed per PS1,
,,Hand-rail / link-rail installed,,Hand-rail / link-rail installed,
,,Cover Caps and end caps Installed ,,Cover Caps and end caps Installed ,
,,Trade clean,,Trade clean,
,,,,,
Level 2,,,,,
,Scope,,,Level 2,
,Rows,,,,
,,Type A,dynamic,Level 2,Type A
,,Type B,dynamic,Level 2,Type B
,,Type C,dynamic,Level 2,Type C
,,Type D,dynamic,Level 2,Type D
,,Type E,dynamic,Level 2,Type E
,,Type F,dynamic,Level 2,Type F
,,Type G,dynamic,Level 2,Type G
,Columns,,,,
,,Fixings drilled & chem-set,,Fixings drilled & chem-set,
,,Hardware installed per PS1,,Hardware installed per PS1,
,,Glass installed & plumbed per PS1,,Glass installed & plumbed per PS1,
,,Hand-rail / link-rail installed,,Hand-rail / link-rail installed,
,,Cover Caps and end caps Installed ,,Cover Caps and end caps Installed ,
,,Trade clean,,Trade clean,
,,,,,
Level 3,,,,,
,Scope,,,Level 3,
,Rows,,,,
,,Type A,dynamic,Level 3,Type A
,,Type B,dynamic,Level 3,Type B
,,Type C,dynamic,Level 3,Type C
,,Type D,dynamic,Level 3,Type D
,,Type E,dynamic,Level 3,Type E
,,Type F,dynamic,Level 3,Type F
,,Type G,dynamic,Level 3,Type G
,Columns,,,,
,,Fixings drilled & chem-set,,Fixings drilled & chem-set,
,,Hardware installed per PS1,,Hardware installed per PS1,
,,Glass installed & plumbed per PS1,,Glass installed & plumbed per PS1,
,,Hand-rail / link-rail installed,,Hand-rail / link-rail installed,
,,Cover Caps and end caps Installed ,,Cover Caps and end caps Installed ,
,,Trade clean,,Trade clean,
,,,,,
Level 4,,,,,
,Scope,,,Level 4,
,Rows,,,,
,,Type A,dynamic,Level 4,Type A
,,Type B,dynamic,Level 4,Type B
,,Type C,dynamic,Level 4,Type C
,Columns,,,,
,,Fixings drilled & chem-set,,Fixings drilled & chem-set,
,,Hardware installed per PS1,,Hardware installed per PS1,
,,Glass installed & plumbed per PS1,,Glass installed & plumbed per PS1,
,,Hand-rail / link-rail installed,,Hand-rail / link-rail installed,
,,Cover Caps and end caps Installed ,,Cover Caps and end caps Installed ,
,,Trade clean,,Trade clean,
