"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"6ba9313e-c4e4-48f6-9099-19d2f6db79ee","","pass","","folder","TRUE","FALSE","Level G"
"1dff3866-b987-4ffb-9ca8-65c3900631f8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.01"
"37982a40-3b28-4fe0-9b76-5400447fbc27","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.04"
"b4594351-aca7-4dbf-bea6-28e4077698b5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.03"
"5e9d19e3-8ff0-4279-beb0-3aafeb3111bd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.02"
"f3aff7e4-58a2-454e-9060-34773bb9be8f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.16"
"0e8ff8ef-bac2-4272-9929-97e4a4e58842","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.15"
"8a1cdb74-cded-4d1e-b794-408639253662","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.14"
"3d2e4ab7-d57e-4586-94ab-c41cc2edd177","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.13"
"c2fe084a-a88f-44b3-b970-022d73dfb58a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.12"
"2f8e9344-ca5c-4aad-9b3b-7676687df396","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.11"
"5509f418-fa3e-4f77-8f8a-3f4f909a5e2f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.09"
"7a56e4a2-fb3e-406e-abd4-d7da91aef72d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.08"
"e6056cf3-be8c-49c3-b1fd-3c1e756146a2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.07"
"e8c7388b-ff77-47b2-ae76-a9235d01f518","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.06"
"16adb86d-1cde-480d-b5c6-9367d8c35746","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level G","W0.05"
"e8ffcba4-8602-4e7c-a540-8b6ab0a3b08f","","pass","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Level G","W0.10"
"aa12a0e0-bcda-4537-a333-6416b2723d37","","pass","","folder","TRUE","FALSE","Level 1"
"42969e2b-e52c-4a84-ad9f-211ccfff2c7c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.21"
"77d437a4-c096-4f2c-bb67-1bfc8b9a3713","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.20"
"cb7d6d13-5c7f-488a-aa88-aa0922b852ee","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.19"
"abf605b1-81f0-404e-9b22-5b7ced9dd13a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.18"
"9813249f-633a-485c-b7ac-69126d9b1e4e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.17"
"1ad6e191-25b7-451e-b16c-172a7dcf6304","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.16"
"a5136af8-9162-48eb-bda7-23c3d07d41f3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.15"
"40783d65-02de-46d8-bfc0-6d2fba44b532","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.14"
"85761104-db6e-43b3-aa6e-b58a4fbf9b89","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.13"
"9fdcf907-0498-4cb5-9a28-cfd4ef997360","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.12"
"4073a599-9afa-49e1-a184-71c877fefc88","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.11"
"9fc1b13d-99ee-4020-be5a-07f94756eba0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.10"
"d7123dd4-84cc-4e0a-ae77-a40d5e6a00d9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.09"
"bac1b4e9-f17b-440f-b165-e7906c654ede","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.08"
"76a9d686-7670-4d99-9887-31e61e744744","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.07"
"312c93f6-9380-4f55-9933-261e6fe2ba6f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.06"
"2b87978a-b9b8-4d5d-87db-f889e32aac58","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.05"
"fa5e0c34-1d46-4c55-9053-eeb41e59c97e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.04"
"40be1cdc-4ce3-4e1c-a019-f7d4b799538b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.03"
"ab0573ec-6d02-4371-98f0-bf3ffeda5846","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.02"
"e1a06d6a-7ae1-4911-b7ca-aefb546e59bf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W1.01"
"9e0eb03e-4621-45e0-9dc4-8e185e3af4ec","","pass","","folder","TRUE","FALSE","WR"
"edb883f8-c1b9-4944-87e4-39dbcafe1487","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.01"
"21e86af8-f7fc-4535-ada9-02e09a246ecc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.02"
"3a83d7bf-3b91-4d6b-89a6-d0c125e7a307","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.03"
"54d8d22a-1704-4b76-b7b7-c8689d69d040","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.04"
"8d6c87ee-f1d2-4fc7-85e2-a50b293d59eb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.05"
"953d2307-ac42-4231-8b6f-8ded7ca85161","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.06"
"9df2c457-d702-4740-a0a0-5ff4012969f1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","WR","WR.07"
"23bfa0da-3e20-4e85-b2db-ba1af498610f","","no-status-not-started","","folder","TRUE","FALSE","Marks"
