"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f02392e2-0371-42f9-941b-a676272a65e5","","pass","","folder","TRUE","FALSE","Level 1"
"b050abca-66c6-4a3d-b139-0ec7b35d652a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.01"
"6785e1d5-2073-43aa-b51f-a67f1c0d43c1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.02"
"70787098-fd46-44bf-8ecc-c878ba561273","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.03"
"dbb0b2ac-c7ca-4654-828f-15e358c94cc9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.04"
"3be7b455-c6e8-4149-a449-e215b6e6414a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.05"
"33940f75-b9be-4dfa-bca5-3f2197b0e8f7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.06"
"df1a6d19-861b-4da6-bf7a-39cf1bbd1eec","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWW 2.07"
"c003b624-8959-4afc-8f0d-39264008556d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWN 2 01"
"f85bb43e-97ea-442a-ac18-0da3cbc5d5ac","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWN 2 02"
"febd9a44-2458-4d37-82ab-6d6ff0a7b84d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWN 2 03"
"5ba6f120-46a1-4756-b1fe-b1e86ab6efcf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWS 2.01"
"701df7cd-22ae-4bd6-97cc-6b6c1e4a8e1c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWS 2.02"
"db9b67fe-51a1-4b4d-8d12-4fd6838dff39","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWS 2.03"
"a4180380-cb3c-4d0c-8e9d-af8c70ab92b9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O1"
"b3f49481-c65a-4d0f-9c7b-faab4f98b016","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O2"
"b9d01cb4-3f10-4f7f-8531-d2862b6dbd7d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O3"
"b127b11b-bab1-48a1-8ceb-349765c15ade","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O4"
"75f9c9db-1321-4a38-aa46-383139691c7b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O5"
"5c206e2b-2db2-45f8-95b3-39dc15842d8c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O6"
"cc15a960-6a73-4dce-95dc-fdb579070560","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","FWE2.O7"
"ba5e377a-d57b-47e7-bfe8-021ee6829398","","pass","","folder","TRUE","FALSE","Level 2"
"f378d591-abaf-46ac-ade1-bec574c86f12","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.01"
"d04e0a5a-e69b-4e49-8915-52719d523397","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.02"
"09e43e7c-7185-4f43-8fb6-1c7b94c89f62","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.03"
"4f2a1de4-f9a4-42cd-8fa0-da0b19832623","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.04"
"e10f4cdb-e355-47d3-8ddd-1076f397cffe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.05"
"2008a1e0-51c8-49aa-9c7d-b3e6c62af8b8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.06"
"97e17ccc-4388-4d39-97f7-1b6c485a7241","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWE3.07"
"c9c28352-fd69-4853-9e7a-01cb2f7415c1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.01"
"b9a493a4-32a5-417a-a3eb-05d95840f00b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.02"
"42eb058b-3649-4f3b-91be-ff27664ba55e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.03"
"4c315471-0dd7-41fa-9480-7f735d8cae93","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.04"
"cbeb9bbc-5880-472a-b9f4-defd51004540","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.05"
"d6af272b-54af-4dc5-822a-f8a801be0c90","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.06"
"49ec8994-b3b9-4e3b-b067-d4721b085518","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWW 3.07"
"890bd76f-3ebc-46a0-a6b9-ff560d37f623","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWN 3.01"
"f9d57b58-b2e5-4b25-9654-9461e1564c6f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWN 3.02"
"b2a57820-96be-424e-ba65-08b334df0731","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWN 3.03"
"068cc1b4-6b10-4ff7-b233-3e5d1216f7da","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWS 3.01"
"0e21e8ba-2d16-4401-8c3b-85e74010e1ea","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWS 3.02"
"27c0bea5-bc33-4299-843b-6ccea1fe770c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","FWS 3.03"
