"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"7cdcece8-3202-4db0-aebd-8821089e8ccb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.1-W1"
"dd0e8bb3-451b-4fcf-bd53-1c4779fb0e67","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.1-W2"
"bde6fe04-f843-4660-b810-e7ac5b387e3d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.1-W3"
"ab4f5031-e8ad-480d-9ca7-eab2a96df3a5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.1-W4"
"5ead4952-a53c-4367-944e-a68c2ee22e34","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.2-W1"
"5bc55e9b-99ee-4370-8e6a-cd120ca86d6c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.2-W2"
"b9a29dcb-e431-41c3-820b-217619047447","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.2-W3"
"6cfcde1a-9ec0-4ebd-a608-687504b46327","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.3-W1"
"a2b2e205-544f-4f61-9344-67b799913971","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.3-W2"
"514cd016-531d-4d50-b977-8ee93f8b7099","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.3-W3"
"b9acbef1-8835-4f44-b33b-1cce868f7d23","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.4-W1"
"7ef53ace-6697-46dc-84a5-64231ca69db5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.4-W2"
"f535eba3-7968-4184-8a87-7ff039cf7a75","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.4-W3"
"02e8ae5c-a853-4acc-8e1b-f291fdc2d6ff","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.4-W4"
"ebfacdb9-90d7-463f-988f-8f6cc6e239b4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.5-W1"
"250838f0-787e-48fe-8000-4c13ca4b0bf7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.5-W2"
"366017b0-ad6b-44b8-9b35-2987dea471be","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.5-W3"
"651f0aa8-b37d-4d64-8a5f-a7fda43a468e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.5-W4"
"7fa85feb-36de-4fa1-b7be-cba9924ffba8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.6-W1"
"94c9e095-da3e-464a-82be-9d685dea120d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.6-W2"
"e2bb047f-63c0-4c06-b940-ee0c872bcdf2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.6-W3"
"33737cad-e051-4e51-82ce-8cf4da21bf40","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.6-W4"
"95dbc10a-c6aa-4829-82f6-8a4ec6eeeb02","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.7-W1"
"d9f8b67f-a8b4-419c-bf4b-0a305b75d92e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.7-W2"
"eb47919e-ecf2-4224-9b32-2056e518836f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.7-W3"
"d1fb6729-7367-4017-9339-f5f92721ebd9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.8-W1"
"3bfd683f-1daf-4f7d-b406-d893e2308fa4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.8-W2"
"18370ae2-a821-487d-a073-c72ea9e831fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.8-W3"
"950793a0-99a7-4c93-af8f-0ed14cb56cee","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.9-W1"
"16217775-2515-4331-8578-73b9a1dd2a95","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.9-W2"
"e714a0e7-a912-494a-bc45-6deb0127a71f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.9-W3"
"946d9e1c-ba21-43af-af12-13262d4fd822","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.9-W4"
"ff2860a3-5e5a-4471-bc23-726970b41156","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Apartment","Level 2","2.10-W1"
