"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0e45403e-3c09-4ae2-825e-8ab03cb50d23","","not-started","","folder","TRUE","FALSE","L0"
"fda39028-c7dc-435a-8410-ef15a1d77c86","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW001"
"03900d0d-6dc0-4715-a6c2-9548f9b3e5ae","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW002"
"2062919b-650e-4349-b3e0-7f4708d01003","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW003"
"06dad494-b5ee-4123-a8d7-fb3b3f41d46c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW004"
"e0d7dfe3-9d2e-4848-b135-d10c85ac6c80","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW005"
"62c2d0b3-e545-46c7-9e6c-f1201f8694cb","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","INTW006"
"5ab549a5-c16e-4049-af50-1d1b7c5058bb","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W001"
"32d67dce-e5ae-47cc-8b5b-31b5fbf3a818","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W002"
"d9fcd7c6-dd40-4d6e-af91-bd2fbe7070f7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W003"
"cf029a11-73dd-4390-84b0-a842aa6519de","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W004"
"77e49667-671f-4395-86bc-5615a3fd54e9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W005"
"0989a26f-8425-4771-844f-f874e65e4b1a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W006"
"6e4aaf00-7594-4697-b8cd-badbcbfe7880","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W006A"
"462015a9-9e42-44d3-b3e2-9e856c737eb7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L0","W014"
"91e3c241-5b6f-4527-9cf3-37cbfe383ca4","","not-started","","folder","TRUE","FALSE","L1"
"e460ee2f-0f3d-48c9-a47e-9167d6253dda","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW101"
"3d37b2ce-6319-448d-b409-f36696eea993","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW102"
"1f837fa9-b46f-487c-8cc7-2231eeb1a447","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW103"
"929c2990-3d9d-49ee-a842-71339c74b862","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW104"
"97bc39bc-536e-4fca-ace8-7be8fc2cbbf1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW105"
"3c869f00-ed80-4bf4-b91b-0a3c086c570b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","INTW106"
"1953fb79-e084-4add-bd66-fbcb21de8d42","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W008"
"cfa758c6-d221-4d4b-bf2d-7d29bd01ab82","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W009"
"d212b86e-ae18-4fcb-831b-5abdf88a0e7a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W010"
"97c3efdd-a8c3-4cd1-9521-907dc1b1d808","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W011"
"a39447f7-ee62-4533-9a5a-779d16d42b5c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W012"
"04260296-b7f9-4b35-a063-f3cb9a6ad506","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W013"
"f435b6e4-d27e-46d4-8462-58cd1801f702","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","L1","W015"
