"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"defd3bf0-3e4f-4a31-8ab2-1aaa0ae497e6","","pass","","folder","TRUE","FALSE","Ground"
"3d05cd7f-6957-4e2c-8b5a-b6285fddebd8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DE-001"
"b936bf1f-9158-4d0a-b40f-c90170bdd958","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","DE-026A"
"121c52ca-f2fd-4a87-9cdd-1a5bf03de2d0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-005"
"c6f42498-6973-4bd7-9de2-461380228a4f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-007"
"ab3c63d6-a0b4-48bb-b8c5-b92b327d3c69","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-009"
"50bce06b-6f6d-4dd0-87a3-51dc6c95d12f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-011"
"e779980e-d113-4fa2-b57c-c47848d9bb1b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-016"
"721b809e-349d-439d-8933-6dc66babaf0e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-018"
"b6c02b15-fbc7-43e4-89ed-9cd9b683f03e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-020"
"3e9f5879-3e7f-4193-9545-95d6221d147d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-022"
"ad55ffde-fb50-4870-a737-3c45c649f1b4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-023A"
"a80ecf51-d3a3-4839-89ef-61795b69747a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-025"
"a1fb9508-7d32-49ab-bee7-17eeaf8cadb9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","WE-026B"
"29b48459-0a8e-4949-bbab-00b7ee7ddca4","","pass","","folder","TRUE","FALSE","Level 1"
"47339c2b-3456-406c-b529-baee6f45222c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-108"
"738e4111-1c81-42d8-a98b-c96bb13040f7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-109"
"c87817d4-a7e1-41dc-b930-36c5269f0061","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-110"
"5a08a55b-272d-4d92-b40f-82605a59cbfc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-118"
"255de1d3-ebfc-4944-9a90-cfa226eb13fd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F08"
"3132a494-ab54-49cf-9010-c1bf7eceb3ec","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F09"
"23d2d146-958d-49dc-98f3-8778f840ff8b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F10"
"d6d5af38-fb69-44b7-9489-3b0df730e7b9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F11"
"d6e706a0-4286-47b8-8366-c64911719567","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F12"
"60c8b197-6e04-408b-8561-f99a669ef952","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F13"
"c6d0ba94-00d8-4acb-9d4a-c015ee10896d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F14"
"cbdec2fa-e040-4803-99bb-ae3e09af0027","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F25"
"9a5f094d-65c1-46e6-9783-0023548bd7f1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F26"
"b9f328b8-4cda-41e5-9076-7dac8213bbfa","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WE-F27"
