"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Building A Progress"
,"Scope",,
,"Rows"
,,"Building A","grouping","building a"
,,"CW North",,"building a","cw north"
,,"CW South",,"cw south","building a"
,,"CW Lobby",,"cw lobby","building a"
,,"Ground - A.G01","dynamic","building a","a.g01","ground"
,,"Ground - A.G02","dynamic","a.g02","building a","ground"
,,"Ground - A.G03","dynamic","a.g03","building a","ground"
,,"Ground - A.G04","dynamic","building a","ground","a.g04"
,,"Ground - A.G05","dynamic","building a","a.g05","ground"
,,"Ground - A.G06","dynamic","building a","a.g06","ground"
,,"Ground - A.G07","dynamic","a.g07","building a","ground"
,,"Ground - A.G08","dynamic","building a","ground","a.g08"
,,"Ground - A.G09","dynamic","building a","ground","a.g09"
,,"Ground - A.G10","dynamic","a.g10","building a","ground"
,,"Ground - A.G11","dynamic","building a","ground","a.g11"
,,"Ground - A.G12","dynamic","building a","a.g12","ground"
,,"Ground - A.G13","dynamic","a.g13","building a","ground"
,,"Ground - A.G14","dynamic","a.g14","building a","ground"
,,"Ground - A.G15","dynamic","building a","ground","a.g15"
,,"Level 1 - A.101","dynamic","building a","a.101","level 1"
,,"Level 1 - A.102","dynamic","building a","level 1","a.102"
,,"Level 1 - A.103","dynamic","building a","level 1","a.103"
,,"Level 1 - A.104","dynamic","a.104","building a","level 1"
,,"Level 1 - A.105","dynamic","building a","a.105","level 1"
,,"Level 1 - A.106","dynamic","building a","level 1","a.106"
,,"Level 1 - A.107","dynamic","building a","level 1","a.107"
,,"Level 1 - A.108","dynamic","a.108","building a","level 1"
,,"Level 1 - A.109","dynamic","a.109","building a","level 1"
,,"Level 1 - A.110","dynamic","building a","level 1","a.110"
,,"Level 1 - A.111","dynamic","a.111","building a","level 1"
,,"Level 1 - A.112","dynamic","building a","a.112","level 1"
,,"Level 1 - A.113","dynamic","building a","level 1","a.113"
,,"Level 1 - A.114","dynamic","building a","level 1","a.114"
,,"Level 1 - A.115","dynamic","a.115","building a","level 1"
,,"Level 1 - A.116","dynamic","building a","a.116","level 1"
,,"Level 1 - A.117","dynamic","building a","level 1","a.117"
,,"Level 2 - A.201","dynamic","building a","a.201","level 2"
,,"Level 2 - A.202","dynamic","building a","level 2","a.202"
