"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"c4069875-e00c-4f79-aa13-5de022b5e2da","","pass","","folder","TRUE","FALSE","Ground"
"cf82a9c6-2bb1-45a1-8459-e3b2610e303b","","pass","","folder","TRUE","FALSE","Ground","Office"
"e58db05f-d1b5-4263-8747-fbfe6af9cf3d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W101"
"c62610b4-0d59-47a3-968a-c2cd8df38cfc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W102"
"e8faf046-1248-4abe-96b7-614a04da8d1d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W103"
"13b4a8e9-3a9d-454b-bc17-e2f7d8316fc2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W104"
"5d7b4787-c8ca-4d63-bde4-d037e4a9a6f0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W105"
"b05f8839-ea64-46df-9d40-3cd8864dd343","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W106"
"ad9819dd-e896-44a2-853b-8cd7e3ab8de2","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W107"
"5a38db07-aa17-4d56-a4e6-ebdcd67d49f9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Office","W108"
"d2c086b7-7a70-4bcb-9df8-cbce0f460840","","pass","","folder","TRUE","FALSE","Ground","Interchange"
"3fc239a2-37df-41c6-961d-fe51e0c520e4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Interchange","W110"
"dac6cfe0-414f-4a21-b63c-36cdb9e13cd6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Interchange","W111"
"8cd1916f-3f6d-4ff2-a768-abc0f8f96197","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Interchange","W112"
"41e67c80-616c-45db-8a5e-707909a476eb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","Interchange","W115"
"5c975b2f-9727-454e-bbd1-1b1ee859513c","","pass","","folder","TRUE","FALSE","Level 1"
"28503eaa-ee73-4a69-8b67-0f44db10ce80","","pass","","folder","TRUE","FALSE","Level 1","Interchange"
"d82b9b84-ba24-429b-aa0c-26452e1dcddf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","Interchange","W201"
"85d9b03b-99ea-4871-a7d9-36febe2ea7ea","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","Interchange","W202"
"3956f3e7-7e8c-4805-bf4f-82e643a4c573","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","Interchange","W203"
"f9ea6a46-e90e-4b93-86c8-6efaed4c9800","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","Interchange","W204"
