"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"8dae5e7a-a2a5-4bca-b557-ad40c0e17e59","","work-in-progress","","folder","TRUE","FALSE","Ground"
"67a14bab-754f-46eb-b763-5bd169cd1a70","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"e456635b-f32f-489c-b6cd-5d96d8a92006","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W02"
"06059f3a-48dc-47f8-b1f8-b9499b90acf8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W03"
"e67bba60-a648-492a-87a0-cd89ee9445a5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W04"
"0472b95b-4e3d-44c6-a001-76b07430df75","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W05"
"2838b592-14cb-48c5-953e-718b8a1f9098","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W07"
"f9f73cba-30f0-4db0-8565-0df881b94c56","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W08"
"3c6ffbc4-125a-47f7-9d27-4e3a402f3ba4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W22"
"81ffcd0c-16c7-4fa7-bd64-820f4c020c22","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W22A"
"b90ae9d3-f9f0-4de2-81e8-f07cfb4dd7d1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W23"
"52dc3d06-9822-4410-89e0-527ebf4f8bc4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W23A"
"9ba1e11e-e16e-493b-8f4d-15c164db3af5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W24"
"41a1dc95-1297-4607-8215-d731363e0415","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W24A"
"6dcabef1-2a4e-476f-ad9f-fb3d12756b4b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25"
"ea602a69-defa-47c6-b854-cffe71fa1057","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25A"
"611048e2-4b81-4649-b09c-6c2c67326917","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25B"
"0523c883-d1a1-41e3-af8f-46464a57cf62","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25C"
"649e4bfa-deb1-43cd-97da-894355802572","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25D"
"731d2aae-8178-42fc-a441-e8469b359e76","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25E"
"267eedd3-342e-4c40-b3a8-894e09550b6c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25F"
"09634f57-7912-4d7f-8be6-66deef18af53","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W25G"
"af70dd97-5f63-4fcd-bcff-7d61351358c1","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Ground","W09"
"79fa84fe-2e53-4ef8-8cdf-58e0ab891443","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W10"
"e62cd4e3-f3be-41ff-a846-be40cc794bbe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W11"
"62cc69cb-32b8-4d51-a1e8-9867c9699d2c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W12"
"54d275b9-5adb-4c18-b669-9ffc08b35b07","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W13"
