"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"07c695b5-8ead-40a7-aee0-bfd60223b13f","","not-started","","folder","TRUE","FALSE","Level 1"
"5196d167-2c4e-400e-bf50-142d80c9eb34","","not-started","","folder","TRUE","FALSE","Level 1","Front"
"16d30297-ef66-4515-b914-c6285f46d702","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P01"
"98c9ef94-9a6b-4395-ae0a-b6c9aea4c4df","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P02"
"0f9738ff-fb56-47d8-b5c7-b2f512ce0859","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P03"
"423c5c56-5716-4bc6-a8df-61a0079f86ac","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P04"
"3f471447-98c7-4381-ab01-bb121cd5c264","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P05"
"d0d44021-823c-48bc-b878-11912652d5dc","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P06"
"4f65018d-b7f2-413a-a869-268b4ce47660","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P07"
"6f47f358-487a-4b83-89c1-1958e355ae16","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P08"
"f7be237c-3a87-4ea9-a93c-23c4ace89011","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P09"
"91b7106e-65d3-4d2b-8627-bbfe74a008c0","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P10"
"7d8852f8-c53f-4904-ba03-051f69f3f318","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P11"
"3913a7ef-823f-4198-858a-1fb9ec7d2b25","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P12"
"9f73d19b-3a3f-4019-9073-99346e4d32d2","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P13"
"f5e719fe-16da-45a0-8f53-0150fe3fbe53","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Front","P14"
"ed2e3a32-5ba7-41b3-8600-555dae2800ba","","not-started","","folder","TRUE","FALSE","Level 1","Side"
"b2a83c7e-44a7-4ef0-9bd6-54297d8fbbfc","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P15"
"7bbfa1c8-365f-42a9-b367-5ab4422b91f9","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P16"
"d6c0e376-8499-42d3-9cd8-c1bfacae1f42","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P17"
"2cbb0472-519b-44e9-b085-bdf40ba089ca","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P18"
"cebf1f21-b948-47b2-afaf-126a922df0c5","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P19"
"7d171430-46c4-4a78-a9a8-86ce8f51dd9a","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P20"
"f8286746-9ca0-48da-a95e-b79ba9db2940","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P21"
"4b5e99ac-30ca-4099-bd9e-7fb3b19ead7a","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P22"
"17e03e6f-d4e5-405e-a5cd-f2afdaebfd01","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P23"
"f827ab71-ef93-4162-a6a3-6fb1cb56954a","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P24"
"fb52f2e8-f65a-438b-b8cd-9eaa5a7c8b45","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Level 1","Side","P25"
