"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ad4d1ca0-f449-4978-b201-87337684ae23","","fail","","folder","TRUE","FALSE","GROUND"
"68a815cb-6577-425b-afc5-3ddcaffb6fab","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.01.D1"
"1a6dc7a3-418e-4837-9578-e134c91be3da","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.07.D2"
"5ad5a25c-3215-4905-a70f-9c1dc01f93c0","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.14.D1"
"517e2912-9ae2-4258-abfc-8c54096567c5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.03.W1"
"c902056c-0478-469e-9a30-777cd16962b6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.03.W1"
"f62332af-4ad2-42f1-9c7a-ad4de96ed4df","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.03.W3"
"c77dcb74-72fe-44b6-a56f-1b6843220b0a","","fail","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.08.W"
"8eabcf71-4554-4f53-9fad-eb6b5dcb6f22","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.05.W1"
"a13d178f-65fa-4bc7-8525-eeb9a9073149","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.06.W1"
"0577e06d-c7e3-464a-a13b-6f9bd3af8696","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.15.W1"
"38ae98e5-4677-43fb-ab3b-7583601abd52","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.15.W2"
"e99c032f-2431-4a26-8ade-49b22d4dcc04","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.13.W1"
"2405d7a5-075e-4a13-9c30-4ad9aab1d126","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.14.W1"
"d6809b92-c96b-417d-80d1-1f01ac8df8fc","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.08.W3"
"abc3d8b8-44b5-40b2-b839-7abd4a626cd6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.08.W4"
"2578f214-e7c2-4895-935b-864f20a73e94","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","GROUND","0.08.W5"
"bfa058ef-da07-480f-a3c7-4fe61d39f8c3","","work-in-progress","","folder","TRUE","FALSE","Level 1"
"f7cf50f7-b6e8-49cd-bff6-bf1608ca0cce","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.02.W1"
"82f3e2ab-eccf-4879-9742-87d8ea851640","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.03.W1"
"1c523352-7a76-4ed6-8dab-f4768e0abb6f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.04.W1"
"26b83a6b-6b79-4e68-b57b-9cb9e2ab5939","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.05.W1"
"d0842552-6a8d-432d-9b3f-4c5e64d983a6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.06.W1"
"5ad71826-aece-4afa-ac90-5227f539d0ce","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.07.W1"
"9f298e88-fd54-46a4-93e5-0d2d313fde23","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.08.W1"
"38c7161f-ad1c-46fc-a7e6-628a9cb9af4b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.09.W1"
"f4fec558-9cd1-4c7b-a66c-86f56affc07c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.01.W1"
"352f8e5e-a0c4-40e2-966a-b124e1ef2ca7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.01.W2"
"8cd312b8-f6dd-46e8-96c3-77d012ed303f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.01.W3"
"f89ef18e-859f-465e-9dab-27ae3af5cbfd","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","0.03.D2"
"4ec74c2e-b510-45dd-889b-a83728111cef","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.11.W1"
"1d6aef70-af90-4a53-9270-5951ff0b2433","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.12.W1"
"fa20d2c1-7e77-44b9-88b4-b2f13a7d874d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.13.W1"
"ed926c51-317b-4216-b164-25a11b0dbdb3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.14.W1"
"6e3bf06a-6b8e-49a4-a9ac-c3d93e8990d8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.15.W1"
"2d349f82-682f-4aa4-a9d2-c892e05778e8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.20.W1"
"ae9df397-febe-4571-bda5-a8097b00abde","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.16.W2"
"f0fc7ad4-b9c1-4be0-8c5b-1566e80aea0e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.16.W3"
"fabe4300-76cb-4bb6-96b7-d4c7673c336d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","1.16.W4"
