"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"12ae7fd2-f5dc-4ef0-b5ad-c154930ef9d3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G9-11","WEG.01A-03"
"c5c71c39-a0f2-4766-904a-a75d604f3992","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G9-11","WEG.018-05"
"048b2e75-4ea3-4424-b432-50730187b868","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G9-11","WEG.018-03"
"e48bbc8a-380b-474b-94c6-8704a8bcf25f","","pass","","folder","TRUE","FALSE","Site QA","Type G7"
"ed325226-ab55-4638-b4c3-ab888ddf414b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G7","WEG.02-1"
"823a55a4-dcd5-4672-ac91-899b26103fc0","","pass","","folder","TRUE","FALSE","Site QA","Type G10"
"6b0fdef8-3766-4423-b3f2-34510de46c70","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G10","WEG.02A-01"
"cff11695-58c5-4b23-a904-ff7df4951951","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G10","WEG.02A-02"
"7f3ad8e1-353c-497f-8921-7f03dcf735fe","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G10","WEG.02A-03"
"f02d2660-527a-41d5-9776-c073c744ea60","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Site QA","Type G10","WEG.02A-04"
"44673ae8-0a4a-4145-af8c-2ab39404fef8","","pass","","folder","TRUE","FALSE","Site QA","Type SG1"
"6b7718ed-3c5e-45c7-b29b-92016f2203e8","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG1","WER.02-01"
"408367a4-f25a-488c-ae68-b126b68c1201","","pass","","folder","TRUE","FALSE","Site QA","Type SG2"
"32f4a4c9-f685-46da-8e1a-44073dc6c6e4","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-01"
"5d8aea4c-103a-4a8d-95ca-fa30cb5d14bf","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-02"
"6c5d7d52-4879-4b15-bf51-e48cf3dde242","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-03"
"1e0c775d-2158-494b-8005-28f2155110b9","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-04"
"b61f3f8e-d672-44d7-a3ca-dc5b27c1bebb","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-05"
"257a3477-3124-4147-ac48-38c0570b64e2","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-06"
"250774b0-29fa-4142-9496-e420f0d84d9d","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-07"
"98daf279-23a0-4324-a397-1ce2d820e76b","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-08"
"95a10ff1-424b-494e-b4e9-e46392a54681","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-09"
"a456ec6a-520a-4759-aa0a-52b794451ac6","","pass","QA - Captive Skylight","checklist","FALSE","FALSE","Site QA","Type SG2","WER.02-10"
"d454306e-8f0d-4ce2-9b2f-37fb753ddc0b","","pass","","folder","TRUE","FALSE","Site QA","Partitions"
"d0d72722-454c-4336-9496-85e9e698348e","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WB.05-02"
"8494c799-49a5-4362-a259-057343c1e3a1","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WB.05-03"
"2ce97d69-de19-4432-85d0-a06e9fae442a","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WB.05-04"
"21df8502-8996-4f10-bb88-bb1a8788da68","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WG.44-01"
"4a2fc07a-4222-4ad6-88b0-2470ca198325","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WG.45-02"
"4624eb6a-ae83-4667-9fa6-25979fc835ea","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WG.45-03"
"3da0be63-9d28-429e-92cf-a30888aeb2ed","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WG.45-04"
"f387665d-e5c8-4c29-bda1-44f6f1fe2f9e","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","WG.36-01"
"758ec14d-29d7-44e7-abb1-665f8a2bb204","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.02-02"
"21756244-2a2f-44f5-a858-bd1057c05539","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.53-01"
"0272bf6a-5829-4604-ab70-4b6acdee6d53","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.54-01"
"7286f5a0-24e7-4bef-86e4-2fa5701d8665","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.52-06"
"98af3aa4-33a4-45a6-a777-c6f9cb9a7d24","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1-97.01"
"f29c0cce-ef65-45a3-b078-e839fe15830c","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1-96.01"
"f5891c2d-3e87-40c3-804c-36d56e9ab950","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1-95.01"
"29e62ff0-4e9f-4c24-b1b7-64f2f18d405e","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","W1.20-04"
"8381855b-48aa-4b60-9219-135ba3e33d60","","pass","QA - Internal Glazing","checklist","FALSE","FALSE","Site QA","Partitions","D1.20-01"
