"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"a3b2bac9-d76e-4edc-94af-457d064b7559","","fail","","folder","TRUE","FALSE","Ground"
"72a7d7e8-876f-4224-861f-2d866de42dc3","","fail","","folder","TRUE","FALSE","Ground","E001"
"637ee472-b486-4b48-9263-42efaa541e78","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E001","Deck balustrades"
"310711b6-7b9f-44bb-aeeb-2cf0f762263c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E001","Balustrade screen"
"5ee58a9d-0b03-43e6-91f7-5654b8ad8bcc","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E001","Return"
"4e908825-e52f-4261-b063-8640ce6958ed","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E001","Main shower"
"bf4aa1b7-c7da-44e6-941f-915cd431f68c","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E001","Ensuite shower"
"a03fdff8-d0ea-471e-a9b5-506041d2b1be","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E001","Mirrors"
"9049f44b-cf87-45a8-9f13-e7fed646d68c","","fail","","folder","TRUE","FALSE","Ground","E002"
"03ecf936-0de0-44b2-ae58-1f673d0db1bf","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E002","Deck balustrades"
"1b776a87-5a55-45e6-aa4e-e5bb03d29b7e","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E002","Balustrade screen"
"538b39e1-5989-4bd7-a41d-51063494734b","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E002","Return"
"e3649517-38bc-425b-9c8d-fec9106e3d12","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E002","Main shower"
"b55a5a94-27eb-4d88-a576-df0184673fa5","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E002","Ensuite shower"
"9f8c7502-7496-4b72-948c-978be1f90808","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E002","Mirrors"
"aa77a3cf-dcdb-42fc-a828-6fe696b5b97f","","not-started","","folder","TRUE","FALSE","Ground","E003"
"19a4f80d-d4c4-4bf7-ae38-06ef653861d9","","not-started","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E003","Deck balustrades"
"170ae812-5497-4404-900c-6f5a13dacb19","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E003","Balustrade screen"
"0057dff4-b1b0-4745-95c3-371adca4961a","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E003","Return"
"ff312bef-682d-4169-bf2f-e7008ff30fd9","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E003","Main shower"
"292ff78d-144f-4d59-93dc-9995d1df160e","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E003","Ensuite shower"
"2fe41f3c-6665-46a5-abb5-455756c1fb01","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E003","Mirrors"
"67929087-3055-4aa2-bf57-af4202a11cd0","","fail","","folder","TRUE","FALSE","Ground","E004"
"b5ae11a1-f3c1-4cac-b7bd-410e90d9a533","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E004","Deck balustrades"
"29be0ab4-7a51-4124-9576-52339b0f044b","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E004","Balustrade screen"
"deeddd12-45bf-4a6c-96b4-cd1e27fa4c5c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E004","Return"
"85fe3dd6-54a0-4b9f-b4ca-528a5779b389","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E004","Main shower"
"82b838ef-015d-4f18-af08-c914506219d3","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E004","Ensuite shower"
"50eea767-7274-4d7f-832e-f539a5ae0d0e","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E004","Mirrors"
"4930c448-4067-413f-b293-5db2584e9845","","fail","","folder","TRUE","FALSE","Ground","E005"
"8bcd4997-6b48-484d-b69f-3e68b38b76f4","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E005","Deck balustrades"
"26578336-8996-4c56-92e2-16b8d07baf55","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E005","Balustrade screen"
"9c105164-832c-4d88-8977-74fb2bb37dbe","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E005","Return"
"0ff10401-307a-45cb-98a2-934fb3b33076","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E005","Main shower"
"ee723ca7-e729-4bb9-ade6-cfbd9a701f59","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E005","Ensuite shower"
"01fddfd7-1b6f-4605-ab36-edd59676fb7e","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E005","Mirrors"
"c88ec7d5-d43b-414d-b4ea-298eb138edd0","","fail","","folder","TRUE","FALSE","Ground","E006"
"270864c0-4fe5-4043-afec-71fe720e9b93","","fail","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E006","Deck balustrades"
"b331b137-d1ae-4dc5-b329-e7a87245dc5c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E006","Balustrade screen"
"33abfa30-2678-4494-bb35-144a18a7d589","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E006","Return"
"18da51cf-d46c-4cb2-a588-eaa7f2306995","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E006","Main shower"
"c9151da2-fadc-4bd2-aa86-dd41e4ebcc8a","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E006","Ensuite shower"
"f8d11888-a47e-4a3c-a438-499a1f35cefa","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E006","Mirrors"
"0204692d-7eb8-47ca-b54c-f45807a4fe93","","fail","","folder","TRUE","FALSE","Ground","E007"
"2a7144d4-9949-42e7-945a-52ffe42f5c02","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E007","Deck balustrades"
"bb0f5532-71f8-4881-bea3-cb9cc2848b9c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E007","Balustrade screen"
"f13086f4-ccf1-4aca-9b60-86e0c600156c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E007","Return"
"6b700ee1-0e15-4b81-a222-1ba53adfa17b","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E007","Main shower"
"ec3f0f93-62e6-4624-8a3f-678803dcf57b","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E007","Ensuite shower"
"7268015a-af1f-4eb0-9359-42e6876b8128","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E007","Mirrors"
"4c70c06e-b862-4091-9bcf-049d2d77c24a","","fail","","folder","TRUE","FALSE","Ground","E008"
"d012fc01-3567-4e35-a954-bc1c2cab3ada","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E008","Deck balustrades"
"1b218bd2-70f5-41ed-93c2-a3819334b5a2","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E008","Balustrade screen"
"900ebb5e-6046-4054-a023-565a62b7cd58","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E008","Return"
"79e87ed6-a3df-44a3-a756-f35c2519acad","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E008","Main shower"
"f7cdf66b-3f25-4b84-97d2-95bc58ca3693","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E008","Ensuite shower"
"6f3ccda4-cea4-48c6-8fe0-cc3465babdb2","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E008","Mirrors"
"216e17d5-bb3f-4fbd-b2d0-e27b184fc58a","","fail","","folder","TRUE","FALSE","Ground","E009"
"c4245503-b8d0-4e9f-b39c-93b8dcc9587f","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E009","Deck balustrades"
"ec2b2811-bee5-4778-abce-576de130c6fe","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E009","Balustrade screen"
"757adbd8-8474-4ee3-a681-0c23ed3d5cab","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E009","Return"
"4e91e0d1-9aac-41ed-9d46-cad7b65111eb","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E009","Main shower"
"9873c90f-cdfc-4091-bba5-4608c9167ab4","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E009","Ensuite shower"
"cf698fc8-20d9-4c65-b41d-32eb3844c669","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E009","Mirrors"
"45b11156-780f-488d-b8eb-5c8453d516fc","","fail","","folder","TRUE","FALSE","Ground","E010"
"91787c59-e087-494e-9563-2c16bf5eed2d","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E010","Deck balustrades"
"13303b70-d64d-4795-b012-655b41d38c0d","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E010","Balustrade screen"
"108ccf2d-1eef-4a51-87c9-08afadffe435","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E010","Return"
"e47fb83d-32a1-4fe1-bd8e-0818f462e815","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E010","Main shower"
"b0aa94c2-725c-40c7-b5e6-b128d229bdae","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E010","Ensuite shower"
"80a35fb9-d978-4e00-a10f-af9399378bca","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E010","Mirrors"
"c1edb581-a11f-4c7a-b974-9a2fd8ef8445","","fail","","folder","TRUE","FALSE","Ground","E011"
"e1c6f545-2341-48de-b50b-66b8975fe46a","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E011","Deck balustrades"
"c04a8275-93db-48c6-8966-89cedc3179a3","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E011","Balustrade screen"
"0df6b54d-fc3e-455d-88f1-e6e5de46a062","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E011","Return"
"6b8f4536-feba-4162-8d4b-f3bb465f4816","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E011","Main shower"
"e40a0b8b-86e5-426b-a14f-6b772ac778f3","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E011","Ensuite shower"
"4e4cd1b3-ad69-46d1-b628-7622fbea48ee","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E011","Mirrors"
"d5c80bd0-70ca-4724-a20c-c6548f3cd996","","fail","","folder","TRUE","FALSE","Ground","E012"
"b4788356-f2ef-4b0e-923a-925751f90a0c","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E012","Deck balustrades"
"3ac75a18-0dc6-4242-a0ae-ec83dafec41d","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E012","Balustrade screen"
"1421e589-7066-414d-9744-36c487268876","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E012","Return"
"5961a3a5-5954-4d08-b28c-ed92c0e0a1de","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E012","Main shower"
"0f23fe53-37d0-480e-80c9-88896786ce9b","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E012","Ensuite shower"
"3868fafe-699f-479d-9035-acb6c595ecd8","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E012","Mirrors"
"5933f4ed-541e-48fa-849e-578f47461352","","fail","","folder","TRUE","FALSE","Ground","E013"
"60f43a12-e445-4dd9-963f-88ab71b6a705","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E013","Deck balustrades"
"9e5c414a-42b8-4c5b-b4b3-993a97c8873a","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E013","Balustrade screen"
"be65e3d7-aba5-4a59-9d30-82ba78d22f82","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E013","Return"
"a1666861-bd06-4527-8d84-5d2de660b1de","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E013","Main shower"
"98807dac-bd20-4dbd-bbde-702d07778aa9","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E013","Ensuite shower"
"8ecedd53-9be9-421a-91ce-f3d5054ced71","","not-started","QA - Mirror/Splashbacks","checklist","FALSE","FALSE","Ground","E013","Mirrors"
"6f43fe75-358f-4fc8-b08e-2e6486bc4823","","fail","","folder","TRUE","FALSE","Ground","E014"
"2e7d0058-73f7-4771-b05f-5f1816ec2301","","work-in-progress","QA - Ballustrades","checklist","FALSE","FALSE","Ground","E014","Deck balustrades"
"4cf28da7-9176-4fcc-afbf-495f71ce065c","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E014","Balustrade screen"
"73479b07-81af-48c1-a16b-c06704347117","","not-started","QA - Framed Fixed Glazing","checklist","FALSE","FALSE","Ground","E014","Return"
"d7e15d99-d73a-4042-b3b5-ceef23ecb667","","fail","QA - Showers","checklist","FALSE","FALSE","Ground","E014","Main shower"
"ad446969-7e00-49db-a5f6-0a32ff5df1e8","","not-started","QA - Showers","checklist","FALSE","FALSE","Ground","E014","Ensuite shower"
