"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"f58e6054-ff70-41af-a35f-1aebcafafdd3","","pass","","folder","TRUE","FALSE","Level 2"
"048380aa-427c-416a-8511-0548e6c04280","","pass","","folder","TRUE","FALSE","Level 2","T01"
"e3f5fbe9-08f2-487c-8ac7-504c87124bf0","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T01","Shower Main"
"941b6948-3cb3-498d-aa56-d4a733c6e6a9","","pass","","folder","TRUE","FALSE","Level 2","T02"
"e2beccc0-9d7c-45ea-94ff-e48c484c79d5","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T02","Shower Main"
"4dc34b90-5b93-4193-87ed-5cad6f8b0b96","","pass","","folder","TRUE","FALSE","Level 2","T03"
"a66186ff-0bb7-41d4-b317-61e0fa0e3261","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T03","Shower Main"
"86dc98ee-20cf-45d8-9332-f87e61bebedd","","pass","","folder","TRUE","FALSE","Level 2","T04"
"aebe58f6-a0c6-44e4-8a1e-89ffebd544b7","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T04","Shower Main"
"12853f06-6393-468c-8ee8-70f3115c5e7f","","pass","","folder","TRUE","FALSE","Level 2","T05"
"32588856-46d7-4867-a3e7-5f41d287d45d","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T05","Shower Main"
"86e57eda-f4c8-448b-8ca7-33e641a15ecc","","pass","","folder","TRUE","FALSE","Level 2","T06"
"91aa92cb-1e7e-424b-be69-8f6e0c806460","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T06","Shower Main"
"cd30949e-8f37-4cb9-8896-62390f2a0b93","","pass","","folder","TRUE","FALSE","Level 2","T07"
"9fb5817a-cf3e-49b9-9375-c2e3e6557cb8","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T07","Shower Main"
"6476bcbd-7407-4adc-99b1-4f9ff2d3de8b","","pass","","folder","TRUE","FALSE","Level 2","T08"
"d51bde56-7a24-4d4e-9094-91794f430aa4","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T08","Shower Main"
"4f3a0dfe-b7ef-4395-b874-0ba4d03d766e","","pass","","folder","TRUE","FALSE","Level 2","T09"
"452b6212-3bdd-4d8d-a5cc-2ad45215e892","","pass","QA - Showers","checklist","FALSE","FALSE","Level 2","T09","Shower Main"
"4fee361b-ef83-43da-bb9a-2344762e0bc2","","pass","","folder","TRUE","FALSE","Level 3"
"4413155a-9a8a-443d-a09e-befee4007505","","pass","","folder","TRUE","FALSE","Level 3","301"
"e371b0a2-48a9-4a19-a85b-ccb56e3e28ed","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3","301","Shower Main"
"f05c147f-e198-41d0-a046-833771225954","","pass","","folder","TRUE","FALSE","Level 3","T01"
"22178dad-6eb2-413c-9f04-e138f94bf540","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3","T01","Shower Main"
"7a7818ec-a461-4e2f-9ed5-c01738c86386","","pass","","folder","TRUE","FALSE","Level 3","T02"
"93e161f7-0876-4e5b-8928-40291c1cd479","","pass","QA - Showers","checklist","FALSE","FALSE","Level 3","T02","Shower Main"
