"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"5cc1b28a-db5c-483d-a739-5765306f30c3","","work-in-progress","","folder","TRUE","FALSE","Building A"
"9f531ad0-29b9-471f-98ad-87321561b05a","","work-in-progress","","folder","TRUE","FALSE","Building A","Ground"
"10b3b657-065b-42b9-beeb-1f3b053124b7","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.1"
"14fbaf39-d561-44e7-9231-dd44aec008f3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.2"
"deec70df-cea0-4386-aa21-14fa59f3e894","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.3"
"e2a779c6-80c2-4c91-99e9-8023a33e9719","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.5"
"39f43cc3-8554-49af-8cbe-f02d30b7dcd0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.6"
"71b473d7-e002-49f7-8475-dd224b5e44b7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.7"
"071ad0a1-a742-4b5b-8640-a2c315c51a59","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.8"
"965dcf43-11fb-4579-a313-9a9bdf4813a8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.10"
"a617f7bf-1893-4bf1-acd9-182fe220a3dd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.11"
"492a9fac-8334-41eb-b0bd-857e604cca5a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.12"
"89836eb5-ce94-4103-8e96-b3b2d633eb8e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.13"
"aa78d0dd-e704-4345-8796-698f81b6f861","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.15"
"9ab62d2f-50b0-4ebb-9fe5-d3921fbce2a4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.16"
"becd72db-2196-43a9-add0-c6c12cef4d79","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.17"
"25f23422-c867-43a0-b18d-0da05a61da27","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.18"
"0550c5fb-d812-4d5e-8549-bbe289b2a926","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.19"
"9400c183-a091-4802-81d2-3a92fa021e91","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Building A","Ground","W0.20"
