"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"3dcf0148-4f31-4449-99ba-853907f788fe","","pass","","folder","TRUE","FALSE","Ground"
"04a5b541-1940-498a-adcd-854c444075d9","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"27b4a44b-f87a-46a7-b738-12081d1bb4c4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"c5271b15-5e77-49ec-a7b2-af084df29119","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"099f19fb-ed71-4206-9b9e-216f7d04c524","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"e04e741d-f3c1-4ebc-a9af-39a25c163a48","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"b5d1251f-fed5-40b9-bfe7-99fe3cc27efd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01a"
"9c9c16f7-cf1f-4bbc-b423-4fe00d8142a4","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01b"
"a80239ce-0dc6-4c88-aa7a-89d940217ce7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01b"
"4b9b78f0-b253-4b16-9314-0beb682096ed","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01b"
"bd01964f-8a09-40f6-903e-4d5ef958cef8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01b"
"ca5402e8-c5ba-48a0-aec4-ae8a17f9f0b0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.01b"
"913f9065-659f-4980-a808-67238742fc5a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.02"
"6e3e3d40-e2d8-4653-a806-b26e6b06a9cb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.02"
"984cc832-170c-47d7-a175-dfe93ca291cd","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","D.03"
"e0411889-104c-4ffe-8ca5-92d7e8158033","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"40ab5eb9-8b8b-4196-a447-c05b242f4575","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"cb421cd7-8f91-4a93-aeb8-80d6f9f19860","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"f5358375-97be-40b8-96ed-313f092d1969","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"582d4a8f-d846-4f9d-913f-02cfa9f6b86a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"43f2a908-8af4-4da7-ac5a-a99b90e4f846","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W01"
"3317cb7f-d042-47e2-86af-7a43b3e6f10f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"38cf9988-3ab6-42fe-b911-b22777189a8d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"3406972c-976e-4110-9d72-fd3f2204f31a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"28bd3eb9-092d-4e8e-9469-26a500edb66f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"1efb1c44-fa42-41ad-9e9c-1ea94dea4f62","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"96cf95fd-309e-4483-8b42-be54ce918644","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W0.01"
"bc514cf3-7ffe-46c6-930a-81af18de339c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W02"
"7a8e2da2-c030-4a72-a941-9741189da193","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W12"
"ae449618-a115-426d-a1b9-c8ab2e00aca6","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W12"
"42a4fd34-9473-477d-a0b0-06e007f5bcb0","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W12"
"0ba1fd27-8017-4365-b749-5c9d600d3ba5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W13"
"4ff2d132-832e-4177-af47-865c026c8aca","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W13"
"d8665a97-f464-499a-b745-eac9527e0855","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Ground","W14"
"5014fcd9-ede4-4965-af83-7ceaa0a566b1","","pass","","folder","TRUE","FALSE","Level 1"
"bc94feaf-f658-4be1-ad36-56d562357ba7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"7a79cacf-b702-49b4-9071-959389a5a0a1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"4238ed0e-055b-4b03-a4fc-fa43d9022d76","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"0eafdde1-f840-4aa8-beee-652e3cd4b0bb","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"95b0dd76-43ec-4e11-95fd-c5875bbb37d8","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"229a16e2-da94-49fe-8ec2-70e4a101d107","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01a"
"894b3344-9a9c-4e25-961d-d76e4de03e4e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01b"
"0bed74f0-5ab6-4ed3-bcf2-c1b74035f1ec","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01b"
"e4357502-76f9-465d-9268-21a7cc201379","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01b"
"ecb47465-c470-4381-bfc4-d2cd248947b5","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01b"
"3d3da6de-8e94-47bc-82cc-49bff4b69d90","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","D.01b"
"48ebf995-b598-4ec5-b422-27d41ca1c564","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"143eff4c-72d1-4024-9b0a-dcb31690fd2d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"c35981df-dba5-4f85-8401-4ded3927c814","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"e7d72e18-55c1-484e-9cf1-1e802eab5fd7","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"3b0b9765-5da5-4af1-bebb-6a6c97592f24","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"0b493497-2cf9-4d16-9e32-d8dbee4e8f7d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W01"
"c64f7087-7528-48d3-8398-dc4050b3487f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"7cc1a96d-2343-48eb-bb6b-194a2b734f8e","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"d5b0c14f-4c7a-4b01-9f24-6710640367f3","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"196067fe-542d-4d76-8515-e39a45683c49","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"19194a56-080c-45a2-b737-66cdaeff208b","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"2dd0fe63-5323-4367-b4c9-664fd7f9f9f1","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W0.01"
"c20d14bf-cb47-4cd7-808a-4e68962a2aaa","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W02"
"4e274911-d889-4851-802b-fb1afda79a6f","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W11"
"90535eef-edd8-4bbf-8e58-086dcf9c2a1a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W11.1"
"bb9c1d5e-f7e4-4688-9cdf-2f0d7c416d53","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W12"
"2b02ca0c-f3ed-480b-971c-4ca549a5098a","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W12"
"6a3697cf-c33b-4a08-859c-730e3560dd62","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W12"
"ec45c739-c0b8-4ae1-a142-3a838cbaa842","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W13"
"ca936161-57f9-48d8-9ad3-74c2808a6f75","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W13"
"453acd3e-0959-4e6b-bbd9-efb9279bcf3c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W14"
"1579e0a6-76ca-4aa1-a4f7-5b8ba6dc3982","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W16A"
