"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0ed8bf7a-7bf6-4635-9dfb-fbdf746631b9","","not-started","","folder","TRUE","FALSE","Level 0"
"c3cdf0d3-e9e6-4552-8b72-dff1aa5a8976","","not-started","","folder","TRUE","FALSE","Level 0","South West Grid E"
"f05decdf-66e8-457a-864a-7a019fd1ec98","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 0","South West Grid E","Curtain Wall"
"5b2f07b6-32a8-424a-836a-539bdcc04a1e","","not-started","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Level 0","South West Grid E","Frameless Entry door ED0-03 Retail Entry"
"4c2641ff-a139-4e8b-b3b5-d47250b108d1","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Ext N"
"e6c4bba3-eac7-4900-a374-12087a2853b8","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Ext W"
"4297f3e2-4ea4-4f89-9fa0-9e7d50047902","","not-started","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Ext W Frameless Door ED0-01"
"8f332cdd-2efa-4dfd-bf9a-4c5e0a4cec96","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Ext S"
"53aebd7e-7682-4655-95eb-81bdd07f43f5","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Int E"
"e26374d4-60e2-4ad9-9bd9-fecbda43a38f","","not-started","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Int E Frameless door ED0-02"
"5107767c-1f9a-422b-895e-2f59625a3902","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","South West Grid E","Wind Lobby Int N"
"7e2d9446-7e9d-4c4c-a03c-0b2a76037c6a","","no-status-not-started","","folder","TRUE","FALSE","Level 0","South East Grid 8"
"0164adea-63da-47ff-9dde-40d926f51cbf","","not-started","","folder","TRUE","FALSE","Level 0","North East Grid B"
"64186e5f-ec16-44ca-b5d0-6d7219e7abbb","","not-started","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Level 0","North East Grid B","Door ED0-06"
"bc765d47-7f88-4b10-98eb-18f37d19576c","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","North East Grid B","Sidelight"
"c5764a87-c0e4-441b-a2a0-4d95c9978e27","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","North East Grid B","Fixed pane 1"
"979bda5c-97bf-4247-8952-1a2baaf0b170","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","North East Grid B","Fixed pane 2"
"1f92d168-bb50-4c5a-86a2-49ddd978e580","","no-status-not-started","","folder","TRUE","FALSE","Level 0","North West Grid 5"
"9417e06a-41eb-4143-beca-dc12314b614d","","not-started","","folder","TRUE","FALSE","Level 0","Internal"
"b06e2328-8f3c-4b3f-9be3-a2d2827eccb9","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 0","Internal","Retail Glazing internal"
"7bad4cd5-4e6e-4360-8826-ba763cce3e54","","not-started","QA - Frameless Auto Doors","checklist","FALSE","FALSE","Level 0","Internal","Frameless Sliding door"
"5aa2e94c-2e70-4f1c-b1d3-502cf8c9e260","","not-started","","folder","TRUE","FALSE","Level 1"
"5dc13ee9-0e63-450b-9979-39c976121eb5","","not-started","","folder","TRUE","FALSE","Level 1","South West Grid E"
"fdfa9a8a-6730-4620-b6a9-0983602efd24","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","South West Grid E","Grid E to H Curtain Wall"
"8045fbc4-d4e6-419f-9212-3d2c15d3f12b","","not-started","","folder","TRUE","FALSE","Level 1","South East Grid 8"
"bdf75c0e-53aa-410f-8846-4bfc78fee4da","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","South East Grid 8","Fixed Glazing Grid G-F"
"4cf0398d-878f-487e-8ed2-d9d088f5e622","","not-started","","folder","TRUE","FALSE","Level 1","North East Grid B"
"8ad41e45-f7bc-438e-b317-0c09d27045ee","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","North East Grid B","Curtain Wall"
"863b9b08-e728-4a9d-a39f-dc3e80ac0687","","not-started","","folder","TRUE","FALSE","Level 1","North West Grid 5"
"3faf3d38-ccb0-4818-b363-199fa7158c86","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","North West Grid 5","Curtain Wall"
"cd134e62-919e-4d4c-879c-916bbead7d69","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","North West Grid 5","Door Single ED1.01"
"d2256020-92e5-46a9-b81f-a7d22888a4f2","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","North West Grid 5","Door Double ED1.02"
"28657741-5f2d-408c-bdf8-66afec3dbd4d","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 1","North West Grid 5","Door Single ED1.03"
"e1c11418-0e95-429e-83fd-79f7c62dc1cb","","not-started","","folder","TRUE","FALSE","Level 2"
"7e1dc467-d607-4759-be09-6fcfa121a5f0","","not-started","","folder","TRUE","FALSE","Level 2","South West Grid E"
"e4adff7b-2610-4c30-abf4-905f9b069c27","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 2","South West Grid E","Grid E to H Curtain Wall"
"a6bbaf55-10a2-44ef-8647-02348d4b10cb","","not-started","","folder","TRUE","FALSE","Level 2","South East Grid 8"
"c0ffba61-63cc-4ebf-bb93-5f2912248a9e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","South East Grid 8","Fixed Glazing Grid H-G"
"21f968a3-5b90-4018-b77a-136b805b226d","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","South East Grid 8","Fixed Glazing Grid G-F 1"
"4ab5d6fb-aace-471e-98df-8163e1ddf10e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","South East Grid 8","Fixed Glazing Grid G-F 2"
"7ab38bbe-e6b5-41c6-b38b-3ba82d41555f","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","South East Grid 8","Fixed Glazing Grid F-E"
"e324d7c9-9e6d-4491-aca9-4d7a8e233874","","not-started","","folder","TRUE","FALSE","Level 2","North East Grid B"
"870349b4-beb8-4526-a12c-68d52e8c3c4d","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 2","North East Grid B","Curtain Wall"
"0ab1dd01-b551-487a-bbc4-806980e23da4","","not-started","","folder","TRUE","FALSE","Level 2","North West Grid 5"
"578e9169-a3ef-49c0-8736-59ef0c556564","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Level 2","North West Grid 5","Curtain Wall"
"39e49601-ce3e-4cc2-8d71-ceebd6d23632","","not-started","","folder","TRUE","FALSE","Roof"
"0ddba193-4c1a-463f-aa66-554c2b954586","","not-started","","folder","TRUE","FALSE","Roof","Skylight"
"1cf13de1-4991-46e4-8ea8-c4a9e4214b98","","not-started","QA - 2 Sided Structural","checklist","FALSE","FALSE","Roof","Skylight","Skylight"
