"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"9124c0e8-b805-4c0b-aa5e-482cf1c740f7","","pass","","folder","TRUE","FALSE","T1 Western"
"0343ef39-7552-46e8-b9be-7957acef3bcd","","pass","","folder","TRUE","FALSE","T1 Western","L01"
"74fa3946-b39c-420c-9e9b-53bb691cd6d6","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L01","Apt 402"
"7add94f1-e800-4921-8770-2784d5a485d8","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L01","Apt 403"
"b463f87b-fd50-455b-b91d-0d1307b34def","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L01","Apt 404"
"c6a1b164-d7b7-4864-ae5c-02d7cfcf017f","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L01","Apt 405"
"e45133fe-4b96-4ac9-b776-a07d878e9549","","pass","","folder","TRUE","FALSE","T1 Western","L02"
"3ee64448-8730-4c37-a917-b455452ba903","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L02","Apt 505"
"6c1bdad1-bd54-4eca-8b22-e196511a962a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L02","Apt 506"
"744c2959-36c3-4530-8824-e53324290d35","","pass","","folder","TRUE","FALSE","T1 Western","L03"
"55f767e5-fece-480d-b3b4-0ba11304d889","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L03","Apt 601"
"b715387c-3d28-47c8-8541-f1025bedf5fc","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L03","Apt 603"
"79315c86-0017-4899-b794-93e760f54c1b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L03","Apt 604"
"a92449f8-2b60-4ecf-a268-0de3c892aa76","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L03","Apt 605"
"87e575da-f13a-462d-8709-5a51933bb735","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L03","Apt 606"
"4108b986-c8d9-4d2c-841b-b222dab75878","","pass","","folder","TRUE","FALSE","T1 Western","L04"
"56374a2b-cc8b-450e-a8c6-653c9d0d86f9","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 701"
"cda45e9f-397e-4424-aa34-866cc6d453f5","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 702"
"1b7bb315-d2d3-4fb0-bb01-7f356c935b26","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 703"
"0de15ee5-6efc-4265-b979-4d932bcbd001","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 704"
"75041b8a-81a3-42d8-970d-0b067f965338","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 705"
"473a206a-2af0-4c60-8b4e-9ef17d04cbc9","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L04","Apt 706"
"636a182c-1afe-473f-818a-bff8ab439999","","pass","","folder","TRUE","FALSE","T1 Western","L05"
"ec1e9854-0758-4d88-b998-7d4883a1d22c","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 801"
"573adf83-4467-4383-b9ef-f81454079c5b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 802"
"92077e87-d1f7-4207-bb2c-276758175a2d","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 803"
"a7bf5247-dfa1-4fe3-9ceb-7fb144cb563b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 804"
"35d8b463-cc3b-48e0-a334-face13212c0c","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 805"
"e5f264f7-90fc-4dd2-8212-8340c81dcd73","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L05","Apt 806"
"e2d4fb7c-da3e-44d3-b1fe-36f361a9a0e6","","pass","","folder","TRUE","FALSE","T1 Western","L06"
"1d1037a6-0b96-4a8b-8040-14effa0d4709","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L06","Apt 901"
"d24a4d18-ef79-4197-9edb-ff0374259b7e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L06","Apt 902"
"304711a3-8cb1-4f38-bcdf-21912575724c","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L06","Apt 903"
"7cf0442a-97c6-4ef3-8114-09803bac4e2e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L06","Apt 904"
"b85ab409-ca7d-41bd-a734-880c463f4712","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L06","Apt 905"
"1f2dfc8e-1536-4e92-a5bf-43f01ed37661","","pass","","folder","TRUE","FALSE","T1 Western","L07"
"9fc420b1-6559-41e3-96ad-ae56f528b32e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L07","Apt 1001"
"5e4e2e52-f922-490f-afc9-263b2497adaf","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L07","Apt 1002"
"50c9a287-ff57-43a9-b84b-9ecc74dac1d4","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L07","Apt 1003"
"eb2d0afb-f11c-4a22-a9d3-137dbba76c35","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L07","Apt 1004"
"59029bfc-0516-483e-ad16-353efc08bb74","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L07","Apt 1005"
"4dda2eee-2f28-4178-b72b-f0dc0deedadd","","pass","","folder","TRUE","FALSE","T1 Western","L08"
"0af3668a-f6df-4bbe-8dbc-fe89973ebbeb","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L08","Apt 1101"
"b85a8466-5b4e-4a16-8bc7-bcf667f51fe8","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L08","Apt 1102"
"07c29c48-beab-414b-b453-ea4f463ff579","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L08","Apt 1103"
"915f1e82-285d-4f22-a920-a683b704b4ca","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L08","Apt 1104"
"d418be3f-1a49-4ec1-8482-aba60c1309a4","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L08","Apt 1105"
"acb6d95c-924a-4ea2-901b-d7dad936b6a3","","pass","","folder","TRUE","FALSE","T1 Western","L09"
"1c9a4733-abf7-443a-9f41-a9420d178590","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L09","Apt 1201"
"4781a48a-0ef8-435d-863b-b52bc6bf844b","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L09","Apt 1202"
"710909f8-728a-4738-afbe-9f9abd0993b5","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L09","Apt 1203"
"b927f897-6dec-4492-a74c-d5285d106453","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L09","Apt 1204"
"641d7b21-b8ce-46b1-83b4-a4dca21afab3","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L09","Apt 1205"
"a8faf585-b0ff-4750-bb56-5cfe71b2c4c8","","pass","","folder","TRUE","FALSE","T1 Western","L10"
"c2034189-3281-43e4-979f-68ffca402a0a","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L10","Apt PH01"
"20e336de-2400-45b3-aea1-0f87e525f727","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T1 Western","L10","Apt PH02"
"b41f3109-1760-42c9-ab4e-a61a069213c3","","pass","","folder","TRUE","FALSE","T2 Eastern"
"39556b07-d137-4547-86fd-8016a00fd822","","pass","","folder","TRUE","FALSE","T2 Eastern","L01"
"2e3222d9-6c0b-4317-a806-65c52793f5cc","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L01","Apt 407"
"cc8a9645-6da2-4502-b9b9-8f0b41c5a30e","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L01","Apt 408"
"1e4a04d3-0ce3-4b6f-a9f8-c88f8e351060","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L01","Apt 409"
"de3251a5-b35b-49ac-abb5-683880b0bdf2","","pass","QA - Ballustrades","checklist","FALSE","FALSE","T2 Eastern","L01","Apt 410"
