"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"2048d88f-606a-476a-b550-dc9a6ef46dd9","","pass","","folder","TRUE","FALSE","Level 1"
"d72744b3-1e8b-41f1-b338-dd8761992991","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W101"
"4b8c4240-2fa3-4749-92d8-96edb7184e13","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W102"
"ab363d12-642a-4b9c-b20f-b98223b515bf","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W103"
"e7df36eb-cdd0-4eee-a4c7-104b96cea325","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W104"
"1b17f498-c866-47d8-99d6-f2242b781472","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W105"
"f79589cb-da52-4487-a0ec-103019504aff","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W106"
"2efc5252-d495-4c56-b7ad-4e1f7b6d176d","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W107"
"05dfb58e-1acd-4a1c-900e-eb939ccb0c6c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","W11-Fire"
