"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"87d511b7-c375-45e4-ad38-5bfafa2a0ec4","","work-in-progress","","folder","TRUE","FALSE","Level 1"
"4753e230-7ded-4226-a1f2-00ddf8c16119","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ01-114.1"
"b6446e6e-7d3c-4003-a2fa-3c3e348fbed8","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ01-114.4"
"22d565fd-2c33-435c-8355-8844b45a4ace","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ02-114.2"
"e597b26c-f864-4338-b7e9-26a03b76cf93","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ02-114.3"
"2f28b167-cfb6-48f9-9a8a-acb5edd8c867","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ03-101.1"
"0bab3f23-9544-4ec1-9e2e-a4dfc69ad11a","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ03-103.1"
"b88ee180-8f55-4ff3-90af-41873d041f67","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ03-104.1"
"b84f6edc-de75-4253-9078-f2723141d72c","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ03-115.1"
"d1957017-22e9-4aa9-92b9-b641a1d10efd","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ04-109.1"
"2897767d-66bb-4d12-a1f4-58a304ace190","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ05-110.1"
"91be51ea-202d-49b5-9a53-fa3c32fb6b4d","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ06-111.1"
"09cfcead-c11f-4957-8cdc-51afe33e834b","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ06-112.1"
"035bf2dc-4b82-43db-8fc1-805c05c115e0","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ07-113.1"
"3eee4225-99a2-4cde-afbf-9fdfff388363","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 1","WJ08-107.1"
"e99ab7db-f93c-4cf6-9485-e7419b252b6e","","work-in-progress","","folder","TRUE","FALSE","Level 2"
"222fb644-c82a-44aa-9753-a6d8ea5a937d","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-202.1"
"61fb521e-96c8-4f21-8dd8-496cfd8422b3","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-202.2"
"abade338-b18b-4b35-a036-4ead8cac6182","","pass","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-204.1"
"921b539a-d0ce-4251-8a2d-5cfb2272fe5a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-204.2"
"63d5908f-23e9-4f7c-a441-d67c62aad447","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-206.1"
"3644a273-c968-45e0-8bd8-0404fb159c54","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-206.2"
"dc55ff35-bf69-49c6-b8ee-b6d1584dd40b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-208.1"
"82a4be90-07a5-4dab-be30-20f5f6bd9d60","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-208.2"
"6bd9857c-2eb1-4982-a89c-1ab5a169155b","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-208.3"
"6db6f5ef-3125-48e6-be25-9a295848e720","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-208.4"
"ca4f3278-d6f0-4bd1-a448-9157790c509e","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-209.1"
"4cd69c13-4469-4e21-ab73-037b5db1293a","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-210.1"
"7fea9047-1253-495f-94ca-0efe0be971bc","","not-started","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ01-210.2"
"504d1c75-790c-4b4a-b75b-fff73b4b207e","","work-in-progress","QA - Captive Glazing","checklist","FALSE","FALSE","Level 2","WJ02-104.1"
"8a614dc7-67b8-4856-ac07-97495957964b","","not-started","","folder","TRUE","FALSE","Rooflights"
"aa0fc2b6-886b-493a-94ca-5d1319166b9f","","not-started","QA - Captive Skylight","checklist","FALSE","FALSE","Rooflights","WJ09-203.1"
"c9311e1c-b37b-4f96-ae52-fa26f1e0d7bf","","not-started","QA - Captive Skylight","checklist","FALSE","FALSE","Rooflights","WJ09-205.1"
"da81fb6f-003c-4c6a-9914-06631f91bc1a","","not-started","QA - Captive Skylight","checklist","FALSE","FALSE","Rooflights","WJ09-207.1"
