"Rich Type","Id","Warnings","type","name","values","prefix","postfix","Usage Count","User Addable","Template Name","Template Id"
"checklist-flat",,"","checklist","QA - Brickwork","",,,9,"Yes","QA - Brickwork","e6f1edbf-bf84-4198-bc4b-e59413423ae1"
"checkpoint-status",,"","checkpoint","Mortar mixed correctly and colour consistent"
"checkpoint-status",,"","checkpoint","Mortar joints are in alignment"
"checkpoint-status",,"","checkpoint","Cavity width correct"
"checkpoint-status",,"","checkpoint","Standard Brick ties used are as per the specifications, correct length and installed correctly – 5 degree"
"checkpoint-status",,"","checkpoint","Cavity and brick ties free of mortar and debris"
"checkpoint-status",,"","checkpoint","Weep-holes checked and accurate (required every 3 bricks at base and sills)"
"checkpoint-status",,"","checkpoint","Brick sill installed and checked – 15 degree consistent fall"
"checkpoint-status",,"","checkpoint","Façade bricks are installed as per plan"
"checkpoint-status",,"","checkpoint","Brick waterproof on foundation head as required"

"checklist-sectioned",,"","checklist","QA - Blocklaying","",,,0,"Yes","QA - Blocklaying","eacb5550-d23d-4654-8424-139b41cc3e9f"
"checkpoint-group",,"","section","Prestart"
"checkpoint-status",,"","checkpoint","Approval from Summerset foreman to begin blocklaying"
"checkpoint-status",,"","checkpoint","Set up accurate stringline for entire face"
"checkpoint-group",,"","section","Blocking Installation"
"checkpoint-status",,"","checkpoint","Check blocks and any broken ones discarded"
"checkpoint-status",,"","checkpoint","Temporary bracing has been installed as required"
"checkpoint-status",,"","checkpoint","Walls have been properly grouted"
"checkpoint-status",,"","checkpoint","Any openings are temporarily braced / Supported"
"checkpoint-status",,"","checkpoint","Space is warm, with proper air flow to promote drying of mortar"
"checkpoint-status",,"","checkpoint","Temporary lighting has been installed on both sides of wall(to avoid dark spaces)"
"checkpoint-status",,"","checkpoint","Any reinforcement including lintels, rebar etc have been installed as per engineering design"
"checkpoint-status",,"","checkpoint","Wash holes in tidy conditions"
"checkpoint-status",,"","checkpoint","Wall is installed true / plumb and in line with layout"
"checkpoint-group",,"","section","Handover"
"checkpoint-status",,"","checkpoint","Block installation completed to specified satandard & finish"

