Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,,
Overall Progress,,,,,,,,,,
,Scope,,,,,,,,,
,Rows,,,,,,,,,
,,Lower Ground Floor ,grouping,Lower Ground Floor ,,,,,,
,,AC.G.1,expanded,AC.G.1,Cassette,Lower Ground Floor,QA,,,
,,EF.G.1,expanded,EF.G.1,Fan,Lower Ground Floor,QA,,,
,,Ground Floor ,grouping,Ground Floor ,,,,,,
,,AC.1.1,expanded,AC.1.1,Cassette ,Ground Floor ,QA,,,
,,AC.1.2,expanded,AC.1.2,Cassette ,Ground Floor ,QA,,,
,,AC.1.3,expanded,AC.1.3,Cassette ,Ground Floor ,QA,,,
,,AC.1.5,expanded,AC.1.5,Cassette ,Ground Floor ,QA,,,
,,AC.1.4,expanded,AC.1.4,AC-Ducted ,Ground Floor ,QA,,,
,,AC.1.6,expanded,AC.1.6,AC-Ducted ,Ground Floor ,QA,,,
,,BC.1,expanded,BC.1,Branch Box ,Ground Floor ,QA,,,
,,BC.2,expanded,BC.2,Branch Box ,Ground Floor ,QA,,,
,,AC.1.7,expanded,AC.1.7,Wall Mounted ,Ground Floor ,QA,,,
,,CU.1,expanded,CU.1,Outdoor Unit,Ground Floor ,QA,,,
,,CU.2,expanded,CU.2,Outdoor Unit,Ground Floor ,QA,,,
,,OAF.1,expanded,OAF.1,Fan ,Ground Floor ,QA,,,
,,OAF.2,expanded,OAF.2,Fan ,Ground Floor ,QA,,,
,,EF.1.1,expanded,EF.1.1,Fan ,Ground Floor ,QA,,,
,,Roof,grouping,Roof,,,,,,
,,OAF.3,expanded,OAF.3,Fan ,Roof,QA,,,
,,SAF.K,expanded,SAF.K,Fan ,Roof,QA,,,
,,EF.K,expanded,EF.K,Fan ,Roof,QA,,,
,Columns,,,,,,,,,
,,Rough In,,Rough In,,,,,,
,,Fit Off,,Fit Off,,,,,,
,,Commissioning,,Commissioning,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
