"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"791aa8a2-3a21-4c12-901f-752b8f85c889","","folder-normal","not-started","","step","TRUE","FALSE","Amenities"
"b2c4be50-ad2f-4b38-ba12-b5d321d6a27b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 1"
"99b9dc27-f56d-40a8-b1dd-ba9e3eaf7c04","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 2"
"47e8a75d-39aa-41f8-8a9a-8af5807ce8c4","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 3"
"97f5d965-6b38-49d9-881e-66b805882785","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 4"
"f8f8cab1-fc64-4092-8db1-dbde1cec006e","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 5"
"70449ccc-8c59-43a1-beb6-6fe2177396b6","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 6"
"2f5ea8e1-e4e6-449a-8e9a-cf32ad7afac1","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 7"
"a1a35bc0-ef37-4190-8f36-0dd3ab6e8847","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 8"
"0bcaf6cc-ddfb-4dc7-b468-1f07c0a17c5d","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","Skylight 9"
"0aad1c48-cb8b-4650-803e-13ca01e54c3e","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W01"
"05666593-6999-4181-940b-16f47b0a5dae","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W02"
"ebc11c39-03c6-4c6b-bb42-2601fbbfa084","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W06"
"beee1e08-d763-493b-a0d1-ccc9968dcf41","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W03"
"e86c739d-e427-4a4f-92a8-55fa75576b79","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W04"
"97692310-d3f5-47d6-a6d3-d65765c8d45b","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W05"
"546e5eef-e604-4b69-b55e-401ee5dcbe9f","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W07"
"e35e03be-44fd-4093-ad52-59be03d2cb64","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","W08"
"22c7d633-ebd6-4936-a89e-906b2a9d5163","","checklist-flat","not-started","Commercial/Domestic","checklist-flat","FALSE","FALSE","Amenities","ID09"
"7e48b140-d4c1-4625-98f0-47816e8615b1","","folder-normal","work-in-progress","","step","TRUE","FALSE","Production"
"2026fa48-265b-4b41-bd70-9b6e5ac0196f","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W09"
"17d54d83-90e6-4038-840f-9fe858beef51","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W10"
"acac0928-bf5e-4019-93c5-ca02292451e9","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W11"
"93de3ba6-b45d-44fd-9c8d-37d0ce8ef9f7","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W12"
"672cf385-5cec-4734-9d7a-ad14e21be91f","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W13"
"4f45f03c-0888-4ed0-88d6-f1ab4cdec0be","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W15"
"1270c129-b941-4741-ba2a-27c8851d21eb","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W16"
"2e47c04f-2e6f-46e1-b4b8-cc57787b56a0","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W17"
"321c6a75-67d1-405f-8651-0e939dc7b3d3","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W14"
"c9496e2a-60b6-4831-a535-b79c59babd08","","checklist-flat","pass","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W18"
"ad7983c0-bf81-415f-b08e-4bc6fb3d0820","","checklist-flat","work-in-progress","Seismic Suite (non curtain wall)","checklist-flat","FALSE","FALSE","Production","W19"
"182f88ef-5332-4b31-9f7d-a90b626497e9","","checklist-flat","work-in-progress","Commercial/Domestic","checklist-flat","FALSE","FALSE","Production","ED05"
