"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"033b513e-b7bd-4cc1-a624-91ce536cec57","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"882fb680-ca04-4375-a472-e86b804a7761","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B6"
"efbccd0c-1285-489b-8c97-b86817ab34cf","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B6","CPSF-B6-1"
"4384bf52-9879-424f-bd5e-0e68d0d6cc9a","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B5"
"220e1f40-3d39-4de2-a4ab-203e8126f91a","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B5","CPEF-B5-1"
"9cefe89d-d447-4c68-bc97-5df5c705f8f0","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B5","CPSF-B5-1"
"2c127596-3287-4174-9704-64b7b24fdd54","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B5","JF B5.01"
"081c59e2-e2a2-4581-999d-462794d0d546","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B5","JF B5.02"
"3463028e-af08-44f8-bc27-d7db972fae21","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B5","JF B5.03"
"00bfbdfa-1feb-4bb2-bb85-a190423560a6","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B5","JF B5.04"
"d48cdddb-085b-4446-871f-0dca5a460f4d","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B4"
"f95f4293-ff1b-4906-9043-afd62af53c65","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B4","CPEF-B4-1"
"47eb0053-2fe8-4a3a-a163-b5e115c880c0","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B4","CPSF-B4-1"
"7ba9f76e-6a44-4a33-b45b-4acc7d64b520","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B4","JF B4.01"
"198042dd-475d-4bde-b38e-1f09912470cc","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B4","JF B4.02"
"0b4aa54d-6f34-4101-bf0f-abe8beaa8f28","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B4","JF B4.03"
"53b7ee96-c0a5-46ee-b41c-9cb2a6843dac","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B4","JF B4.04"
"1525e2d6-cc65-4abd-8751-dd8009b2d93b","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","B3"
"7ba3c9ab-2609-497d-b481-9f2902c6ebb7","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B3","CPEF-B3-1"
"10f65968-fb8f-4e55-9cd6-a204f0a8842c","","checklist-sectioned","work-in-progress","ddd845f590b19f99673c34bc6cc4b187dc993e1fb59b5cf8d74e825d3630de61","checklist","FALSE","FALSE","Site QA","B3","CPSF-B3-1"
"5828d8dd-2a0a-4b57-b3e3-c427821f4ea5","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B3","JF B3.01"
"af23822a-3008-40f7-a12d-ee222bb86dbb","","checklist-sectioned","not-started","Fan Install Checklist","checklist","FALSE","FALSE","Site QA","B3","JF B3.02"
