Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,,,,,,,,,,,
14331fcc-212e-59c9-8159-272d552a8abf,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.01,IU-B-02.01,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
f860e2d6-02be-5f5f-8bcd-ca5018da7396,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.02,IU-B-02.02,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
32991ad6-9693-52aa-92fc-8b5edd557ad7,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.03,IU-B-02.03,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
55f1b0e2-a2df-5d71-87f7-f3af77cd14f5,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.04,IU-B-02.04,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
d78ee112-b0f8-50ed-8424-bbcfccc47da9,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.01,IU-B-03.01,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
2655e1e1-8e5d-577b-8262-7c54bbac83e6,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.02,IU-B-03.02,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
4f163092-b6ba-537d-b7d0-3cf4c3525ade,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.03,IU-B-03.03,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
d5f59258-2ec8-59aa-bcb7-0b9795000c85,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.04,IU-B-03.04,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
d39d88cd-2e2b-5553-8b0e-18c1b77f6ab7,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.05,IU-B-03.05,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
582a6893-e484-561c-a9cd-917c6c80e39a,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.06,IU-B-03.06,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
130a9a67-bfc7-58b6-8f67-27a18e26fbcd,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.07,IU-B-03.07,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
68f59181-923a-5841-941f-d6710e132043,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.08,IU-B-03.08,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
0fa0c51e-a374-5f0e-9768-1ba08fbfba9f,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.01,IU-B-04.01,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
fc569fc0-8cf0-5d8d-9e86-bb620c29ffcf,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.02,IU-B-04.02,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
bcbd1de3-1cff-5398-a1c4-f415784944d5,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.03,IU-B-04.03,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
23bf1ecc-94ac-5252-b478-8654addd2129,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.04,IU-B-04.04,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
74d0578b-3b18-5d64-9ce4-24b53f86c031,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.05,IU-B-04.05,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
24c4212f-3415-5933-bd3f-834f6b69fca1,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.06,IU-B-04.06,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
15437baf-33ff-54c8-9bcd-fbe7896968c8,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.07,IU-B-04.07,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
9002051a-9d10-52f4-84b3-5ad56f605bba,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 4,MD9533-DP-B-04-01,Apartment 04.08,IU-B-04.08,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
e464d65d-2b8e-5ea1-9685-a92012aa8a94,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 5,MD9533-DP-B-05-01,Apartment 05.01,IU-B-05.01,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
0be2247a-2ece-5d0b-9a9d-1ae73436c765,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 5,MD9533-DP-B-05-01,Apartment 05.02,IU-B-05.02,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
60e987c4-5098-555d-98b1-fbd9f8d3bfb1,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 5,MD9533-DP-B-05-01,Apartment 05.03,IU-B-05.03,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
287e56ec-2c5d-55f1-82a4-bf9d547822ed,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 5,MD9533-DP-B-05-01,Apartment 05.04,IU-B-05.04,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,
7eaea63a-1914-5a86-bd47-e071629ed4e2,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2 - Workshop,MD9533-DP-B-02-02,LB2 North East Zone,ICT Room,IU-B-02.05,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,
3c73c38b-906b-5dd0-9dc7-86756a069104,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2 - Workshop,MD9533-DP-B-02-02,LB2 North East Zone,ICT Room,IU-B-02.06,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,
bbabf137-829f-5f21-a3e5-ea156d519b30,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2 - Workshop,MD9533-DP-B-02-02,LB2 North East Zone,Hobbies Lounge,IU-B-02.07,CRL-ITR-016 - DX Units,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,
2ed800c8-f5e4-58cb-a281-3216135cc46c,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 5,MD9533-DP-B-05-01,Plantroom,OU-B-AHU-05.01,DX Units,Pipework Installed from DX unit box to Outdoor unit,,,,,,,,,
1c3ebfd4-00df-5668-ad7e-1744e019a31c,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.01,IU-B-02.01,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
2f8a7fd2-12b4-5ee9-8039-c441e91aabad,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.02,IU-B-02.02,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
44895141-7c72-5ae4-9a16-6e7f468af9bf,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.03,IU-B-02.03,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
810a2cac-8072-58e9-8efb-989313399fdd,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 2,MD9533-DP-B-02-01,Apartment 02.04,IU-B-02.04,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
f9c92a3e-1c94-57d6-8d54-effe9e78a2fa,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.01,IU-B-03.01,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
bf543e7e-01b2-5b4f-8456-7be4cee078b3,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.02,IU-B-03.02,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
97ea8ab3-0837-53dc-a1e0-bfc6d8a9d9b5,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.03,IU-B-03.03,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
0b356853-3e75-54fd-9558-a10270ee09da,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.04,IU-B-03.04,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
277c8d4d-0e9c-5545-bc15-fb21b53289d3,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.05,IU-B-03.05,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
bfcb7075-8ebd-5a2e-b84c-c95efc7492ff,,checkpoint-status,not-started,,,TRUE,TRUE,Building B,Level 3,MD9533-DP-B-03-01,Apartment 03.06,IU-B-03.06,CRL-ITR-016 - DX Units,DX Units,Signed off By AE Smith,,,,,,,,
