Step Id,Warnings,Rich Type,State,resource,type,addStep,addPost,Tier 1,Tier 2,Tier 3,Tier 4,
46611376-4a6f-4124-961d-b579d4452961,,folder-normal,not-started,,step,TRUE,FALSE,Lightning Protection and Earthing,,,,
803b86c4-5b3d-4b71-b906-bb0c8e53dc2d,,folder-normal,not-started,,step,TRUE,FALSE,Lightning Protection and Earthing,Grid 104,,,
21b1be0c-2de7-40aa-84d3-b01616908c69,,folder-normal,not-started,,step,TRUE,FALSE,Lightning Protection and Earthing,Grid 104,XX,,
2eabceb3-e065-40eb-9a89-6db9ac11230d,,checklist-flat,not-started,Photos Checklist,checklist-flat,FALSE,FALSE,Lightning Protection and Earthing,Grid 104,XX,Photos,
57ce84cb-b210-5a7f-b90a-9435bdbe9e64,,checkpoint-status,not-started,Photos Checklist:b142ab69-3131-4bb7-85c6-76a0b942a42d,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,XX,Photos,Photos
e80f0b46-5e13-4a2b-b2c3-af217cca7bc2,,checklist-flat,not-started,Earth Pit Checklist,checklist-flat,FALSE,FALSE,Lightning Protection and Earthing,Grid 104,XX,Earth Pit,
53b80e91-f76a-5ed5-a02f-1f1110ba9d27,,checkpoint-status,not-started,Earth Pit Checklist:bea09e05-6f30-467d-a30c-77d17ab3212e,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,XX,Earth Pit,Earth Pit Installed
03511232-8116-5dcc-8625-761499663d43,,checkpoint-status,not-started,Earth Pit Checklist:8bb2e4f8-8ed3-4af5-86cb-3fcbc9a3ebad,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,XX,Earth Pit,Terminal Plate Cast Into top of pile cap
b01f6566-6c75-45e3-8017-f7bc12449d7f,,folder-normal,not-started,,step,TRUE,FALSE,Lightning Protection and Earthing,Grid 104,WW,,
a776d46d-237a-4cf0-b9db-90e88ca27501,,checklist-flat,not-started,Photos Checklist,checklist-flat,FALSE,FALSE,Lightning Protection and Earthing,Grid 104,WW,Photos,
58d808f6-d783-52ed-bfc0-c0555eccd85f,,checkpoint-status,not-started,Photos Checklist:b142ab69-3131-4bb7-85c6-76a0b942a42d,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,WW,Photos,Photos
6a60fcee-1e43-4623-acb4-2b593cd0a446,,checklist-flat,not-started,Earth Pit Checklist,checklist-flat,FALSE,FALSE,Lightning Protection and Earthing,Grid 104,WW,Earth Pit,
6b189a69-1efd-5767-878e-16d84014cfff,,checkpoint-status,not-started,Earth Pit Checklist:bea09e05-6f30-467d-a30c-77d17ab3212e,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,WW,Earth Pit,Earth Pit Installed
bb1c9803-c860-544f-906f-cfbdb9437874,,checkpoint-status,not-started,Earth Pit Checklist:8bb2e4f8-8ed3-4af5-86cb-3fcbc9a3ebad,,TRUE,TRUE,Lightning Protection and Earthing,Grid 104,WW,Earth Pit,Terminal Plate Cast Into top of pile cap
8f600b63-0a95-4c5c-9d57-40eac42920e5,,folder-normal,not-started,,step,TRUE,FALSE,Lightning Protection and Earthing,Grid 104,VV,,
21a65bb3-f6ce-4307-9fba-11ef1c2188b4,,checklist-flat,not-started,Photos Checklist,checklist-flat,FALSE,FALSE,Lightning Protection and Earthing,Grid 104,VV,Photos,
