Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,,
ACS Apartments QA Tower 3 (Level 6 - Level 15),,,,,,,,,
,Scope,,,Site QA,ACS Apartments QA,Tower 3,,,
,Rows,,,,,,,,
,,Tower 3 - Level 6 - 6.01,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 6,6.01,
,,Tower 3 - Level 6 - 6.02,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 6,6.02,
,,Tower 3 - Level 6 - 6.03,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 6,6.03,
,,Tower 3 - Level 6 - 6.04,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 6,6.04,
,,Tower 3 - Level 6 - 6.05,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 6,6.05,
,,Tower 3 - Level 7 - 7.01,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.01,
,,Tower 3 - Level 7 - 7.02,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.02,
,,Tower 3 - Level 7 - 7.03,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.03,
,,Tower 3 - Level 7 - 7.04,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.04,
,,Tower 3 - Level 7 - 7.05,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.05,
,,Tower 3 - Level 7 - 7.06,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.06,
,,Tower 3 - Level 7 - 7.07,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.07,
,,Tower 3 - Level 7 - 7.08,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 7,7.08,
,,Tower 3 - Level 8 - 8.01,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 8,8.01,
,,Tower 3 - Level 8 - 8.02,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 8,8.02,
,,Tower 3 - Level 8 - 8.03,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 8,8.03,
,,Tower 3 - Level 8 - 8.04,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 8,8.04,
,,Tower 3 - Level 8 - 8.05,dynamic,Site QA,ACS Apartments QA,Tower 3,Level 8,8.05,
