"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"20abc95b-0003-4026-ac1e-441e0c5d10b1","","not-started","","folder","TRUE","FALSE","Tank 1"
"56d0fad4-17a5-4121-a346-0da1cf3d11ec","","not-started","Tank 1 - ITP001 - Clear Grub & Topsoil Stripping - Rev1","checklist","FALSE","FALSE","Tank 1","ITP001 - Clear Grub & Topsoil Stripping"
"7bffd38f-9acf-48ce-9480-ec6897c5d9d7","","not-started","Tank 1 - ITP002 - Foundation Preparation - Rev1","checklist","FALSE","FALSE","Tank 1","ITP002 - Foundation Preparation"
"6c7044cb-a80b-45f4-8065-f08b2e076f18","","not-started","Tank 1 - ITP003 - Embankment Construction - Rev1","checklist","FALSE","FALSE","Tank 1","ITP003 - Embankment Construction"
"33dbbe3c-0c4e-4466-a582-8b11c8f6aa66","","not-started","Tank 1 - ITP004 - Capping Layer - Rev1","checklist","FALSE","FALSE","Tank 1","ITP004 - Capping Layer"
"08c12512-a001-4429-964b-ec5af7497b16","","not-started","Tank 1 - ITP005 - Surface Water Runoff Management - Rev1","checklist","FALSE","FALSE","Tank 1","ITP005 - Surface Water Runoff Management"
"d487a878-b011-4a49-9dc4-3df61254e303","","not-started","Tank 1 - ITP006 - Erosion and Sediment Control - Rev1","checklist","FALSE","FALSE","Tank 1","ITP006 - Erosion and Sediment Control"
"0beaf388-db18-4597-a1f4-7c73b8cd7531","","not-started","Tank 1 - ITP007 - Leak Detection System - Rev0","checklist","FALSE","FALSE","Tank 1","ITP007 - Leak Detection System"
"38bbc650-01e4-413e-b1b1-785b8435e306","","not-started","","folder","TRUE","FALSE","Tank 2"
"6ed7ae3a-5fae-4318-8ce2-29a6a3f6ad3c","","not-started","Tank 2 - ITP001 - Clear Grub & Topsoil Stripping - Rev1","checklist","FALSE","FALSE","Tank 2","ITP001 - Clear Grub & Topsoil Stripping"
"f900ea9b-643c-499a-8671-8db15a367e5a","","not-started","Tank 2 - ITP002 - Foundation Preparation - Rev1","checklist","FALSE","FALSE","Tank 2","ITP002 - Foundation Preparation"
"f788ba14-c33d-435b-9be1-c11c04e0811b","","not-started","Tank 2 - ITP003 - Embankment Construction - Rev1","checklist","FALSE","FALSE","Tank 2","ITP003 - Embankment Construction"
"497b307b-cc22-4eb5-b484-ad7e72108234","","not-started","Tank 2 - ITP004 - Capping Layer - Rev1","checklist","FALSE","FALSE","Tank 2","ITP004 - Capping Layer"
"0e1b8428-3545-4e33-8bf3-d1c136640691","","not-started","Tank 2 - ITP005 - Surface Water Runoff Management - Rev1","checklist","FALSE","FALSE","Tank 2","ITP005 - Surface Water Runoff Management"
"2f9af2cd-9df5-4152-9675-9e22a1e8d8f2","","not-started","Tank 2 - ITP006 - Erosion and Sediment Control - Rev1","checklist","FALSE","FALSE","Tank 2","ITP006 - Erosion and Sediment Control"
"bdedccac-acfb-45cd-9780-acfaaf654072","","not-started","Tank 2 - ITP007 - Leak Detection System - Rev0","checklist","FALSE","FALSE","Tank 2","ITP007 - Leak Detection System"
