type,name,values,prefix,postfix,usage count,user addable,template name
checklist-flat,Earth Bar QA Two Incomers,,,,,,Earth Bar QA Two Incomers
checkpoint,Earth Bar Label Attached,,,,,,
text,Earth Bar Identifier,,,,,,
checkpoint,Supply Earths Labelled,,,,,,
checkpoint,Visual Inspection,,,,,,
checkpoint,Incoming Earth 1 Cable Torqued,,,,,,
select,Incoming Earth 1 Cable Type,Insulated PVC,,,,,
select,Incoming Earth 1 Cable Size,"95mm, 120mm",,,,,
checkpoint,Incoming Earth 2 Cable Torqued,,,,,,
select,Incoming Earth 2 Cable Type,Insulated PVC,,,,,
select,Incoming Earth 2 Cable Size,"95mm, 120mm",,,,,
checkpoint,Correct Incoming Earth Size Per Single Line Diagram,,,,,,
checkpoint,Earth Bar Securely Attached With Insulated Spacers,,,,,,
checkpoint,All Outgoing Earths Have Destination Labelled At Earth Bar,,,,,,
checkpoint,All Outgoing Earths Are Torqued,,,,,,
label,Photo Reference,,,,,,
text,Comment,,,,,,
text,Date,,,,,,
text,Comment,,,,,,
text,Date,,,,,,
text,Tested By,,,,,,
text,Witnessed By,,,,,,
text,Date,,,,,,
